Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.987756910606236715e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997981709025652e+00,-1.580011261928407221e-03,9.975519690832493680e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999998112940344797e+00,1.326400185979855623e-02,9.963287014734834912e+00,0.000000000000000000e+00
3.000000000000000062e-03,1.000001681798048381e+01,4.453319376997669221e-02,9.951053065948578080e+00,0.000000000000000000e+00
4.000000000000000083e-03,1.000007052220745507e+01,9.222844173971464499e-02,9.938803576925227645e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.000017565187641466e+01,1.563506224080545570e-01,9.926511890805530314e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.000034863411874042e+01,2.369006106032279235e-01,9.914135917741731419e+00,0.000000000000000000e+00
7.000000000000000146e-03,1.000060581221868361e+01,3.304907528834318819e-01,9.901623724132655013e+00,0.000000000000000000e+00
8.000000000000000167e-03,1.000095877231344410e+01,4.337336614823049108e-01,9.888911410166713267e+00,0.000000000000000000e+00
9.000000000000001055e-03,1.000141716745658194e+01,5.466306021685694017e-01,9.875924037677419776e+00,0.000000000000000000e+00
1.000000000000000194e-02,1.000199065196554393e+01,6.691828327196619464e-01,9.862574103856696084e+00,0.000000000000000000e+00
1.100000000000000283e-02,1.000268888141335744e+01,8.013916015258403247e-01,9.848765678629797904e+00,0.000000000000000000e+00
1.200000000000000372e-02,1.000352141175640774e+01,9.392228686775162538e-01,9.834419767630206977e+00,0.000000000000000000e+00
1.300000000000000461e-02,1.000449213389605596e+01,1.078641914288845483e+00,9.819466006022524951e+00,0.000000000000000000e+00
1.400000000000000550e-02,1.000560263566012509e+01,1.219648956469849388e+00,9.803844853017624317e+00,0.000000000000000000e+00
1.500000000000000638e-02,1.000685450509412000e+01,1.362244211258559989e+00,9.787502595414192541e+00,0.000000000000000000e+00
1.600000000000000727e-02,1.000824933045933385e+01,1.506427893435900334e+00,9.770396763223645920e+00,0.000000000000000000e+00
1.700000000000000816e-02,1.000978870023173783e+01,1.652200217193321663e+00,9.752495553032385800e+00,0.000000000000000000e+00
1.800000000000000905e-02,1.001147420310150693e+01,1.799561396661216284e+00,9.733779298996648066e+00,0.000000000000000000e+00
1.900000000000000994e-02,1.001330742797304474e+01,1.948511646311676282e+00,9.714242430823942342e+00,0.000000000000000000e+00
2.000000000000001082e-02,1.001528996396506876e+01,2.099051181959744827e+00,9.693888907173452196e+00,0.000000000000000000e+00
2.100000000000001171e-02,1.001742340041365154e+01,2.251180219791699688e+00,9.672741496634220226e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.001970932686959159e+01,2.404898976140686706e+00,9.649655761893482619e+00,0.000000000000000000e+00
