Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.400915356411724488e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997980175445278e+00,-1.576733752422197765e-03,8.840633836620716224e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999998115374722829e+00,1.329519208756850188e-02,8.316471263602718267e+00,0.000000000000000000e+00
3.000000000000000062e-03,1.000001686210526586e+01,4.464980457943384939e-02,7.825939506485033448e+00,0.000000000000000000e+00
4.000000000000000083e-03,1.000007071053196306e+01,9.251949705528417223e-02,7.366731370843722537e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.000017618290550381e+01,1.569352983017043013e-01,6.936706727912910431e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.000034983219462248e+01,2.379268486287443585e-01,6.533876872781326561e+00,0.000000000000000000e+00
7.000000000000000146e-03,1.000060815596794583e+01,3.321338927628740834e-01,6.156396704242981244e+00,0.000000000000000000e+00
8.000000000000000167e-03,1.000096292174799828e+01,4.361950717808440459e-01,5.802556082796009207e+00,0.000000000000000000e+00
9.000000000000001055e-03,1.000142398967401469e+01,5.501362276751373681e-01,5.470766867772755226e+00,0.000000000000000000e+00
1.000000000000000194e-02,1.000200124539802360e+01,6.739817289095779707e-01,5.159553839422744481e+00,0.000000000000000000e+00
1.100000000000000283e-02,1.000270459860069749e+01,8.077544223059305306e-01,4.867544926164161900e+00,0.000000000000000000e+00
1.200000000000000372e-02,1.000354388059610322e+01,9.474407877109828346e-01,4.593465470265337913e+00,0.000000000000000000e+00
1.300000000000000461e-02,1.000452327804766917e+01,1.089025482982778126e+00,4.336131909877357415e+00,0.000000000000000000e+00
1.400000000000000550e-02,1.000564469348104701e+01,1.232526381388149961e+00,4.094443509276969095e+00,0.000000000000000000e+00
1.500000000000000638e-02,1.000691004697140407e+01,1.377959921708884705e+00,3.867376333415944334e+00,0.000000000000000000e+00
1.600000000000000727e-02,1.000832127470563648e+01,1.525341092489820971e+00,3.653977265397415408e+00,0.000000000000000000e+00
1.700000000000000816e-02,1.000988032752874268e+01,1.674683417626230408e+00,3.453359684168888943e+00,0.000000000000000000e+00
1.800000000000000905e-02,1.001158916947570887e+01,1.825998940035397311e+00,3.264697866048114072e+00,0.000000000000000000e+00
1.900000000000000994e-02,1.001344977628668964e+01,1.979298205186082793e+00,3.087222534807694707e+00,0.000000000000000000e+00
2.000000000000001082e-02,1.001546413390584789e+01,2.134590244974697626e+00,2.920217443779974165e+00,0.000000000000000000e+00
2.100000000000001171e-02,1.001763423696389665e+01,2.291882560379554956e+00,2.763014784158340564e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.001996208724336235e+01,2.451181103847657194e+00,2.614992022056418897e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.002244966890440736e+01,2.611561923976703614e+00,2.475569876648114676e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.002509766665316526e+01,2.772099989316316293e+00,2.344206565593824898e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.002790623835481654e+01,2.932797409411315837e+00,2.220397606686260961e+00,0.000000000000000000e+00
