Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.847874476843271552e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997841345287242e+00,-1.579986525952551931e-03,9.698388308944409175e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.000000231470560408e+01,1.326420129942830310e-02,9.551491040298873969e+00,0.000000000000000000e+00
3.000000000000000062e-03,1.000002984490710567e+01,4.453386664668410044e-02,9.407132846623694533e+00,0.000000000000000000e+00
4.000000000000000083e-03,1.000009685793926906e+01,9.223003296616602564e-02,9.265264254147416167e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.000021978081360530e+01,1.563537208300346815e-01,9.125835880565665192e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.000041504156062722e+01,2.369059476087148619e-01,8.988797344741998430e+00,0.000000000000000000e+00
7.000000000000000146e-03,1.000069793971269050e+01,3.304992027383824582e-01,8.854098670386887804e+00,0.000000000000000000e+00
8.000000000000000167e-03,1.000107925789444607e+01,4.337462427048769387e-01,8.721691119082752408e+00,0.000000000000000000e+00
9.000000000000001055e-03,1.000156865059717681e+01,5.466484796867674412e-01,8.591526057292263374e+00,0.000000000000000000e+00
1.000000000000000194e-02,1.000217577372209909e+01,6.692073212697824403e-01,8.463554903615811753e+00,0.000000000000000000e+00
1.100000000000000283e-02,1.000291028457545650e+01,8.014241698070984077e-01,8.337729079644550012e+00,0.000000000000000000e+00
1.200000000000000372e-02,1.000378049678509562e+01,9.392651460098790928e-01,8.214001900970897552e+00,0.000000000000000000e+00
1.300000000000000461e-02,1.000478934472326209e+01,1.078695689346085729e+00,8.092328322012781072e+00,0.000000000000000000e+00
1.400000000000000550e-02,1.000593841814370322e+01,1.219716172198102022e+00,7.972664192469451905e+00,0.000000000000000000e+00
1.500000000000000638e-02,1.000722930716998249e+01,1.362326961785354396e+00,7.854966240783885389e+00,0.000000000000000000e+00
1.600000000000000727e-02,1.000866360229022334e+01,1.506528419975085908e+00,7.739192057991827411e+00,0.000000000000000000e+00
1.700000000000000816e-02,1.001024289435165748e+01,1.652320903086614834e+00,7.625300082495177101e+00,0.000000000000000000e+00
1.800000000000000905e-02,1.001196877455498147e+01,1.799704761691901078e+00,7.513249585069454284e+00,0.000000000000000000e+00
1.900000000000000994e-02,1.001384283444850531e+01,1.948680340415631651e+00,7.403000654159253457e+00,0.000000000000000000e+00
2.000000000000001082e-02,1.001586666592210406e+01,2.099247977730901660e+00,7.294514182003814184e+00,0.000000000000000000e+00
