Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.876011110596564890e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997841341917493e+00,-1.580000283730089794e-03,9.753577465371039423e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.000000231464948364e+01,1.326408810145897343e-02,9.632679140128312056e+00,0.000000000000000000e+00
3.000000000000000062e-03,1.000002984462028088e+01,4.453348296661020084e-02,9.513295974145799860e+00,0.000000000000000000e+00
4.000000000000000083e-03,1.000009685703112972e+01,9.222912496412631611e-02,9.395407248364994857e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.000021977859939248e+01,1.563519544949036610e-01,9.278991388426303999e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.000041503698261813e+01,2.369029114896548105e-01,9.164025021186855469e+00,0.000000000000000000e+00
7.000000000000000146e-03,1.000069793126413131e+01,3.304944106458811981e-01,9.050484299745086503e+00,0.000000000000000000e+00
8.000000000000000167e-03,1.000107924354614575e+01,4.337391364677339878e-01,8.938345593909549081e+00,0.000000000000000000e+00
9.000000000000001055e-03,1.000156862772705502e+01,5.466384321990702677e-01,8.827584515811809140e+00,0.000000000000000000e+00
1.000000000000000194e-02,1.000217573904779833e+01,6.691936396188087333e-01,8.718175875732789848e+00,0.000000000000000000e+00
1.100000000000000283e-02,1.000291023409017477e+01,8.014060985856217290e-01,8.610093785336527361e+00,0.000000000000000000e+00
1.200000000000000372e-02,1.000378042569640691e+01,9.392418694852033845e-01,8.503313838188253371e+00,0.000000000000000000e+00
1.300000000000000461e-02,1.000478924739368303e+01,1.078666333928829379e+00,8.397812686558804529e+00,0.000000000000000000e+00
1.400000000000000550e-02,1.000593828803503271e+01,1.219679810607870118e+00,8.293567308089485834e+00,0.000000000000000000e+00
1.500000000000000638e-02,1.000722913679131842e+01,1.362282616478786901e+00,8.190555005833273228e+00,0.000000000000000000e+00
1.600000000000000727e-02,1.000866338314946269e+01,1.506475066696199017e+00,8.088753409783201676e+00,0.000000000000000000e+00
1.700000000000000816e-02,1.001024261691061490e+01,1.652257474549210681e+00,7.988140477044721521e+00,0.000000000000000000e+00
1.800000000000000905e-02,1.001196842818825239e+01,1.799630151398417199e+00,7.888694494229101295e+00,0.000000000000000000e+00
1.900000000000000994e-02,1.001384240740622644e+01,1.948593406612940671e+00,7.790394078081205542e+00,0.000000000000000000e+00
2.000000000000001082e-02,1.001586614529673369e+01,2.099147547511047485e+00,7.693218175902283740e+00,0.000000000000000000e+00
2.100000000000001171e-02,1.001804123289823956e+01,2.251292879298973482e+00,7.597146068149609910e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.002036926155333596e+01,2.405029705012601049e+00,7.502157588813896716e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.002285151297038723e+01,2.559428504060996090e+00,7.408234053767629668e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.002548802930933292e+01,2.713559546690533786e+00,7.315357615596025376e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.002827854280722519e+01,2.867422819647589272e+00,7.223510949415426374e+00,0.000000000000000000e+00
