Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.979203126681074565e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124764638e+00,-9.084026892183466248e-03,9.958409732109968715e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640807098e+00,-1.675261220964825715e-02,9.937619978992488612e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510063897753e+00,-2.300542922324801468e-02,9.916834036661523299e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263173624392e+00,-2.784242825926949716e-02,9.896052079631711962e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500799239965e+00,-3.126355966433201627e-02,9.875274286185264927e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638819650145e+00,-3.326877380565823605e-02,9.854500836986199275e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093163384912e+00,-3.385802107130247290e-02,9.833731913727788765e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279808586117e+00,-3.303125187033591204e-02,9.812967697802964295e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614782977281e+00,-3.078841663295169701e-02,9.792208369010648283e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514163847612e+00,-2.712946581062649146e-02,9.771454104290176801e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394078032461e+00,-2.205434987627402990e-02,9.750705076476755551e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706670701888456e+00,-1.556301932454521447e-02,9.729961453095363311e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692760261272184e+00,-7.655424672264484615e-03,9.709223395171237669e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687079031517101e+00,1.668483541023321748e-03,9.688491056080115627e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691043337413987e+00,1.240875475225258068e-02,9.667764580410018738e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706069553184307e+00,2.456543837378122319e-02,9.647044102875522498e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733574102455336e+00,3.813858379206199606e-02,9.626329747224453115e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774973458235294e+00,5.312824036592773969e-02,9.605621625185165158e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831684142883148e+00,6.953445742464482715e-02,9.584919835475963268e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905122728081963e+00,8.735728426547084702e-02,9.564224462767958457e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996705834801602e+00,1.065967701507754967e-01,9.543535576732809389e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785013326853e+01,1.272529643048191383e-01,9.522853231081068515e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023997234292139e+01,1.493259159099399325e-01,9.502177462677193986e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039448923237373e+01,1.728156741022586207e-01,9.481508290603334999e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057281761935890e+01,1.977222879668479039e-01,9.460845715313189075e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077637437068745e+01,2.240458065323479020e-01,9.440189717789696289e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100657640217960e+01,2.517862787649846612e-01,9.419540258671501576e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126484067861021e+01,2.809437535619021542e-01,9.398897277558333485e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155258421363236e+01,3.115182797439617346e-01,9.378260692133643772e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.000187122406969920e+01,3.435099060478236654e-01,9.357630397499288932e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.000222217735798047e+01,3.769186811174337626e-01,9.337006265435221053e+00,0.000000000000000000e+00
3.200000000000002148e-02,1.000260686123826659e+01,4.117446534947248882e-01,9.316388143665621513e+00,0.000000000000000000e+00
3.300000000000002237e-02,1.000302669291886382e+01,4.479878716097028257e-01,9.295775855258828102e+00,0.000000000000000000e+00
3.400000000000002326e-02,1.000348308965648059e+01,4.856483837697671002e-01,9.275169197973319513e+00,0.000000000000000000e+00
3.500000000000002415e-02,1.000397746875610139e+01,5.247262381482438176e-01,9.254567943569744770e+00,0.000000000000000000e+00
3.600000000000002504e-02,1.000451124757085353e+01,5.652214827723509583e-01,9.233971837335761990e+00,0.000000000000000000e+00
3.700000000000002592e-02,1.000508584350185082e+01,6.071341655102932000e-01,9.213380597407374140e+00,0.000000000000000000e+00
3.800000000000002681e-02,1.000570267399803903e+01,6.504643340576217181e-01,9.192793914339240757e+00,0.000000000000000000e+00
3.900000000000002770e-02,1.000636315655601472e+01,6.952120359228768365e-01,9.172211450512394393e+00,0.000000000000000000e+00
4.000000000000002859e-02,1.000706870871983867e+01,7.413773184125294069e-01,9.151632839744415548e+00,0.000000000000000000e+00
4.100000000000002948e-02,1.000782074808082633e+01,7.889602286150864119e-01,9.131057686761756997e+00,0.000000000000000000e+00
4.200000000000003036e-02,1.000862069227732754e+01,8.379608133844718143e-01,9.110485566786834966e+00,0.000000000000000000e+00
