Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.985122134512712577e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124720230e+00,-9.084026838604899318e-03,9.970112402335486124e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640799992e+00,-1.675261162207030557e-02,9.954971474266267606e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064672245e+00,-2.300542682040956910e-02,9.939700036606112121e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177386716e+00,-2.784242195178241244e-02,9.924298788855900000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500810473645e+00,-3.126354654823889495e-02,9.908768441538601479e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638845924239e+00,-3.326875015693191856e-02,9.893109714140052802e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093216183566e+00,-3.385798234120345612e-02,9.877323333161969643e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279904125693e+00,-3.303119268160481514e-02,9.861410030281328787e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614943041243e+00,-3.078833077692497491e-02,9.845370540610307586e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514416619637e+00,-2.712934624528958935e-02,9.829205601052199981e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394458926000e+00,-2.205418872538825875e-02,9.812915948746475436e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671254381618e+00,-1.556280787786810602e-02,9.796502319601364306e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761037742628e+00,-7.655153386937880652e-03,9.779965446906453863e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080094075142e+00,1.668825037732708100e-03,9.763306060025561450e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691044758730385e+00,1.240917765882715296e-02,9.746524883157071883e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071417314490e+00,2.456595470882882992e-02,9.729622634178319629e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733576505660082e+00,3.813920638709233230e-02,9.712600023540547411e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774976509788971e+00,5.312898285648696983e-02,9.695457753236080833e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831687965876625e+00,6.953533423960223114e-02,9.678196515832009794e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905127460214871e+00,8.735831061449357560e-02,9.660816993553662968e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996711629158597e+00,1.065979620098889830e-01,9.643319857428062747e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785715908135e+01,1.272543383999048261e-01,9.625705766478745318e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023998078631671e+01,1.493274896981933164e-01,9.607975366979220055e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039449929709612e+01,1.728174657515255952e-01,9.590129291753335394e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057282952748139e+01,1.977243163328324393e-01,9.572168159511264207e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077638836328831e+01,2.240480911335969993e-01,9.554092574255824033e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100659274000670e+01,2.517888397556872770e-01,9.535903124714003809e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126485964270273e+01,2.809466117025032905e-01,9.517600383817413245e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155260610592478e+01,3.115214563695410943e-01,9.499184908217880974e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.000187124921358617e+01,3.435134230343226402e-01,9.480657237864134501e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.000222220609885149e+01,3.769225608456099885e-01,9.462017895599151629e+00,0.000000000000000000e+00
3.200000000000002148e-02,1.000260689394400160e+01,4.117489188119982657e-01,9.443267386791820428e+00,0.000000000000000000e+00
3.300000000000002237e-02,1.000302672998028974e+01,4.479925457898186192e-01,9.424406199007831830e+00,0.000000000000000000e+00
3.400000000000002326e-02,1.000348313148779056e+01,4.856534904704122302e-01,9.405434801740824469e+00,0.000000000000000000e+00
3.500000000000002415e-02,1.000397751579522954e+01,5.247318013667070513e-01,9.386353646152002739e+00,0.000000000000000000e+00
3.600000000000002504e-02,1.000451130027979829e+01,5.652275267990863883e-01,9.367163164822322585e+00,0.000000000000000000e+00
3.700000000000002592e-02,1.000508590236696627e+01,6.071407148805660903e-01,9.347863771613253547e+00,0.000000000000000000e+00
3.800000000000002681e-02,1.000570273953026224e+01,6.504714135013039966e-01,9.328455861479413969e+00,0.000000000000000000e+00
3.900000000000002770e-02,1.000636322929105049e+01,6.952196703124164934e-01,9.308939810340028487e+00,0.000000000000000000e+00
4.000000000000002859e-02,1.000706878921829102e+01,7.413855327091298797e-01,9.289315974993563430e+00,0.000000000000000000e+00
4.100000000000002948e-02,1.000782083692827484e+01,7.889690478131790030e-01,9.269584693061329261e+00,0.000000000000000000e+00
4.200000000000003036e-02,1.000862079008434868e+01,8.379702624545137812e-01,9.249746282965647382e+00,0.000000000000000000e+00
