Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.992987309897339188e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124713124e+00,-9.084026838019253203e-03,9.985957233824171553e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640782229e+00,-1.675261158134264475e-02,9.978909745186465230e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064707772e+00,-2.300542657465789315e-02,9.971845145452901349e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177734882e+00,-2.784242119570744939e-02,9.964763527197053605e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500811731306e+00,-3.126354482037865118e-02,9.957664900659201734e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638849189182e+00,-3.326874682296277613e-02,9.950549285985630377e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093223226821e+00,-3.385797657604591032e-02,9.943416708672380366e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279917590478e+00,-3.303118345015119278e-02,9.936267195027328469e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614966656131e+00,-3.078831681324967554e-02,9.929100767650377080e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514455433034e+00,-2.712932603025518599e-02,9.921917618107412906e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394519567270e+00,-2.205416046261583773e-02,9.914718025678553204e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671345343523e+00,-1.556276946811313219e-02,9.907501978344976479e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761169688637e+00,-7.655102400981727423e-03,9.900269441244370583e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080280175167e+00,1.668891387539030852e-03,9.893020353920462640e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691045015028479e+00,1.240926254810770235e-02,9.885754625990498923e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071763121429e+00,2.456606173153384060e-02,9.878472132831106478e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733576963977910e+00,3.813933958629799753e-02,9.871172792089154768e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774977107767526e+00,5.312914675525004515e-02,9.863856742918290621e+00,0.000000000000000000e+00
