Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124711348e+00,-9.084026840572165945e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640773347e+00,-1.675261159306627723e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064682903e+00,-2.300542659287288516e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177690473e+00,-2.784242120844462876e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500811676239e+00,-3.126354480876981229e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638849153655e+00,-3.326874676446215512e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093223262348e+00,-3.385797644732556344e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279917771666e+00,-3.303118322888807384e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614967078904e+00,-3.078831647837825675e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514456216408e+00,-2.712932556060679984e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394520849799e+00,-2.205415983421624149e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671347288633e+00,-1.556276865077302687e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761172493505e+00,-7.655101355198026467e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080284081375e+00,1.668892711935217321e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691045020327351e+00,1.240926420966814887e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071770162907e+00,2.456606378902956300e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733576973167004e+00,3.813934208235394974e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774977119542996e+00,5.312914968931161525e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831688750083103e+00,6.953553715945762215e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905128456111569e+00,8.735855497123978797e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996712879408278e+00,1.065982535075054860e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785871210750e+01,1.272546830276718444e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023998269656644e+01,1.493278936368469811e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039450162520538e+01,1.728179352523151191e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057283234030692e+01,1.977248575679208531e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077639173379040e+01,2.240487100170008850e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100659674693659e+01,2.517895417346109888e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126486437008388e+01,2.809474015198735741e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155261164228548e+01,3.115223377993224796e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.000187125565092749e+01,3.435143985921412235e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.000222221353131147e+01,3.769236314781728159e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000002148e-02,1.000260690246621387e+01,4.117500835695248607e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000002237e-02,1.000302673968541001e+01,4.479938014865009754e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000002326e-02,1.000348314246517667e+01,4.856548313384619897e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000002415e-02,1.000397752812778229e+01,5.247332187100636203e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000002504e-02,1.000451131404095939e+01,5.652290086531400748e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000002592e-02,1.000508591761736632e+01,6.071422456843116322e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000002681e-02,1.000570275631405970e+01,6.504729737882047891e-01,0.000000000000000000e+00,0.000000000000000000e+00
