Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124711348e+00,-9.084026840626978003e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640775123e+00,-1.675261158653250718e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064697114e+00,-2.300542655913372092e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177754422e+00,-2.784242110429496764e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500811875191e+00,-3.126354456363308193e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638849647483e+00,-3.326874627922855876e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093224315728e+00,-3.385797559542230717e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279919777173e+00,-3.303118185578557409e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614970587209e+00,-3.078831438829051498e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514461977133e+00,-2.712932250654375571e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394529841717e+00,-2.205415563587143427e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671360703680e+00,-1.556276366932086638e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761190916102e+00,-7.655096210772441290e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080307648301e+00,1.668897886066642716e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691045049070581e+00,1.240926939305224061e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071804082441e+00,2.456606893388318252e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733577012191788e+00,3.813934705460971658e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774977163434997e+00,5.312915423223493749e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831688798309415e+00,6.953554086816471358e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905128507693419e+00,8.735855727772252888e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996712932757603e+00,1.065982536780954171e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785876486175e+01,1.272546801754870782e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023998274544645e+01,1.493278867517786046e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039450166589994e+01,1.728179232508445240e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057283236742123e+01,1.977248393646151847e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077639174085853e+01,2.240486846189506387e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100659672654757e+01,2.517895083593790218e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126486431412509e+01,2.809473597367441178e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155261154232811e+01,3.115222876928019913e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.000187125549878608e+01,3.435143409458020214e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.000222221331979178e+01,3.769235679760845059e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000002148e-02,1.000260690219005788e+01,4.117500170117237013e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000002237e-02,1.000302673934246656e+01,4.479937360142427494e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000002326e-02,1.000348314205779587e+01,4.856547726644238616e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000002415e-02,1.000397752766443737e+01,5.247331743482350763e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000002504e-02,1.000451131353809942e+01,5.652289881428927965e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000002592e-02,1.000508591710149098e+01,6.071422608030765389e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000002681e-02,1.000570275582400193e+01,6.504730387473113273e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000002770e-02,1.000636324722135839e+01,6.952213680445304966e-01,0.000000000000000000e+00,0.000000000000000000e+00
