Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-2.749349088918454173e-13,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794129303230e+00,-9.084052962854600316e-03,-5.821549688369002499e-13,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825619471276e+00,-1.675276202132104306e-02,-3.246836953108569968e-12,0.000000000000000000e+00
3.000000000000000062e-03,9.999968509841547615e+00,-2.300600610717963221e-02,2.390613761618702671e-12,0.000000000000000000e+00
4.000000000000000083e-03,9.999944262235542780e+00,-2.784389670039170983e-02,-5.135697561659862605e-12,0.000000000000000000e+00
5.000000000000000104e-03,9.999915498126490832e+00,-3.126656062368045330e-02,-3.899223397238923585e-12,0.000000000000000000e+00
6.000000000000000125e-03,9.999883632711913606e+00,-3.327412774081121155e-02,-3.316873232085151263e-11,0.000000000000000000e+00
7.000000000000000146e-03,9.999850081058779594e+00,-3.386673098088729961e-02,-1.048279128786729721e-11,0.000000000000000000e+00
8.000000000000000167e-03,9.999816258100425514e+00,-3.304450636909074535e-02,6.537210031422409793e-12,0.000000000000000000e+00
9.000000000000001055e-03,9.999783578633458347e+00,-3.080759305867941666e-02,3.458806018199559169e-11,0.000000000000000000e+00
1.000000000000000194e-02,9.999753457314620064e+00,-2.715613336152640847e-02,2.555736712029333720e-11,0.000000000000000000e+00
1.100000000000000283e-02,9.999727308657616831e+00,-2.209027278655745219e-02,5.126547274842628892e-11,0.000000000000000000e+00
1.200000000000000372e-02,9.999706547029918013e+00,-1.561016007892395904e-02,-2.825655254661890233e-11,0.000000000000000000e+00
1.300000000000000461e-02,9.999692586649508996e+00,-7.715947259993138907e-03,7.124967931193731987e-11,0.000000000000000000e+00
1.400000000000000550e-02,9.999686841581604924e+00,1.592210327614045420e-03,-1.330834942188711967e-10,0.000000000000000000e+00
1.500000000000000638e-02,9.999690725735318253e+00,1.231415397244054605e-02,-1.178141954034608622e-10,0.000000000000000000e+00
1.600000000000000727e-02,9.999705652860278349e+00,2.444972154431461486e-02,-1.034828546877609171e-10,0.000000000000000000e+00
1.700000000000000816e-02,9.999733036543206666e+00,3.799874744029430040e-02,-2.967173095641012485e-10,0.000000000000000000e+00
1.800000000000000905e-02,9.999774290204420879e+00,5.296106252426356631e-02,-5.116861414912206198e-10,0.000000000000000000e+00
1.900000000000000994e-02,9.999830827094299934e+00,6.933649407228088812e-02,-3.423299951525827947e-10,0.000000000000000000e+00
2.000000000000001082e-02,9.999904060289674490e+00,8.712486570753068260e-02,-6.471963469997988300e-10,0.000000000000000000e+00
2.100000000000001171e-02,9.999995402690160518e+00,1.063259973330110963e-01,-7.785912856370907160e-10,0.000000000000000000e+00
2.200000000000001260e-02,1.000010626701442540e+01,1.269397050639462510e-01,-3.316410506110146695e-10,0.000000000000000000e+00
2.300000000000001349e-02,1.000023806579638297e+01,1.489658011549236383e-01,-1.055843864587964739e-10,0.000000000000000000e+00
2.400000000000001438e-02,1.000039221138131751e+01,1.724040939223122904e-01,-1.214657475089503261e-10,0.000000000000000000e+00
2.500000000000001527e-02,1.000057011592192602e+01,1.972543876616687231e-01,-7.525787857269442266e-11,0.000000000000000000e+00
2.600000000000001615e-02,1.000077319137427523e+01,2.235164825665155175e-01,-3.609231377680534588e-10,0.000000000000000000e+00
2.700000000000001704e-02,1.000100284949368756e+01,2.511901746446031369e-01,-1.704694860876375703e-10,0.000000000000000000e+00
