Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.992595289841865736e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124713124e+00,-9.084026837971411264e-03,9.984731498341895772e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640782229e+00,-1.675261158114655508e-02,9.976416585643278268e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064707772e+00,-2.300542657661189261e-02,9.967662486460977078e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177731330e+00,-2.784242120755615196e-02,9.958483629079873722e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500811711766e+00,-3.126354485886356782e-02,9.948895518220860268e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638849123457e+00,-3.326874691798233086e-02,9.938918182342332486e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093223049186e+00,-3.385797677562034369e-02,9.928572602197089481e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279917183692e+00,-3.303118382643380202e-02,9.917881822551374071e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614965824796e+00,-3.078831746983486106e-02,9.906447219410051019e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514453869840e+00,-2.712932711102140210e-02,9.894637286356175565e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394516808587e+00,-2.205416216231523285e-02,9.882494980236799620e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671340719666e+00,-1.556277204489278122e-02,9.870021578757166125e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761162254584e+00,-7.655106190957839882e-03,9.857218385175059439e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080268632400e+00,1.668885953569024250e-03,9.844086727176483365e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691044997621958e+00,1.240925492579663530e-02,9.830627955893334047e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071737524127e+00,2.456605124200128554e-02,9.816843445043879512e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733576927150480e+00,3.813932539310419673e-02,9.802734590176823914e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774977055798431e+00,5.312912783942987105e-02,9.788302808006635658e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831688663215701e+00,6.953550900472080243e-02,9.773549535827369183e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905128339566573e+00,8.735851926935363221e-02,9.758476230994601153e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996712725383929e+00,1.065982089626861251e-01,9.743084370468222843e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785851151596e+01,1.272546283545043788e-01,9.727375450409233792e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023998243906576e+01,1.493278276454923781e-01,9.711350985820415005e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039450129932028e+01,1.728178569566733713e-01,9.695012510229778613e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057283193366686e+01,1.977247663177867376e-01,9.678361575411706497e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077639123350082e+01,2.240486056544783444e-01,9.661399751144548631e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100659614011533e+01,2.517894247742744063e-01,9.644128624987327925e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126486364458245e+01,2.809472733512402010e-01,9.626549802093327557e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155261078761626e+01,3.115222009092132316e-01,9.608664905043230675e+00,0.000000000000000000e+00
