Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.999986426757823565e+00,-1.929407298433290230e-02,2.555720290742931442e-14,0.000000000000000000e+00,1.372982135642523743e-15
5.000000000000000104e-03,9.999930505830022298e+00,-2.821725908672279015e-02,-7.795678645125910979e-14,0.000000000000000000e+00,2.241131931781180714e-15
7.499999999999999722e-03,9.999858165146255473e+00,-2.676830449819330576e-02,-7.058576433752746478e-15,0.000000000000000000e+00,1.485665159048364849e-14
1.000000000000000021e-02,9.999795335376504113e+00,-1.494664617920684474e-02,-5.237478640718455846e-14,0.000000000000000000e+00,5.073978603439458870e-14
1.250000000000000069e-02,9.999767948600149836e+00,7.248278217856510969e-03,8.122430669052912427e-13,0.000000000000000000e+00,1.254078612804785411e-13
1.500000000000000118e-02,9.999801938301599691e+00,3.981702979570471423e-02,2.592619236819909990e-12,0.000000000000000000e+00,2.231402800757967814e-13
1.750000000000000167e-02,9.999923239366895089e+00,8.276016825804213828e-02,3.323871465838120167e-12,0.000000000000000000e+00,2.480182125708417444e-13
2.000000000000000042e-02,1.000015778808029410e+01,1.360782511481647972e-01,-5.077206228830833939e-13,0.000000000000000000e+00,1.280765001182516831e-13
2.249999999999999917e-02,1.000053152211909335e+01,1.997718350354068806e-01,-1.245427361146611720e-12,0.000000000000000000e+00,-3.459682909180421987e-14
2.499999999999999792e-02,1.000107120008725659e+01,2.706712210359504267e-01,2.600330299420720994e-12,0.000000000000000000e+00,-2.976327778882170286e-13
2.749999999999999667e-02,1.000178836349118150e+01,3.421706165765618923e-01,9.993295335094082558e-12,0.000000000000000000e+00,-7.687131911443362268e-13
2.999999999999999542e-02,1.000268451237331746e+01,4.140874756832981785e-01,4.602796113899127048e-12,0.000000000000000000e+00,-1.806944611411928732e-12
3.249999999999999417e-02,1.000376069040753357e+01,4.864218226685875224e-01,-5.104976917231166706e-13,0.000000000000000000e+00,-3.394866984324493140e-12
3.499999999999999639e-02,1.000501794132527955e+01,5.591736757840312100e-01,-8.947704801788633152e-13,0.000000000000000000e+00,-5.617071985365676061e-12
3.749999999999999861e-02,1.000645730889994844e+01,6.323430462995336399e-01,-1.990461289926168718e-12,0.000000000000000000e+00,-8.666090517478199690e-12
4.000000000000000083e-02,1.000807983692885195e+01,7.059299374264602633e-01,-1.802272772593277840e-11,0.000000000000000000e+00,-1.261688387287841508e-11
4.250000000000000305e-02,1.000988656921241216e+01,7.799343430710969916e-01,-2.472936609786746118e-11,0.000000000000000000e+00,-1.757171208685148924e-11
4.500000000000000527e-02,1.001187854953013101e+01,8.543562463945520991e-01,-2.509512072744668011e-11,0.000000000000000000e+00,-2.336231547103567590e-11
4.750000000000000749e-02,1.001405682161285249e+01,9.291956181688788563e-01,-6.164558419423893134e-12,0.000000000000000000e+00,-3.042189278699646605e-11
5.000000000000000971e-02,1.001642242911078995e+01,1.004452414858601594e+00,5.518679495679855079e-11,0.000000000000000000e+00,-3.928285577462744286e-11
5.250000000000001193e-02,1.001897641556355545e+01,1.080126785681381207e+00,1.131429161703052433e-10,0.000000000000000000e+00,-5.160088925199014751e-11
5.500000000000001416e-02,1.002171982510726167e+01,1.156218942717398557e+00,2.798563561984336433e-11,0.000000000000000000e+00,-6.884127110033272551e-11
5.750000000000001638e-02,1.002465370222971153e+01,1.232728927621679293e+00,-3.616044539846750538e-11,0.000000000000000000e+00,-9.027999929005260406e-11
6.000000000000001860e-02,1.002777909152439761e+01,1.309656784021061338e+00,-2.247247626621729015e-11,0.000000000000000000e+00,-1.150348808468949521e-10
6.250000000000001388e-02,1.003109703769435335e+01,1.387002555803538373e+00,-2.073696910656079204e-11,0.000000000000000000e+00,-1.435177979451488210e-10
6.500000000000001610e-02,1.003460858555194157e+01,1.464766285677661317e+00,2.833271953208679173e-11,0.000000000000000000e+00,-1.764315092533780785e-10
6.750000000000001832e-02,1.003831478001514732e+01,1.542948013900748983e+00,-4.611302241046684248e-11,0.000000000000000000e+00,-2.147914230074301399e-10
7.000000000000002054e-02,1.004221666610077079e+01,1.621547777154477510e+00,-2.997716208325205745e-11,0.000000000000000000e+00,-2.580622477024496312e-10
7.250000000000002276e-02,1.004631528891489189e+01,1.700565607539879176e+00,-2.236140077887997716e-11,0.000000000000000000e+00,-3.064316393724545802e-10
7.500000000000002498e-02,1.005061169364087803e+01,1.780001531671282278e+00,-3.083312306660319827e-11,0.000000000000000000e+00,-3.602666995623562849e-10
7.750000000000002720e-02,1.005510692552518037e+01,1.859855569852025603e+00,-1.562410959077943395e-10,0.000000000000000000e+00,-4.192064546503895499e-10
8.000000000000002942e-02,1.005980202986111038e+01,1.940127735316611091e+00,-8.132777317164700070e-11,0.000000000000000000e+00,-4.824226895637532831e-10
8.250000000000003164e-02,1.006469805197074940e+01,2.020818033523909207e+00,-1.792493989489193711e-10,0.000000000000000000e+00,-5.506181359358723230e-10
8.500000000000003386e-02,1.006979603718512806e+01,2.101926461491653075e+00,-1.602959796104349326e-10,0.000000000000000000e+00,-6.228059173962218214e-10
8.750000000000003608e-02,1.007509703082275365e+01,2.183453007163814963e+00,-1.083247602465239677e-11,0.000000000000000000e+00,-6.993058162373466054e-10
9.000000000000003830e-02,1.008060207816657972e+01,2.265397648803699759e+00,-1.677277615087834842e-10,0.000000000000000000e+00,-7.816337593032325978e-10
9.250000000000004052e-02,1.008631222443946918e+01,2.347760354414210493e+00,-1.412259407067711058e-10,0.000000000000000000e+00,-8.684803754465662740e-10
9.500000000000004274e-02,1.009222851477823113e+01,2.430541081190168651e+00,-1.766687668860079860e-10,0.000000000000000000e+00,-9.602011514963693225e-10
9.750000000000004496e-02,1.009835199420631291e+01,2.513739775010909394e+00,-1.696695311888359389e-10,0.000000000000000000e+00,-1.056313698791268253e-09
1.000000000000000472e-01,1.010468370760525048e+01,2.597356369993236491e+00,-2.238862976495280308e-10,0.000000000000000000e+00,-1.157116977721276252e-09
1.025000000000000494e-01,1.011122469968591098e+01,2.681390812423127823e+00,-2.072114018869426819e-10,0.000000000000000000e+00,-1.261924134707844188e-09
1.050000000000000516e-01,1.011797601505457322e+01,2.765843068836661089e+00,-1.378908304875644505e-10,0.000000000000000000e+00,-1.371099205971270125e-09
1.075000000000000538e-01,1.012493869821751069e+01,2.850713088010614626e+00,-2.264065195440994095e-10,0.000000000000000000e+00,-1.484880422961945543e-09
1.100000000000000561e-01,1.013211379354967967e+01,2.936000812973782903e+00,-2.947993555820843362e-10,0.000000000000000000e+00,-1.602905764830028295e-09
1.125000000000000583e-01,1.013950234528044980e+01,3.021706181216828213e+00,-3.409412686385760361e-10,0.000000000000000000e+00,-1.724759305105076808e-09
1.150000000000000605e-01,1.014710539747992968e+01,3.107829124992419700e+00,-3.866487478423127811e-10,0.000000000000000000e+00,-1.849953802817776258e-09
1.175000000000000627e-01,1.015492399404608292e+01,3.194369571720198753e+00,-3.310588351842736340e-10,0.000000000000000000e+00,-1.978430595056522518e-09
1.200000000000000649e-01,1.016295917869293319e+01,3.281327444512415425e+00,-3.025347094530821694e-10,0.000000000000000000e+00,-2.110211592157467100e-09
1.225000000000000672e-01,1.017121199494014760e+01,3.368702662838004347e+00,-1.903757101874578786e-10,0.000000000000000000e+00,-2.245605997984313079e-09
1.250000000000000555e-01,1.017968348610438056e+01,3.456495143343696785e+00,-1.793190732331121197e-10,0.000000000000000000e+00,-2.385017115732792037e-09
1.275000000000000577e-01,1.018837469529275452e+01,3.544704800851610216e+00,-1.332238242447056843e-10,0.000000000000000000e+00,-2.528616055865136007e-09
1.300000000000000600e-01,1.019728666539894846e+01,3.633331549553865170e+00,-1.792462945367840414e-10,0.000000000000000000e+00,-2.676598412046677057e-09
1.325000000000000622e-01,1.020642043910238428e+01,3.722375304424773379e+00,-2.320466255643807302e-10,0.000000000000000000e+00,-2.828679152480513585e-09
1.350000000000000644e-01,1.021577705887108323e+01,3.811835982870194872e+00,-2.945788052384062550e-10,0.000000000000000000e+00,-2.984308020375773962e-09
1.375000000000000666e-01,1.022535756696878018e+01,3.901713506632737083e+00,-1.913359097106339070e-10,0.000000000000000000e+00,-3.143366604406300779e-09
1.400000000000000688e-01,1.023516300546694779e+01,3.992007803968857793e+00,-1.958983505572613238e-10,0.000000000000000000e+00,-3.306439296347702906e-09
1.425000000000000711e-01,1.024519441415593590e+01,4.082715176720085104e+00,-2.751430532954702759e-10,0.000000000000000000e+00,-3.474381665223215126e-09
1.450000000000000733e-01,1.025545282790356971e+01,4.173839394145158366e+00,-1.684180821131607792e-10,0.000000000000000000e+00,-3.646828818828043917e-09
1.475000000000000755e-01,1.026593928880119222e+01,4.265380424266873582e+00,-1.811124245434563818e-10,0.000000000000000000e+00,-3.823952511038243633e-09
1.500000000000000777e-01,1.027665483886952380e+01,4.357338252493470065e+00,-9.772717163043290895e-11,0.000000000000000000e+00,-4.005563515887033762e-09
1.525000000000000799e-01,1.028760052013589466e+01,4.449713360294429876e+00,-1.528316713413719254e-10,0.000000000000000000e+00,-4.192193264768829222e-09
1.550000000000000822e-01,1.029877737631430179e+01,4.542506209711286935e+00,-1.778573027476944754e-10,0.000000000000000000e+00,-4.383755763282159509e-09
1.575000000000000844e-01,1.031018645174005854e+01,4.635716758358473299e+00,-1.228561340569937594e-10,0.000000000000000000e+00,-4.580621459719787333e-09
1.600000000000000866e-01,1.032182879063318559e+01,4.729344949027328937e+00,-1.382099296160262802e-10,0.000000000000000000e+00,-4.783240679968984704e-09
1.625000000000000888e-01,1.033370543706284650e+01,4.823391281220685833e+00,-2.856614676688611635e-10,0.000000000000000000e+00,-4.991959440009609960e-09
1.650000000000000910e-01,1.034581743415458099e+01,4.917853429037728041e+00,-6.459270132539918174e-10,0.000000000000000000e+00,-5.206279256182718584e-09
1.675000000000000933e-01,1.035816582971942523e+01,5.012741430223696781e+00,-8.969354007734173761e-10,0.000000000000000000e+00,-5.423475828175920137e-09
1.700000000000000955e-01,1.037075168267412550e+01,5.108047587815193857e+00,-5.272822319561916453e-10,0.000000000000000000e+00,-5.642935160878437173e-09
1.725000000000000977e-01,1.038357603837622278e+01,5.203771838286274765e+00,-4.231466387651397063e-10,0.000000000000000000e+00,-5.865846768951834622e-09
1.750000000000000999e-01,1.039663994201868924e+01,5.299914108119274658e+00,-7.776613454509956984e-10,0.000000000000000000e+00,-6.092738163805448819e-09
1.775000000000001021e-01,1.040994443860494378e+01,5.396474313702497305e+00,-1.031836232200739232e-09,0.000000000000000000e+00,-6.322715039846242934e-09
1.800000000000001044e-01,1.042349057292352477e+01,5.493452361090914060e+00,-8.974816366408670459e-10,0.000000000000000000e+00,-6.555221807420614309e-09
1.825000000000001066e-01,1.043727938952208945e+01,5.590848145652414836e+00,-1.261539137162110061e-09,0.000000000000000000e+00,-6.790668664283406229e-09
1.850000000000001088e-01,1.045131193268047554e+01,5.688661551614917933e+00,-1.407647451465634806e-09,0.000000000000000000e+00,-7.028730033894180119e-09
1.875000000000001110e-01,1.046558924638257082e+01,5.786892451525178949e+00,-1.223256946213179390e-09,0.000000000000000000e+00,-7.269176052868798331e-09
1.900000000000001132e-01,1.048011237428677944e+01,5.885540705625237123e+00,-1.561791113578636885e-09,0.000000000000000000e+00,-7.512782132266313123e-09
1.925000000000001155e-01,1.049488235969489303e+01,5.984606161149405246e+00,-1.049906389839450440e-09,0.000000000000000000e+00,-7.759258171424385431e-09
1.950000000000001177e-01,1.050990024551914459e+01,6.084088651543520854e+00,-9.214960528637470034e-10,0.000000000000000000e+00,-8.010273909108136897e-09
1.975000000000001199e-01,1.052516707424728004e+01,6.183987995605431109e+00,-1.145360120114345705e-09,0.000000000000000000e+00,-8.266168134584037618e-09
2.000000000000001221e-01,1.054068388790542876e+01,6.284303996542890403e+00,-1.088142284640885816e-09,0.000000000000000000e+00,-8.527536890641935275e-09
2.025000000000001243e-01,1.055645172801455445e+01,6.385036586934019098e+00,-7.244602280789853061e-10,0.000000000000000000e+00,-8.794662274596868366e-09
2.050000000000001266e-01,1.057247163609130070e+01,6.486185784742129812e+00,-2.060524501611946734e-09,0.000000000000000000e+00,-9.068183561479475542e-09
2.075000000000001288e-01,1.058874465361292572e+01,6.587751517453609651e+00,-2.031195297935479125e-09,0.000000000000000000e+00,-9.344528470414122389e-09
2.100000000000001310e-01,1.060527182187508899e+01,6.689733711994875875e+00,-2.844962800560144097e-09,0.000000000000000000e+00,-9.624013214903447025e-09
2.125000000000001332e-01,1.062205425068253462e+01,6.792012491602968716e+00,-2.428362260372036283e-09,0.000000000000000000e+00,-9.904308200315822045e-09
2.150000000000001354e-01,1.063909229883866558e+01,6.894101956922501273e+00,-2.436958196537573407e-09,0.000000000000000000e+00,-1.018588966043289133e-08
2.175000000000001377e-01,1.065638543253963988e+01,6.995948125169859644e+00,-2.586713902460976532e-09,0.000000000000000000e+00,-1.046890424413393559e-08
2.200000000000001399e-01,1.067393304347121763e+01,7.097550870271717827e+00,-2.709774728645826775e-09,0.000000000000000000e+00,-1.075315418326366286e-08
2.225000000000001421e-01,1.069173452300493388e+01,7.198910067851426398e+00,-3.174738922354741136e-09,0.000000000000000000e+00,-1.103803017616545472e-08
2.250000000000001443e-01,1.070978926220237959e+01,7.300025595290239977e+00,-3.148623418097139000e-09,0.000000000000000000e+00,-1.132227982938507867e-08
2.275000000000001465e-01,1.072809665181962835e+01,7.400897331785043498e+00,-4.011188697625684013e-09,0.000000000000000000e+00,-1.160534276953671857e-08
2.300000000000001488e-01,1.074665608231180336e+01,7.501525158404368732e+00,-3.669377770873778376e-09,0.000000000000000000e+00,-1.188589790560353677e-08
2.325000000000001510e-01,1.076546694383779013e+01,7.601908958143623884e+00,-3.551809451024452633e-09,0.000000000000000000e+00,-1.216375794077119094e-08
2.350000000000001532e-01,1.078452862626508590e+01,7.702048615979809831e+00,-3.861668808829607507e-09,0.000000000000000000e+00,-1.243916505255438361e-08
2.375000000000001554e-01,1.080384051917477883e+01,7.801944018923636648e+00,-4.629589759738019183e-09,0.000000000000000000e+00,-1.271178953885486111e-08
2.400000000000001577e-01,1.082340201488936948e+01,7.901580548777671353e+00,-5.859876092206996030e-09,0.000000000000000000e+00,-1.298286469477892141e-08
2.425000000000001599e-01,1.084321244796883832e+01,8.000967599087253745e+00,-6.307641847164330682e-09,0.000000000000000000e+00,-1.324930199225051910e-08
2.450000000000001621e-01,1.086327120983987271e+01,8.100108073230009254e+00,-7.832382237261579546e-09,0.000000000000000000e+00,-1.351018262210420175e-08
2.475000000000001643e-01,1.088357768400105741e+01,8.199003878801661926e+00,-7.406399615329770467e-09,0.000000000000000000e+00,-1.376113501737420412e-08
2.500000000000001665e-01,1.090413125872042599e+01,8.297654909466880113e+00,-6.292331524329725204e-09,0.000000000000000000e+00,-1.400222732033277931e-08
2.525000000000001688e-01,1.092493132198907091e+01,8.396060779531589802e+00,-6.029269143417503835e-09,0.000000000000000000e+00,-1.423648303872563928e-08
2.550000000000001710e-01,1.094597726053945763e+01,8.494221064631840790e+00,-5.354886019584254429e-09,0.000000000000000000e+00,-1.446397738780582989e-08
2.575000000000001732e-01,1.096726846031492997e+01,8.592135597023517590e+00,-3.874270801671183544e-09,0.000000000000000000e+00,-1.468644118088723588e-08
2.600000000000001754e-01,1.098880430683776410e+01,8.689804205895736544e+00,-3.654465002603066410e-09,0.000000000000000000e+00,-1.490718174105034578e-08
2.625000000000001776e-01,1.101058418518555548e+01,8.787226639533411543e+00,-3.756963391963934630e-09,0.000000000000000000e+00,-1.512587006990563328e-08
2.650000000000001799e-01,1.103260747969782685e+01,8.884402559726899185e+00,-3.707563013968462613e-09,0.000000000000000000e+00,-1.534274463095625020e-08
