Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-3.284756899864338879e-14,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.999986426761424241e+00,-1.929406995319174478e-02,2.183519524772512556e-13,0.000000000000000000e+00,6.647148033642175046e-15
5.000000000000000104e-03,9.999930505842856476e+00,-2.821726835140252534e-02,2.039597163623195445e-13,0.000000000000000000e+00,1.234068267553709940e-14
7.499999999999999722e-03,9.999858165124745568e+00,-2.676835749858888849e-02,-2.146200097069241272e-12,0.000000000000000000e+00,-6.395105846265339692e-14
1.000000000000000021e-02,9.999795335184701983e+00,-1.494680413711242314e-02,1.698997211415398940e-12,0.000000000000000000e+00,6.433094242088313887e-14
1.250000000000000069e-02,9.999767947932749479e+00,7.247928032812527704e-03,-6.254015835131366360e-12,0.000000000000000000e+00,1.462552467816684223e-13
1.500000000000000118e-02,9.999801936620302811e+00,3.981637210123861736e-02,-9.916430412374973165e-12,0.000000000000000000e+00,5.726372866148351784e-13
1.750000000000000167e-02,9.999923235827944623e+00,8.275905615407511129e-02,-7.134972350048203449e-12,0.000000000000000000e+00,1.808218305469997536e-12
2.000000000000000042e-02,1.000015778145411005e+01,1.360765039768881968e-01,4.993301077123915019e-12,0.000000000000000000e+00,4.002042649743736068e-12
2.249999999999999917e-02,1.000053151070397384e+01,1.997692344182564195e-01,3.583439160392828321e-11,0.000000000000000000e+00,6.797255233297493687e-12
2.499999999999999792e-02,1.000107118161587216e+01,2.706675141983504451e-01,7.023352561361834517e-11,0.000000000000000000e+00,9.616085128242193468e-12
2.749999999999999667e-02,1.000178833504279474e+01,3.421655104358038435e-01,7.057585592789699472e-11,0.000000000000000000e+00,1.113810209554954653e-11
2.999999999999999542e-02,1.000268447027070273e+01,4.140806353143098861e-01,5.097042438124278027e-11,0.000000000000000000e+00,1.128805948249833164e-11
3.249999999999999417e-02,1.000376063011229455e+01,4.864128705791730400e-01,6.945559425185862287e-11,0.000000000000000000e+00,1.044741778555648529e-11
3.499999999999999639e-02,1.000501785733075799e+01,5.591621909666615320e-01,8.926547881059763761e-11,0.000000000000000000e+00,7.725964825153968571e-12
3.749999999999999861e-02,1.000645719462202266e+01,6.323285637982317686e-01,1.697479551259592096e-10,0.000000000000000000e+00,2.329158721639492948e-12
4.000000000000000083e-02,1.000807968459598918e+01,7.059119485638679636e-01,8.183110924881750880e-11,0.000000000000000000e+00,-7.656295036001282787e-12
4.250000000000000305e-02,1.000988636975670865e+01,7.799122964791541657e-01,1.047636996957565976e-10,0.000000000000000000e+00,-2.180101765356044647e-11
4.500000000000000527e-02,1.001187829248143579e+01,8.543295500163894385e-01,4.641458550132474133e-11,0.000000000000000000e+00,-4.082872895379274029e-11
4.750000000000000749e-02,1.001405649499849559e+01,9.291636424124251059e-01,-9.266946788270810730e-11,0.000000000000000000e+00,-6.472503998548356048e-11
5.000000000000000971e-02,1.001642201936391352e+01,1.004414497160839304e+00,-2.084137974004091269e-10,0.000000000000000000e+00,-9.183229277434910322e-11
5.250000000000001193e-02,1.001897590744643551e+01,1.080082265996968882e+00,-9.847966253493788711e-13,0.000000000000000000e+00,-1.202618374324167051e-10
5.500000000000001416e-02,1.002171920175044662e+01,1.156167162749120125e+00,-3.706497689250065746e-11,0.000000000000000000e+00,-1.535008406166111184e-10
5.750000000000001638e-02,1.002465294510096605e+01,1.232669198607592831e+00,-1.206626831230734418e-10,0.000000000000000000e+00,-1.910798465734819947e-10
6.000000000000001860e-02,1.002777818035242419e+01,1.309588387158184597e+00,-1.355310484659949448e-11,0.000000000000000000e+00,-2.325058676309785724e-10
6.250000000000001388e-02,1.003109595039443924e+01,1.386924744024880418e+00,2.627604211793362302e-11,0.000000000000000000e+00,-2.795723396434707617e-10
6.500000000000001610e-02,1.003460729815672536e+01,1.464678286538618757e+00,-5.917772595671217990e-11,0.000000000000000000e+00,-3.343038850833372176e-10
6.750000000000001832e-02,1.003831326661317291e+01,1.542849033414404492e+00,-2.710553416090397058e-10,0.000000000000000000e+00,-3.945981547087766035e-10
7.000000000000002054e-02,1.004221489878512941e+01,1.621437004445485552e+00,-3.596506119359683733e-10,0.000000000000000000e+00,-4.591521370652257746e-10
7.250000000000002276e-02,1.004631323774393081e+01,1.700442220210777400e+00,-2.472082457252322112e-10,0.000000000000000000e+00,-5.272125192106577711e-10
7.500000000000002498e-02,1.005060932661269923e+01,1.779864701798694826e+00,-8.415609239611835450e-11,0.000000000000000000e+00,-6.003476739461234922e-10
7.750000000000002720e-02,1.005510420856746734e+01,1.859704470539316201e+00,-3.939933946842161785e-10,0.000000000000000000e+00,-6.803960352422145774e-10
8.000000000000002942e-02,1.005979892683763843e+01,1.939961547750505888e+00,-3.216012059275850851e-10,0.000000000000000000e+00,-7.639490018155143360e-10
8.250000000000003164e-02,1.006469452470580883e+01,2.020635954499222731e+00,-1.197246835236278911e-10,0.000000000000000000e+00,-8.523121358864199014e-10
8.500000000000003386e-02,1.006979204550709106e+01,2.101727711135310539e+00,-9.045977072794137630e-11,0.000000000000000000e+00,-9.487031779723174220e-10
8.750000000000003608e-02,1.007509253262634452e+01,2.183236836136313919e+00,2.436576400466896892e-10,0.000000000000000000e+00,-1.052709961199078953e-09
9.000000000000003830e-02,1.008059702949420711e+01,2.265163347827233054e+00,-1.605399215796041581e-11,0.000000000000000000e+00,-1.167767076243547650e-09
9.250000000000004052e-02,1.008630657958690335e+01,2.347507263594519333e+00,-5.981687329941245099e-11,0.000000000000000000e+00,-1.293260613716533005e-09
9.500000000000004274e-02,1.009222222642339517e+01,2.430268599480760461e+00,-3.858761753397394516e-10,0.000000000000000000e+00,-1.429208764492365513e-09
9.750000000000004496e-02,1.009834501356191794e+01,2.513447370006673065e+00,-2.978404374464324682e-10,0.000000000000000000e+00,-1.572884537224037090e-09
1.000000000000000472e-01,1.010467598459608141e+01,2.597043587998407510e+00,-9.056564231550024411e-10,0.000000000000000000e+00,-1.724472335119998576e-09
1.025000000000000494e-01,1.011121618316130544e+01,2.681057453727438311e+00,-6.962535985840535889e-10,0.000000000000000000e+00,-1.880158593933407154e-09
1.050000000000000516e-01,1.011796665358636105e+01,2.765489174796579519e+00,-1.154538780551242228e-09,0.000000000000000000e+00,-2.041375251858332768e-09
1.075000000000000538e-01,1.012492844052118990e+01,2.850338771458960530e+00,-1.507658002843811508e-09,0.000000000000000000e+00,-2.204920967936665637e-09
1.100000000000000561e-01,1.013210258866422819e+01,2.935606260103192255e+00,-1.807604841580895277e-09,0.000000000000000000e+00,-2.369291140406293648e-09
1.125000000000000583e-01,1.013949014275259941e+01,3.021291653001062283e+00,-1.003906301414242232e-09,0.000000000000000000e+00,-2.531362252723299152e-09
1.150000000000000605e-01,1.014709214755168354e+01,3.107394958081157732e+00,-1.629726172251191492e-09,0.000000000000000000e+00,-2.696371388231719103e-09
1.175000000000000627e-01,1.015490964784414274e+01,3.193916178727539190e+00,-1.835184408545930908e-09,0.000000000000000000e+00,-2.861043378808335112e-09
1.200000000000000649e-01,1.016294368841845852e+01,3.280855313601064971e+00,-2.443447774482910776e-09,0.000000000000000000e+00,-3.023868778927409133e-09
1.225000000000000672e-01,1.017119531405702126e+01,3.368212356482795933e+00,-2.483655823859580975e-09,0.000000000000000000e+00,-3.181340762740573210e-09
1.250000000000000555e-01,1.017966556952386270e+01,3.455987296140731413e+00,-1.120409724516141917e-09,0.000000000000000000e+00,-3.333269244396629497e-09
1.275000000000000577e-01,1.018835549955204556e+01,3.544180116218417886e+00,-1.209742982051502053e-09,0.000000000000000000e+00,-3.485867312005636593e-09
1.300000000000000600e-01,1.019726614883080451e+01,3.632790795145488971e+00,-1.204454524158523129e-09,0.000000000000000000e+00,-3.639872179321224644e-09
1.325000000000000622e-01,1.020639856199247042e+01,3.721819306069785060e+00,-7.194618416089560844e-10,0.000000000000000000e+00,-3.794356568214534720e-09
1.350000000000000644e-01,1.021575378359923292e+01,3.811265616812425261e+00,-1.046509906259772528e-09,0.000000000000000000e+00,-3.952184576563619621e-09
1.375000000000000666e-01,1.022533285812981063e+01,3.901129689846302373e+00,-1.335024348887328492e-09,0.000000000000000000e+00,-4.111774103380975666e-09
1.400000000000000688e-01,1.023513682996607876e+01,3.991411482294569435e+00,-1.090690624806310983e-09,0.000000000000000000e+00,-4.270714910271080925e-09
1.425000000000000711e-01,1.024516674337970201e+01,4.082110945955369274e+00,-4.022655311990608942e-10,0.000000000000000000e+00,-4.430273085611805359e-09
1.450000000000000733e-01,1.025542364251884742e+01,4.173228027352383407e+00,-2.410309113502077044e-10,0.000000000000000000e+00,-4.594984678029045684e-09
1.475000000000000755e-01,1.026590857139504287e+01,4.264762667807795893e+00,-1.045641816216874539e-09,0.000000000000000000e+00,-4.764573574575130384e-09
1.500000000000000777e-01,1.027662257387022215e+01,4.356714803542764969e+00,-5.643928433625464595e-10,0.000000000000000000e+00,-4.936406865663251520e-09
1.525000000000000799e-01,1.028756669362202025e+01,4.449083991123171877e+00,-6.316477566502780686e-10,0.000000000000000000e+00,-5.112380118958644746e-09
1.550000000000000822e-01,1.029874197284436299e+01,4.541869793956258228e+00,-3.143413498757689888e-10,0.000000000000000000e+00,-5.292173917421242959e-09
1.575000000000000844e-01,1.031014945304013253e+01,4.635072149958815224e+00,1.767463411199004095e-10,0.000000000000000000e+00,-5.476158726431717546e-09
1.600000000000000866e-01,1.032179017555583656e+01,4.728690994982524209e+00,5.919760398327333227e-10,0.000000000000000000e+00,-5.666476261095381049e-09
1.625000000000000888e-01,1.033366518157644087e+01,4.822726262820658860e+00,1.228299399939171002e-09,0.000000000000000000e+00,-5.865227443313835865e-09
1.650000000000000910e-01,1.034577551212023749e+01,4.917177885216152511e+00,5.317647031302787896e-10,0.000000000000000000e+00,-6.074254236249537931e-09
1.675000000000000933e-01,1.035812220803371808e+01,5.012045791867873135e+00,3.585984397240798047e-10,0.000000000000000000e+00,-6.291954219401236372e-09
1.700000000000000955e-01,1.037070630998646692e+01,5.107329910439159626e+00,-2.096978574872463526e-10,0.000000000000000000e+00,-6.517732505033501522e-09
1.725000000000000977e-01,1.038352885846607876e+01,5.203030166565231873e+00,1.079754606513608543e-10,0.000000000000000000e+00,-6.750086413574996166e-09
1.750000000000000999e-01,1.039659089377309087e+01,5.299146483861229662e+00,1.242582606924879257e-09,0.000000000000000000e+00,-6.990340098089928407e-09
1.775000000000001021e-01,1.040989345601594174e+01,5.395678783930439870e+00,1.770037118916813205e-09,0.000000000000000000e+00,-7.241183898932343107e-09
1.800000000000001044e-01,1.042343758510594043e+01,5.492626986371129227e+00,3.395011763746091125e-09,0.000000000000000000e+00,-7.505441311129247047e-09
1.825000000000001066e-01,1.043722432075226259e+01,5.589991008785232474e+00,3.740058377131071105e-09,0.000000000000000000e+00,-7.788393539236438548e-09
1.850000000000001088e-01,1.045125470245696064e+01,5.687770766787511256e+00,4.679481498844847773e-09,0.000000000000000000e+00,-8.091283017268434563e-09
1.875000000000001110e-01,1.046552976951000424e+01,5.785966174013664975e+00,5.518969667948686790e-09,0.000000000000000000e+00,-8.417837462390449209e-09
1.900000000000001132e-01,1.048005056098433663e+01,5.884577142129153060e+00,4.356753803039518015e-09,0.000000000000000000e+00,-8.770757139391543409e-09
1.925000000000001155e-01,1.049481811573095413e+01,5.983603580838986247e+00,3.933644625637238748e-09,0.000000000000000000e+00,-9.146528045589926321e-09
1.950000000000001177e-01,1.050983347237400878e+01,6.083045397894610851e+00,3.803842523435259189e-09,0.000000000000000000e+00,-9.545092344756021601e-09
1.975000000000001199e-01,1.052509766930593038e+01,6.182902499103460237e+00,5.588637779647753700e-09,0.000000000000000000e+00,-9.965543235589865738e-09
2.000000000000001221e-01,1.054061174468257001e+01,6.283174788338838468e+00,6.634563531268256164e-09,0.000000000000000000e+00,-1.041375268588009682e-08
2.025000000000001243e-01,1.055637673647759378e+01,6.383863075212195426e+00,7.210064835942301767e-09,0.000000000000000000e+00,-1.089238766979612068e-08
2.050000000000001266e-01,1.057239368557525339e+01,6.484968090758444603e+00,7.092962242860759408e-09,0.000000000000000000e+00,-1.140208615199236406e-08
2.075000000000001288e-01,1.058866363367811658e+01,6.586489625296226613e+00,6.505057282705808445e-09,0.000000000000000000e+00,-1.194349994299865184e-08
2.100000000000001310e-01,1.060518762196561582e+01,6.688427471394335910e+00,6.589638020426809349e-09,0.000000000000000000e+00,-1.251400565748849726e-08
2.125000000000001332e-01,1.062196675978240279e+01,6.790661639922159765e+00,7.626348543414606061e-09,0.000000000000000000e+00,-1.311500516906717930e-08
2.150000000000001354e-01,1.063900140526133065e+01,6.892706183837937317e+00,8.226508789676341334e-09,0.000000000000000000e+00,-1.374786477531042558e-08
2.175000000000001377e-01,1.065629102377066317e+01,6.994507022130401985e+00,6.980902213215395670e-09,0.000000000000000000e+00,-1.441477148510900891e-08
2.200000000000001399e-01,1.067383499337177355e+01,7.096058662755437396e+00,7.912025874725087716e-09,0.000000000000000000e+00,-1.511361119299737416e-08
2.225000000000001421e-01,1.069163269449624920e+01,7.197333930245831901e+00,7.137603248147974087e-09,0.000000000000000000e+00,-1.584913858085328314e-08
2.250000000000001443e-01,1.070968344592144916e+01,7.298366335958469620e+00,7.719297782256031356e-09,0.000000000000000000e+00,-1.661882478011723682e-08
2.275000000000001465e-01,1.072798664041045136e+01,7.399155737375922470e+00,8.813087855425408103e-09,0.000000000000000000e+00,-1.742366162621605589e-08
2.300000000000001488e-01,1.074654167037903107e+01,7.499702008545435561e+00,8.694719427790614317e-09,0.000000000000000000e+00,-1.826662509785791190e-08
2.325000000000001510e-01,1.076534792793841611e+01,7.600005042535361355e+00,6.861248845316295031e-09,0.000000000000000000e+00,-1.914722693149960073e-08
2.350000000000001532e-01,1.078440480494428222e+01,7.700064754071445527e+00,7.137974860680336253e-09,0.000000000000000000e+00,-2.006084417556788726e-08
2.375000000000001554e-01,1.080371169305243839e+01,7.799881082341616256e+00,8.032357932634934049e-09,0.000000000000000000e+00,-2.100848794879944109e-08
2.400000000000001577e-01,1.082326798378161925e+01,7.899453993958875486e+00,9.495802020380612817e-09,0.000000000000000000e+00,-2.199011477413701750e-08
2.425000000000001599e-01,1.084307306858375952e+01,7.998783486074193760e+00,8.258133459759871542e-09,0.000000000000000000e+00,-2.300770275802976017e-08
2.450000000000001621e-01,1.086312633892213597e+01,8.097869589619770991e+00,8.812759989099298574e-09,0.000000000000000000e+00,-2.405911114973354736e-08
2.475000000000001643e-01,1.088342718635768236e+01,8.196712372664002544e+00,1.025579025317307257e-08,0.000000000000000000e+00,-2.514512220391739544e-08
2.500000000000001665e-01,1.090397500264374209e+01,8.295311943861708670e+00,9.014726840880361644e-09,0.000000000000000000e+00,-2.626668567070988883e-08
2.525000000000001688e-01,1.092476917987348806e+01,8.393669290903682523e+00,9.252688262470461680e-09,0.000000000000000000e+00,-2.742146078281547082e-08
2.550000000000001710e-01,1.094580911354193908e+01,8.491785657271766041e+00,7.789837912971631515e-09,0.000000000000000000e+00,-2.860746163379250606e-08
2.575000000000001732e-01,1.096709420152970260e+01,8.589661697905604854e+00,1.017537330292019407e-08,0.000000000000000000e+00,-2.982135192796698726e-08
