Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.095593960900937137e-12,0.000000000000000000e+00,1.065433253803923578e-13
2.500000000000000052e-03,9.999986426795240746e+00,-1.929410961163238042e-02,1.864460452838392897e-12,0.000000000000000000e+00,2.232298477051614581e-13
5.000000000000000104e-03,9.999930505743426679e+00,-2.821751175820600560e-02,1.410135434668047086e-12,0.000000000000000000e+00,4.674549041011575327e-13
7.499999999999999722e-03,9.999858164233508262e+00,-2.676904597786369105e-02,7.274268147195762812e-12,0.000000000000000000e+00,7.951541529344269309e-13
1.000000000000000021e-02,9.999795332255139613e+00,-1.494811906468207843e-02,5.365724638483631781e-12,0.000000000000000000e+00,6.280121864237492844e-13
1.250000000000000069e-02,9.999767941323607801e+00,7.245915850901386152e-03,-1.512102495221216263e-11,0.000000000000000000e+00,9.037113885759676134e-14
1.500000000000000118e-02,9.999801924585183244e+00,3.981371789619747581e-02,7.007293406412922946e-12,0.000000000000000000e+00,-1.576641245037757023e-14
1.750000000000000167e-02,9.999923216831358985e+00,8.275593578676275486e-02,-4.256254730249871864e-12,0.000000000000000000e+00,-2.335904580194091318e-13
2.000000000000000042e-02,1.000015775446460253e+01,1.360731973212157275e-01,-3.444751030619171373e-11,0.000000000000000000e+00,-4.093243680692401143e-13
2.249999999999999917e-02,1.000053147544292287e+01,1.997661061929382476e-01,-4.676424955009859699e-11,0.000000000000000000e+00,2.770737043411513064e-13
2.499999999999999792e-02,1.000107113875835196e+01,2.706649963679084170e-01,-6.569021681785882027e-11,0.000000000000000000e+00,2.168531082385027780e-12
2.749999999999999667e-02,1.000178828637654860e+01,3.421640876993752300e-01,-8.201127004411088541e-11,0.000000000000000000e+00,5.701640220696825968e-12
2.999999999999999542e-02,1.000268441881942572e+01,4.140808316039064074e-01,-7.277925998044528777e-11,0.000000000000000000e+00,1.108825715606046257e-11
3.249999999999999417e-02,1.000376058022518500e+01,4.864152335846828601e-01,-7.025456250166659780e-11,0.000000000000000000e+00,1.821931898802143658e-11
3.499999999999999639e-02,1.000501781472884844e+01,5.591672627505291926e-01,-7.141716168380975903e-11,0.000000000000000000e+00,2.708508979522444029e-11
3.749999999999999861e-02,1.000645716635477989e+01,6.323368006322273027e-01,-7.264854188810092049e-11,0.000000000000000000e+00,3.766103973043227672e-11
4.000000000000000083e-02,1.000807967874184889e+01,7.059234499446472855e-01,-7.266955436665063113e-11,0.000000000000000000e+00,4.996951068905839251e-11
4.250000000000000305e-02,1.000988639379109024e+01,7.799271215674834501e-01,-7.401815453810319379e-11,0.000000000000000000e+00,6.400765006779990515e-11
4.500000000000000527e-02,1.001187835537560034e+01,8.543485289442854791e-01,-7.718195088572071433e-11,0.000000000000000000e+00,7.978640070173922134e-11
4.750000000000000749e-02,1.001405660810839926e+01,9.291883812498540340e-01,-7.898654314536280590e-11,0.000000000000000000e+00,9.732038952135470310e-11
5.000000000000000971e-02,1.001642219797947497e+01,1.004446532232482925e+00,-9.161328337226110190e-11,0.000000000000000000e+00,1.165915253839807846e-10
5.250000000000001193e-02,1.001897617066149770e+01,1.080122463912204900e+00,-9.208479043432816958e-11,0.000000000000000000e+00,1.377209832937510893e-10
5.500000000000001416e-02,1.002171956999248081e+01,1.156215470757725239e+00,-9.377241040529373470e-11,0.000000000000000000e+00,1.607281260634752175e-10
5.750000000000001638e-02,1.002465343844993129e+01,1.232725118450181512e+00,-9.112514227048370462e-11,0.000000000000000000e+00,1.856283252783011355e-10
6.000000000000001860e-02,1.002777881735955923e+01,1.309651164317270799e+00,-9.270299789045479042e-11,0.000000000000000000e+00,2.124092765098226008e-10
6.250000000000001388e-02,1.003109674799358864e+01,1.386995733004534381e+00,-9.119249223609833779e-11,0.000000000000000000e+00,2.410725531844143289e-10
6.500000000000001610e-02,1.003460827716773807e+01,1.464756590804205727e+00,-9.069973971030450801e-11,0.000000000000000000e+00,2.716068904037770564e-10
6.750000000000001832e-02,1.003831444538637996e+01,1.542935496764550551e+00,-8.950028421548631104e-11,0.000000000000000000e+00,3.040466522915739853e-10
7.000000000000002054e-02,1.004221629874994370e+01,1.621533446704929826e+00,-8.393953376623862861e-11,0.000000000000000000e+00,3.383670983285761553e-10
7.250000000000002276e-02,1.004631488478511159e+01,1.700550154322840957e+00,-5.240902635632021403e-11,0.000000000000000000e+00,3.745453121496582694e-10
7.500000000000002498e-02,1.005061125027763680e+01,1.779985441864636364e+00,-7.701130685062899083e-11,0.000000000000000000e+00,4.124694084533900941e-10
7.750000000000002720e-02,1.005510644158015054e+01,1.859839152921490379e+00,-5.508683381165380032e-12,0.000000000000000000e+00,4.523278214275858719e-10
8.000000000000002942e-02,1.005980150466532663e+01,1.940111142312564541e+00,-4.449965834817044420e-12,0.000000000000000000e+00,4.939156134802106118e-10
8.250000000000003164e-02,1.006469748514454032e+01,2.020801259976320097e+00,7.792236547342585300e-11,0.000000000000000000e+00,5.373445155305856768e-10
8.500000000000003386e-02,1.006979542824710983e+01,2.101909337197753302e+00,1.602734834641297043e-10,0.000000000000000000e+00,5.824273361056109946e-10
8.750000000000003608e-02,1.007509637876652242e+01,2.183435174894515995e+00,9.777539511953269884e-11,0.000000000000000000e+00,6.289061920304494764e-10
9.000000000000003830e-02,1.008060138097823355e+01,2.265378532924309685e+00,1.860195401213307622e-10,0.000000000000000000e+00,6.775564817079780590e-10
9.250000000000004052e-02,1.008631147853104260e+01,2.347739119571906841e+00,2.397573450982913066e-10,0.000000000000000000e+00,7.285120835511415439e-10
9.500000000000004274e-02,1.009222771431210397e+01,2.430516580562953166e+00,3.546355580731131607e-10,0.000000000000000000e+00,7.817302973697108644e-10
9.750000000000004496e-02,1.009835113028404407e+01,2.513710487032393193e+00,3.397278844605573299e-10,0.000000000000000000e+00,8.373026555417415027e-10
1.000000000000000472e-01,1.010468276729125847e+01,2.597320321869160065e+00,6.680730401659876938e-11,0.000000000000000000e+00,8.959035059176089054e-10
1.025000000000000494e-01,1.011122366484648083e+01,2.681346076071414064e+00,6.962292668929130746e-11,0.000000000000000000e+00,9.597107606756002431e-10
1.050000000000000516e-01,1.011797486308680938e+01,2.765787923627199163e+00,2.979172655185092312e-10,0.000000000000000000e+00,1.029591869225515357e-09
1.075000000000000538e-01,1.012493740204998183e+01,2.850645508484172641e+00,5.925756972604920751e-10,0.000000000000000000e+00,1.104710508137416943e-09
1.100000000000000561e-01,1.013211232087046909e+01,2.935918436583995206e+00,5.990048590429300467e-10,0.000000000000000000e+00,1.185020785015819612e-09
1.125000000000000583e-01,1.013950065766571562e+01,3.021606254156203430e+00,3.166112847376482348e-10,0.000000000000000000e+00,1.270651053172456930e-09
1.150000000000000605e-01,1.014710344938218434e+01,3.107708438438927967e+00,2.275804865163514581e-11,0.000000000000000000e+00,1.365163219770087983e-09
1.175000000000000627e-01,1.015492173161747047e+01,3.194224387429123180e+00,4.179018447561167287e-10,0.000000000000000000e+00,1.470801814717734591e-09
1.200000000000000649e-01,1.016295653841596192e+01,3.281153408077115419e+00,2.733338048938645789e-10,0.000000000000000000e+00,1.587220109598285008e-09
1.225000000000000672e-01,1.017120890203405814e+01,3.368494702741660518e+00,8.157287486003204986e-10,0.000000000000000000e+00,1.717298678630577233e-09
1.250000000000000555e-01,1.017967985267048014e+01,3.456247353673146616e+00,9.295807698716904594e-10,0.000000000000000000e+00,1.858946731835210192e-09
1.275000000000000577e-01,1.018837041815661415e+01,3.544410305294107388e+00,2.126039185989411845e-10,0.000000000000000000e+00,2.013889413277463728e-09
1.300000000000000600e-01,1.019728162360124557e+01,3.632982344043146572e+00,-1.234273326047773804e-10,0.000000000000000000e+00,2.189811160576767509e-09
1.325000000000000622e-01,1.020641449098344999e+01,3.721962075518743696e+00,1.220480233064984479e-09,0.000000000000000000e+00,2.389510659132684166e-09
1.350000000000000644e-01,1.021577003868677025e+01,3.811347979617710546e+00,1.907070022804654920e-09,0.000000000000000000e+00,2.609635015847689645e-09
1.375000000000000666e-01,1.022534928172735924e+01,3.901141105929516684e+00,2.334321952919244108e-09,0.000000000000000000e+00,2.845085953105042559e-09
1.400000000000000688e-01,1.023515323908576491e+01,3.991341467558879419e+00,3.760694652529165935e-09,0.000000000000000000e+00,3.097336955443380553e-09
1.425000000000000711e-01,1.024518292816803289e+01,4.081947806435478832e+00,5.895108079656098888e-09,0.000000000000000000e+00,3.352645575562979780e-09
1.450000000000000733e-01,1.025543936316738503e+01,4.172958741356446843e+00,5.502293540475774107e-09,0.000000000000000000e+00,3.596228327459676954e-09
1.475000000000000755e-01,1.026592355475179374e+01,4.264372759616253283e+00,6.088995540560511179e-09,0.000000000000000000e+00,3.821939013914511969e-09
1.500000000000000777e-01,1.027663650973033072e+01,4.356188208329246692e+00,6.731045835688600553e-09,0.000000000000000000e+00,4.025308304197468777e-09
1.525000000000000799e-01,1.028757923071935920e+01,4.448403748794860668e+00,5.697411022564630961e-09,0.000000000000000000e+00,4.199240123933996738e-09
1.550000000000000822e-01,1.029875271739843079e+01,4.541017985525016343e+00,8.744073822625395614e-09,0.000000000000000000e+00,4.338455305361681415e-09
1.575000000000000844e-01,1.031015796543714380e+01,4.634028960071309378e+00,1.104098654594738170e-08,0.000000000000000000e+00,4.421100770101221142e-09
1.600000000000000866e-01,1.032179596552409429e+01,4.727434560434510047e+00,1.490293402411581215e-08,0.000000000000000000e+00,4.417118160643443343e-09
1.625000000000000888e-01,1.033366770297849513e+01,4.821232513078568260e+00,1.570049993294007288e-08,0.000000000000000000e+00,4.281642686970381008e-09
1.650000000000000910e-01,1.034577415734180228e+01,4.915420374748122434e+00,1.685102903018322412e-08,0.000000000000000000e+00,3.981319386544949745e-09
1.675000000000000933e-01,1.035811630194867483e+01,5.009995523993926447e+00,1.415247723384217721e-08,0.000000000000000000e+00,3.496975348572623154e-09
1.700000000000000955e-01,1.037069510347663304e+01,5.104955152513523053e+00,1.045388905219648948e-08,0.000000000000000000e+00,2.816779386503852318e-09
1.725000000000000977e-01,1.038351152147396483e+01,5.200296256279533402e+00,1.031894132883102864e-08,0.000000000000000000e+00,1.973192093413029813e-09
