Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-4.200083442618809213e-14,0.000000000000000000e+00,6.138423016582768461e-15
2.500000000000000052e-03,9.999986426764591485e+00,-1.929407509779926255e-02,7.211348659125640686e-13,0.000000000000000000e+00,6.076321217361265987e-14
5.000000000000000104e-03,9.999930505829206950e+00,-2.821729229789589691e-02,3.653252602511551667e-12,0.000000000000000000e+00,1.684814763002653424e-13
7.499999999999999722e-03,9.999858165035862001e+00,-2.676841672535520272e-02,2.196970862127346421e-12,0.000000000000000000e+00,-6.924088587958451805e-14
1.000000000000000021e-02,9.999795334923932799e+00,-1.494690098485806917e-02,7.159676362476084023e-12,0.000000000000000000e+00,-7.797082531222741188e-13
1.250000000000000069e-02,9.999767947411001501e+00,7.247815527107025896e-03,7.507888003122958088e-12,0.000000000000000000e+00,-2.444979345775438339e-12
1.500000000000000118e-02,9.999801935819130350e+00,3.981629900638708475e-02,7.097184179580642539e-13,0.000000000000000000e+00,-5.296111485550062452e-12
1.750000000000000167e-02,9.999923234888925094e+00,8.275912025351495060e-02,-8.208683722881671479e-12,0.000000000000000000e+00,-9.499997686224195265e-12
2.000000000000000042e-02,1.000015778078991602e+01,1.360768528349825257e-01,-1.384861796675761741e-11,0.000000000000000000e+00,-1.491873064076707882e-11
2.249999999999999917e-02,1.000053151112640037e+01,1.997700713348218582e-01,-4.682532469416914624e-12,0.000000000000000000e+00,-2.153432749128422665e-11
2.499999999999999792e-02,1.000107118447810350e+01,2.706691031874058351e-01,-2.288623228571648189e-11,0.000000000000000000e+00,-2.959678411435370467e-11
2.749999999999999667e-02,1.000178834239366310e+01,3.421681804967328100e-01,-3.282221701000222571e-11,0.000000000000000000e+00,-3.888003234118834223e-11
2.999999999999999542e-02,1.000268448501931928e+01,4.140847841327565670e-01,-3.684522842048359548e-11,0.000000000000000000e+00,-4.924045317175810156e-11
3.249999999999999417e-02,1.000376065620159771e+01,4.864189677883768992e-01,-2.626252639080499520e-11,0.000000000000000000e+00,-6.067531223739357114e-11
3.499999999999999639e-02,1.000501789991896651e+01,5.591707809874154611e-01,-4.354596206289274837e-11,0.000000000000000000e+00,-7.332995503350765220e-11
3.749999999999999861e-02,1.000645726027095250e+01,6.323402682769636574e-01,-5.926711393466567627e-11,0.000000000000000000e+00,-8.706796833911312829e-11
4.000000000000000083e-02,1.000807978146519339e+01,7.059274683447889220e-01,-6.588492042442191927e-11,0.000000000000000000e+00,-1.016818653508998793e-10
4.250000000000000305e-02,1.000988650780223566e+01,7.799324130011399125e-01,-7.357915093936316384e-11,0.000000000000000000e+00,-1.170583045464814834e-10
4.500000000000000527e-02,1.001187848365766975e+01,8.543551259559740707e-01,-7.562510823878584140e-11,0.000000000000000000e+00,-1.331115282853203615e-10
4.750000000000000749e-02,1.001405675346107316e+01,9.291956213107103180e-01,-7.040497327711459648e-11,0.000000000000000000e+00,-1.497772126572688404e-10
5.000000000000000971e-02,1.001642236167098510e+01,1.004453901668660887e+00,-7.296316896190919856e-11,0.000000000000000000e+00,-1.671361834080750579e-10
5.250000000000001193e-02,1.001897635274548826e+01,1.080129966552328291e+00,-8.084985075149981749e-11,0.000000000000000000e+00,-1.850903988204725278e-10
5.500000000000001416e-02,1.002171977115794910e+01,1.156223836928725213e+00,-9.099960172377526004e-11,0.000000000000000000e+00,-2.036080594203565978e-10
5.750000000000001638e-02,1.002465366143360015e+01,1.232735533385209692e+00,-7.275397907222112351e-11,0.000000000000000000e+00,-2.227027704902961347e-10
6.000000000000001860e-02,1.002777906814831255e+01,1.309665075030420178e+00,-6.516319337786670131e-11,0.000000000000000000e+00,-2.424773343346782563e-10
6.250000000000001388e-02,1.003109703592491719e+01,1.387012479540124632e+00,-6.933596446211115674e-11,0.000000000000000000e+00,-2.630323964107655705e-10
6.500000000000001610e-02,1.003460860942965205e+01,1.464777763199679006e+00,-8.658219354446708691e-11,0.000000000000000000e+00,-2.843830035133654646e-10
6.750000000000001832e-02,1.003831483336870889e+01,1.542960940943080450e+00,-9.626437277594397513e-11,0.000000000000000000e+00,-3.063682454050990768e-10
7.000000000000002054e-02,1.004221675248487067e+01,1.621562026388806865e+00,-8.053002633198460345e-11,0.000000000000000000e+00,-3.289522211470046206e-10
7.250000000000002276e-02,1.004631541155424479e+01,1.700581031872809623e+00,-9.667294555845137199e-11,0.000000000000000000e+00,-3.522727760760368866e-10
7.500000000000002498e-02,1.005061185538307456e+01,1.780017968478746937e+00,-6.233395629047937629e-11,0.000000000000000000e+00,-3.762088754406925582e-10
7.750000000000002720e-02,1.005510712880461988e+01,1.859872846065591112e+00,-4.212451454108855305e-11,0.000000000000000000e+00,-4.010174384606268036e-10
8.000000000000002942e-02,1.005980227667611437e+01,1.940145673292748230e+00,-6.838809079461544732e-12,0.000000000000000000e+00,-4.268184516028295301e-10
8.250000000000003164e-02,1.006469834387577578e+01,2.020836457643023110e+00,3.875826739362949307e-11,0.000000000000000000e+00,-4.538719200742783138e-10
8.500000000000003386e-02,1.006979637529987848e+01,2.101945205443377596e+00,8.887468751634992981e-11,0.000000000000000000e+00,-4.824886185827161936e-10
8.750000000000003608e-02,1.007509741585987406e+01,2.183471921883665789e+00,7.131078501525413265e-11,0.000000000000000000e+00,-5.129527645975998802e-10
9.000000000000003830e-02,1.008060251047955624e+01,2.265416611033444383e+00,7.811864677623725127e-11,0.000000000000000000e+00,-5.452519697587767019e-10
9.250000000000004052e-02,1.008631270409227199e+01,2.347779275857013292e+00,4.192160541293753624e-11,0.000000000000000000e+00,-5.793668132900943351e-10
9.500000000000004274e-02,1.009222904163815926e+01,2.430559918226895544e+00,5.441498160945626672e-11,0.000000000000000000e+00,-6.152385990752313129e-10
9.750000000000004496e-02,1.009835256806143278e+01,2.513758538935607856e+00,6.592052483169494650e-11,0.000000000000000000e+00,-6.530183729778602994e-10
1.000000000000000472e-01,1.010468432830768393e+01,2.597375137705943082e+00,3.496759375430451077e-11,0.000000000000000000e+00,-6.927649078982094901e-10
1.025000000000000494e-01,1.011122536731707910e+01,2.681409655289682448e+00,-1.327084983670994846e-11,0.000000000000000000e+00,-7.344232119872169074e-10
1.050000000000000516e-01,1.011797672981515639e+01,2.765862014327063356e+00,-4.727157624166860361e-12,0.000000000000000000e+00,-7.777365106305846052e-10
1.075000000000000538e-01,1.012493946038992831e+01,2.850732187420536690e+00,2.015740624467565659e-11,0.000000000000000000e+00,-8.227447837036342820e-10
1.100000000000000561e-01,1.013211460355972626e+01,2.936020145075246113e+00,-2.657525357648280962e-11,0.000000000000000000e+00,-8.695662214632884402e-10
1.125000000000000583e-01,1.013950320376802239e+01,3.021725855819617834e+00,-6.713362062697125260e-11,0.000000000000000000e+00,-9.180292865991644995e-10
1.150000000000000605e-01,1.014710630537856417e+01,3.107849286337133865e+00,-7.210446692654225348e-11,0.000000000000000000e+00,-9.679293993896217730e-10
1.175000000000000627e-01,1.015492495267084294e+01,3.194390401609572105e+00,-1.945078675244824611e-11,0.000000000000000000e+00,-1.019295779655483416e-09
1.200000000000000649e-01,1.016296018983592475e+01,3.281349165071264284e+00,-4.478656511855184428e-11,0.000000000000000000e+00,-1.072329814677611796e-09
1.225000000000000672e-01,1.017121306097267386e+01,3.368725538774377970e+00,-9.461769051215037845e-11,0.000000000000000000e+00,-1.126944145663092170e-09
1.250000000000000555e-01,1.017968461008439895e+01,3.456519483564543638e+00,-2.981424501996116030e-11,0.000000000000000000e+00,-1.182922723096739845e-09
1.275000000000000577e-01,1.018837588107594172e+01,3.544730959266498616e+00,5.340547896918540958e-11,0.000000000000000000e+00,-1.240493735939734164e-09
1.300000000000000600e-01,1.019728791775122900e+01,3.633359924879472569e+00,1.383685485508163886e-10,0.000000000000000000e+00,-1.299954094970605502e-09
1.325000000000000622e-01,1.020642176381133304e+01,3.722406338781721669e+00,1.768178403859422178e-10,0.000000000000000000e+00,-1.361590018179961670e-09
1.350000000000000644e-01,1.021577846285302904e+01,3.811870158943230891e+00,1.087667417702497926e-10,0.000000000000000000e+00,-1.425571226538781809e-09
1.375000000000000666e-01,1.022535905836790704e+01,3.901751343146077744e+00,1.415711756324264644e-10,0.000000000000000000e+00,-1.491666501161334490e-09
1.400000000000000688e-01,1.023516459374202547e+01,3.992049849211700252e+00,1.420816973696345031e-10,0.000000000000000000e+00,-1.559839840244963307e-09
1.425000000000000711e-01,1.024519611225614035e+01,4.082765635233963408e+00,1.965362391094206737e-10,0.000000000000000000e+00,-1.630135181142994191e-09
1.450000000000000733e-01,1.025545465708652237e+01,4.173898659817260715e+00,1.677485882458167021e-10,0.000000000000000000e+00,-1.702748214330692957e-09
1.475000000000000755e-01,1.026594127130636913e+01,4.265448882318838564e+00,1.470263746553822263e-10,0.000000000000000000e+00,-1.777494481769402539e-09
1.500000000000000777e-01,1.027665699788782661e+01,4.357416263094011200e+00,7.848475521004764834e-11,0.000000000000000000e+00,-1.854255286348649696e-09
1.525000000000000799e-01,1.028760287975486065e+01,4.449801510511415259e+00,1.467440445099628806e-11,0.000000000000000000e+00,-1.932860110212169921e-09
1.550000000000000822e-01,1.029877996237016191e+01,4.542605354028983911e+00,3.757298110985281115e-11,0.000000000000000000e+00,-2.013259152053161823e-09
1.575000000000000844e-01,1.031018929221426639e+01,4.635827773240261962e+00,-3.187147663346097592e-12,0.000000000000000000e+00,-2.095587017925957689e-09
1.600000000000000866e-01,1.032183191571277803e+01,4.729468741171591439e+00,8.543065123759043168e-11,0.000000000000000000e+00,-2.179939656392951095e-09
1.625000000000000888e-01,1.033370887922014703e+01,4.823528224502627637e+00,3.104475834136761315e-11,0.000000000000000000e+00,-2.266623856705565447e-09
1.650000000000000910e-01,1.034582122900388690e+01,4.918006183610417636e+00,-1.737360554804577160e-10,0.000000000000000000e+00,-2.355661217339506495e-09
1.675000000000000933e-01,1.035817001122880576e+01,5.012902572475843144e+00,-2.866670537763481688e-10,0.000000000000000000e+00,-2.446601724886442930e-09
1.700000000000000955e-01,1.037075627194093741e+01,5.108217338477888170e+00,-1.061329672973568897e-10,0.000000000000000000e+00,-2.539305864452228257e-09
1.725000000000000977e-01,1.038358105705089507e+01,5.203950422093872596e+00,-1.810063663144463634e-10,0.000000000000000000e+00,-2.634474786242574191e-09
1.750000000000000999e-01,1.039664541231642758e+01,5.300101756515572582e+00,-2.520353923455658860e-10,0.000000000000000000e+00,-2.732453847800430381e-09
1.775000000000001021e-01,1.040995038332396838e+01,5.396671267186738064e+00,-2.665830189080025650e-10,0.000000000000000000e+00,-2.833300640228423532e-09
1.800000000000001044e-01,1.042349701546898366e+01,5.493658871265107990e+00,-3.996439355553886369e-10,0.000000000000000000e+00,-2.936955209397786585e-09
1.825000000000001066e-01,1.043728635393493143e+01,5.591064477008170108e+00,-6.997366802090153074e-10,0.000000000000000000e+00,-3.043689033720023826e-09
1.850000000000001088e-01,1.045131944367064136e+01,5.688887983078203092e+00,-1.248510982250395816e-09,0.000000000000000000e+00,-3.152940310221728252e-09
1.875000000000001110e-01,1.046559732936590947e+01,5.787129277762312007e+00,-8.893939040298954925e-10,0.000000000000000000e+00,-3.263745666578622964e-09
1.900000000000001132e-01,1.048012105542509431e+01,5.885788238099359582e+00,-1.242059041989734795e-09,0.000000000000000000e+00,-3.377364659195415982e-09
1.925000000000001155e-01,1.049489166593846967e+01,5.984864728906289955e+00,-8.784566873476863358e-10,0.000000000000000000e+00,-3.493349969289995527e-09
1.950000000000001177e-01,1.050991020465108861e+01,6.084358601690178503e+00,-9.627987975155730127e-10,0.000000000000000000e+00,-3.612853146386749105e-09
1.975000000000001199e-01,1.052517771492885146e+01,6.184269693434715442e+00,-7.731320391989849568e-10,0.000000000000000000e+00,-3.736264152196848769e-09
2.000000000000001221e-01,1.054069523972147771e+01,6.284597825248291691e+00,-3.256601088731388973e-10,0.000000000000000000e+00,-3.864649763628513012e-09
2.025000000000001243e-01,1.055646382149953943e+01,6.385342793222089419e+00,3.925976034452944970e-10,0.000000000000000000e+00,-3.999854860139341195e-09
2.050000000000001266e-01,1.057248450226126124e+01,6.486504454765039007e+00,3.628003021145400194e-10,0.000000000000000000e+00,-4.144467773084749705e-09
2.075000000000001288e-01,1.058875832366958569e+01,6.588082681533894203e+00,-5.671220711349889116e-10,0.000000000000000000e+00,-4.298992292473013115e-09
2.100000000000001310e-01,1.060528632706142993e+01,6.690077335804195613e+00,-1.514474840964860995e-09,0.000000000000000000e+00,-4.461666370247853629e-09
2.125000000000001332e-01,1.062206962211737071e+01,6.792368464246006710e+00,-1.992859938197201032e-09,0.000000000000000000e+00,-4.630375835964983987e-09
2.150000000000001354e-01,1.063910856730974430e+01,6.894470071552929014e+00,-1.652907547059396370e-09,0.000000000000000000e+00,-4.803939186526514926e-09
2.175000000000001377e-01,1.065640262826241802e+01,6.996328074604957870e+00,-2.088910929749229220e-09,0.000000000000000000e+00,-4.984403406361552154e-09
2.200000000000001399e-01,1.067395119583267338e+01,7.097942235583716730e+00,-2.303495666098674297e-09,0.000000000000000000e+00,-5.170008407203919598e-09
2.225000000000001421e-01,1.069175366027689833e+01,7.199312305105218357e+00,-3.025088887181298685e-09,0.000000000000000000e+00,-5.360615620526815174e-09
2.250000000000001443e-01,1.070980941122119567e+01,7.300438021351805418e+00,-2.339058477308751579e-09,0.000000000000000000e+00,-5.554036279326828791e-09
2.275000000000001465e-01,1.072811783762979410e+01,7.401319109143276620e+00,-1.744450857268262718e-09,0.000000000000000000e+00,-5.753259033314395735e-09
2.300000000000001488e-01,1.074667832777108778e+01,7.501955278947672667e+00,-1.750572061380136955e-09,0.000000000000000000e+00,-5.960085685858976144e-09
