Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,2.753666126074567336e-15,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.986386637684889142e-03,-1.993609506241401930e-02,-2.365939055320188028e-14,0.000000000000000000e+00,-8.929582444010267295e-16
5.000000000000000104e-03,9.928091512070308031e-03,-3.078551333349706376e-02,-1.252631267514553108e-13,0.000000000000000000e+00,-1.692161893538470067e-14
7.499999999999999722e-03,9.847831994076475248e-03,-3.254705597251678073e-02,-1.183622699808968386e-13,0.000000000000000000e+00,-3.569851629020703733e-14
1.000000000000000021e-02,9.768328017896139165e-03,-2.522029234329340938e-02,-1.107607927002258100e-12,0.000000000000000000e+00,-7.316078526176519442e-14
1.250000000000000069e-02,9.712300593865639056e-03,-8.804792111489392892e-03,-1.441047080421420426e-12,0.000000000000000000e+00,-6.016440514889824201e-14
1.500000000000000118e-02,9.702471807350241187e-03,1.669987388652414279e-02,-1.296660341391803238e-12,0.000000000000000000e+00,6.913551642998658026e-14
1.750000000000000167e-02,9.761564816651616475e-03,5.129413525868324608e-02,-7.996504695201105004e-13,0.000000000000000000e+00,3.305318353162279425e-13
2.000000000000000042e-02,9.912303852120534636e-03,9.497841677071022781e-02,-4.669690994200704821e-12,0.000000000000000000e+00,7.540359529896975789e-13
2.249999999999999917e-02,1.017741420593108910e-02,1.477531448876728548e-01,-3.275706435840373523e-12,0.000000000000000000e+00,1.568206159368622009e-12
2.499999999999999792e-02,1.058034031774812006e-02,2.068409671521652948e-01,2.944739278692959777e-13,0.000000000000000000e+00,2.884546739444135354e-12
2.749999999999999667e-02,1.113119323809715414e-02,2.664538458202793114e-01,3.304032892120084489e-12,0.000000000000000000e+00,4.786483583305791274e-12
2.999999999999999542e-02,1.183128562346678382e-02,3.264318334173255676e-01,3.141486178521688732e-12,0.000000000000000000e+00,7.285775020851154102e-12
3.249999999999999417e-02,1.268153026043448636e-02,3.867749543096959397e-01,-7.890069606006443877e-12,0.000000000000000000e+00,1.056999971753475741e-11
3.499999999999999639e-02,1.368283999519435794e-02,4.474832304824377660e-01,-2.587823223845110883e-11,0.000000000000000000e+00,1.507298742432074992e-11
3.749999999999999861e-02,1.483612772749714169e-02,5.085566813428253896e-01,-1.557598376599967575e-11,0.000000000000000000e+00,2.152887444199937691e-11
4.000000000000000083e-02,1.614230640408692227e-02,5.699953235022618969e-01,-2.004772285470534275e-11,0.000000000000000000e+00,3.012692422966926759e-11
4.250000000000000305e-02,1.760228901158190223e-02,6.317991705382738354e-01,-1.086451527207803289e-11,0.000000000000000000e+00,4.143904313490119409e-11
4.500000000000000527e-02,1.921698856874680741e-02,6.939682327329255163e-01,1.529658705163246100e-11,0.000000000000000000e+00,5.562212991668625178e-11
4.750000000000000749e-02,2.098731811809789044e-02,7.565025167867895917e-01,4.966175967049910515e-11,0.000000000000000000e+00,7.288666848711553025e-11
5.000000000000000971e-02,2.291419071677907801e-02,8.194020255071783332e-01,7.249151351712763848e-11,0.000000000000000000e+00,9.311281293528250430e-11
5.250000000000001193e-02,2.499851943442646038e-02,8.826669250650742704e-01,1.408877444807817810e-10,0.000000000000000000e+00,1.164103135827424035e-10
5.500000000000001416e-02,2.724121793210018336e-02,9.462974091087006379e-01,1.345936273965592558e-10,0.000000000000000000e+00,1.414838351839541206e-10
5.750000000000001638e-02,2.964320019356569622e-02,1.010293516375840861e+00,1.711883719842061198e-10,0.000000000000000000e+00,1.682972433192970103e-10
6.000000000000001860e-02,3.220538029695696469e-02,1.074655280602595075e+00,1.713444420267099383e-10,0.000000000000000000e+00,1.964526153799380865e-10
6.250000000000001388e-02,3.492867240118243538e-02,1.139382728791631605e+00,1.759407395741984684e-10,0.000000000000000000e+00,2.257079432977054013e-10
6.500000000000001610e-02,3.781399072820544605e-02,1.204475879761617518e+00,1.764885157253655149e-10,0.000000000000000000e+00,2.560843547362205517e-10
6.750000000000001832e-02,4.086224954178957480e-02,1.269934742779685655e+00,1.601374181101664970e-10,0.000000000000000000e+00,2.875694295576233068e-10
7.000000000000002054e-02,4.407436312280559737e-02,1.335759316084554227e+00,1.497098867335143680e-10,0.000000000000000000e+00,3.201590174458590911e-10
7.250000000000002276e-02,4.745124574071708096e-02,1.401949585101017304e+00,1.246811075204672391e-10,0.000000000000000000e+00,3.538715852156427988e-10
7.500000000000002498e-02,5.099381162035718229e-02,1.468505520132015185e+00,1.569669306036842954e-10,0.000000000000000000e+00,3.889843452583565823e-10
7.750000000000002720e-02,5.470297490256616907e-02,1.535427073298518463e+00,1.637739808431924418e-10,0.000000000000000000e+00,4.251427519773357977e-10
8.000000000000002942e-02,5.857964959668452570e-02,1.602714174507348766e+00,1.649380904547537576e-10,0.000000000000000000e+00,4.622880645760972604e-10
8.250000000000003164e-02,6.262474952238014647e-02,1.670366726336786067e+00,1.680938180760206173e-10,0.000000000000000000e+00,5.003574757894329889e-10
8.500000000000003386e-02,6.683918823815498955e-02,1.738384598150220395e+00,1.707832039244978410e-10,0.000000000000000000e+00,5.392909160474725078e-10
8.750000000000003608e-02,7.122387895510549904e-02,1.806767621063790852e+00,1.891035298268821683e-10,0.000000000000000000e+00,5.790502527600554712e-10
9.000000000000003830e-02,7.577973443988396396e-02,1.875515589210410283e+00,1.915773413218846779e-10,0.000000000000000000e+00,6.194484887919055698e-10
9.250000000000004052e-02,8.050766692802026336e-02,1.944628283354565390e+00,1.810418108852005862e-10,0.000000000000000000e+00,6.604774201084423058e-10
9.500000000000004274e-02,8.540858793390064541e-02,2.014105299329751464e+00,1.755039907205934317e-10,0.000000000000000000e+00,7.022638264697318156e-10
9.750000000000004496e-02,9.048340851237447746e-02,2.083947224191617931e+00,1.734377849270700754e-10,0.000000000000000000e+00,7.447432807674494724e-10
1.000000000000000472e-01,9.573304122854263409e-02,2.154155283330105419e+00,1.764791749713555783e-10,0.000000000000000000e+00,7.879184560487943426e-10
1.025000000000000494e-01,1.011584028631362514e-01,2.224729794929917848e+00,1.758413268883106687e-10,0.000000000000000000e+00,8.317670715585206566e-10
1.050000000000000516e-01,1.067604077649139810e-01,2.295669109288709819e+00,1.724123069778537088e-10,0.000000000000000000e+00,8.762888311110448448e-10
1.075000000000000538e-01,1.125399681475849484e-01,2.366973572742691712e+00,1.514094184964362806e-10,0.000000000000000000e+00,9.214735332197121623e-10
1.100000000000000561e-01,1.184979970425833889e-01,2.438643392240658070e+00,1.440324796406644210e-10,0.000000000000000000e+00,9.674483039560494715e-10
1.125000000000000583e-01,1.246354079309676677e-01,2.510678701514678757e+00,1.274068973915802853e-10,0.000000000000000000e+00,1.014262759400581565e-09
1.150000000000000605e-01,1.309531146008092173e-01,2.583079597943286121e+00,1.117005387024308934e-10,0.000000000000000000e+00,1.062015728779282444e-09
1.175000000000000627e-01,1.374520310687998292e-01,2.655846156235373456e+00,1.067330034392248768e-10,0.000000000000000000e+00,1.110819448816093536e-09
1.200000000000000649e-01,1.441330715273035634e-01,2.728978434118417340e+00,7.948100810026471408e-11,0.000000000000000000e+00,1.160694580262040874e-09
1.225000000000000672e-01,1.509971503045965668e-01,2.802476476436073671e+00,6.846808259699687746e-11,0.000000000000000000e+00,1.211798210241630604e-09
1.250000000000000555e-01,1.580451818346129689e-01,2.876340318114841033e+00,9.777385115891263573e-11,0.000000000000000000e+00,1.264227389854079593e-09
1.275000000000000577e-01,1.652780806335791275e-01,2.950569986324043104e+00,1.020536402619074510e-10,0.000000000000000000e+00,1.317918379347741157e-09
1.300000000000000600e-01,1.726967612816677211e-01,3.025165502057369782e+00,1.221729982484040846e-10,0.000000000000000000e+00,1.372880218112301533e-09
1.325000000000000622e-01,1.803021384083312306e-01,3.100126881296906056e+00,1.239541650245522613e-10,0.000000000000000000e+00,1.429118631317438382e-09
1.350000000000000644e-01,1.880951266803451705e-01,3.175454135873403416e+00,1.194795241432378718e-10,0.000000000000000000e+00,1.486683801955217413e-09
1.375000000000000666e-01,1.960766407918553833e-01,3.251147274103708629e+00,1.487225766123333395e-10,0.000000000000000000e+00,1.545664523444743089e-09
1.400000000000000688e-01,2.042475954559099527e-01,3.327206301263104127e+00,1.275157090314439405e-10,0.000000000000000000e+00,1.606062392240945842e-09
1.425000000000000711e-01,2.126089053970909859e-01,3.403631219934184049e+00,1.658042982442160527e-10,0.000000000000000000e+00,1.667992138283782794e-09
1.450000000000000733e-01,2.211614853449568596e-01,3.480422030262181110e+00,1.806106034801386179e-10,0.000000000000000000e+00,1.731452289048521354e-09
1.475000000000000755e-01,2.299062500280761034e-01,3.557578924101334916e+00,2.168921657536663988e-10,0.000000000000000000e+00,1.796403449125700268e-09
1.500000000000000777e-01,2.388441146534521220e-01,3.635101725642021275e+00,2.485211221382875894e-10,0.000000000000000000e+00,1.862731312443773269e-09
1.525000000000000799e-01,2.479759954125473342e-01,3.712993531624356969e+00,3.545895105459882165e-10,0.000000000000000000e+00,1.929945699942668333e-09
1.550000000000000822e-01,2.573028147599322191e-01,3.791253587127429991e+00,2.894581714445060901e-10,0.000000000000000000e+00,1.997886433206796463e-09
1.575000000000000844e-01,2.668254930439251105e-01,3.869881124242815051e+00,4.356110511190496186e-10,0.000000000000000000e+00,2.067028192817557541e-09
1.600000000000000866e-01,2.765449486104800680e-01,3.948875468204348760e+00,4.053739081890028332e-10,0.000000000000000000e+00,2.137348686690429713e-09
1.625000000000000888e-01,2.864620980601357281e-01,4.028235838267289814e+00,2.681143985743693352e-10,0.000000000000000000e+00,2.209775271713415733e-09
1.650000000000000910e-01,2.965778559772374035e-01,4.107961327580285094e+00,1.892209586500631141e-10,0.000000000000000000e+00,2.285516525964716255e-09
1.675000000000000933e-01,3.068931345983325065e-01,4.188050870101180045e+00,2.375821003037439965e-10,0.000000000000000000e+00,2.366151560291709031e-09
1.700000000000000955e-01,3.174088433933970888e-01,4.268503199786069402e+00,4.014759568340122563e-10,0.000000000000000000e+00,2.452726497898033342e-09
1.725000000000000977e-01,3.281258885206367881e-01,4.349316711760189413e+00,1.628701655585829577e-10,0.000000000000000000e+00,2.546945920815320291e-09
1.750000000000000999e-01,3.390451719301963984e-01,4.430489555519296907e+00,-8.194244032405352700e-11,0.000000000000000000e+00,2.652309400501609075e-09
1.775000000000001021e-01,3.501675908327059328e-01,4.512019574208845363e+00,-1.358311834260760311e-10,0.000000000000000000e+00,2.773121757623002229e-09
1.800000000000001044e-01,3.614940368183966468e-01,4.593904164378987964e+00,1.582829868710792944e-10,0.000000000000000000e+00,2.915170515973925652e-09
1.825000000000001066e-01,3.730253946898379747e-01,4.676140173304185410e+00,-5.155019197922216396e-10,0.000000000000000000e+00,3.082275360599096973e-09
1.850000000000001088e-01,3.847625408931918400e-01,4.758724743233428534e+00,-1.415623778508451911e-09,0.000000000000000000e+00,3.285560692727835225e-09
1.875000000000001110e-01,3.967063470971775030e-01,4.841660550378400707e+00,-1.028656347306999693e-09,0.000000000000000000e+00,3.535811826815200888e-09
1.900000000000001132e-01,4.088576923820102516e-01,4.924946798341686360e+00,-2.305773059948851673e-09,0.000000000000000000e+00,3.844432665087416355e-09
1.925000000000001155e-01,4.212174515421733823e-01,5.008581006129892543e+00,-1.073621509517056561e-09,0.000000000000000000e+00,4.229306441359277374e-09
1.950000000000001177e-01,4.337864929548417847e-01,5.092560286144484749e+00,1.433484034318366552e-09,0.000000000000000000e+00,4.694781220713553553e-09
1.975000000000001199e-01,4.465656775295142045e-01,5.176881281828354275e+00,-3.246515461178083154e-10,0.000000000000000000e+00,5.242859251700078667e-09
2.000000000000001221e-01,4.595558574986604583e-01,5.261540099655399594e+00,3.467242950323923123e-10,0.000000000000000000e+00,5.899720460906118411e-09
2.025000000000001243e-01,4.727578756511691682e-01,5.346545276690175541e+00,7.282998425517934271e-10,0.000000000000000000e+00,6.671795517766584177e-09
2.050000000000001266e-01,4.861726097008529091e-01,5.431907523031469509e+00,-3.566946748059838123e-09,0.000000000000000000e+00,7.565639687622758202e-09
2.075000000000001288e-01,4.998009517375279209e-01,5.517625870108707531e+00,-2.325764560551984329e-09,0.000000000000000000e+00,8.639784914463467281e-09
2.100000000000001310e-01,5.136437915058862380e-01,5.603699479923706761e+00,1.510264458934498860e-09,0.000000000000000000e+00,9.892915295246168977e-09
2.125000000000001332e-01,5.277020768814013607e-01,5.690022724048501956e+00,-5.070139460768778872e-10,0.000000000000000000e+00,1.131533655466699734e-08
2.150000000000001354e-01,5.419760965149930110e-01,5.776169556708841135e+00,2.217275232109301947e-10,0.000000000000000000e+00,1.294335094433203671e-08
2.175000000000001377e-01,5.564653561065020515e-01,5.862092269632992902e+00,-2.716839736991084177e-10,0.000000000000000000e+00,1.478485669812523851e-08
2.200000000000001399e-01,5.711692950781331879e-01,5.947790414747089471e+00,3.063750224173483988e-09,0.000000000000000000e+00,1.686094005951753962e-08
2.225000000000001421e-01,5.860873517857351223e-01,6.033263635776638267e+00,5.295657640769881113e-09,0.000000000000000000e+00,1.915334623670471431e-08
2.250000000000001443e-01,6.012189637441840429e-01,6.118511661162175486e+00,6.327499894835319057e-09,0.000000000000000000e+00,2.166221568686021276e-08
2.275000000000001465e-01,6.165635678353310611e-01,6.203534297349587057e+00,6.693866871390801299e-09,0.000000000000000000e+00,2.438072933564037683e-08
2.300000000000001488e-01,6.321206004992623306e-01,6.288331422335129872e+00,9.098029409049672793e-09,0.000000000000000000e+00,2.732197028254736609e-08
2.325000000000001510e-01,6.478894979096083695e-01,6.372902979488935138e+00,1.111210679228784423e-08,0.000000000000000000e+00,3.047156064817042494e-08
2.350000000000001532e-01,6.638696961336092439e-01,6.457248971728752451e+00,1.718904632431485082e-08,0.000000000000000000e+00,3.384002223533744800e-08
2.375000000000001554e-01,6.800606312777555118e-01,6.541369455946861144e+00,1.673475061194937557e-08,0.000000000000000000e+00,3.737960554714817609e-08
2.400000000000001577e-01,6.964617396196514099e-01,6.625264537705421120e+00,2.228268248758580054e-08,0.000000000000000000e+00,4.109454724178257321e-08
2.425000000000001599e-01,7.130724577267839592e-01,6.708934366182652376e+00,2.515673076540348695e-08,0.000000000000000000e+00,4.496172514883971386e-08
2.450000000000001621e-01,7.298922225627578753e-01,6.792379129373514957e+00,2.765351004397911196e-08,0.000000000000000000e+00,4.894400621525089775e-08
2.475000000000001643e-01,7.469204715817095996e-01,6.875599049504335092e+00,3.068709272617692147e-08,0.000000000000000000e+00,5.303741577343840724e-08
2.500000000000001665e-01,7.641566428113741871e-01,6.958594378710816208e+00,3.347446051106111413e-08,0.000000000000000000e+00,5.720671761524190126e-08
2.525000000000001688e-01,7.816001753028828380e-01,7.041371958511232876e+00,3.649654075073722392e-08,0.000000000000000000e+00,6.144981130125940440e-08
2.550000000000001710e-01,7.992505319691856069e-01,7.123939038139766033e+00,4.123716176640330096e-08,0.000000000000000000e+00,6.572812170704784228e-08
2.575000000000001732e-01,8.171071866293588837e-01,7.206299184764971777e+00,3.867052298855682920e-08,0.000000000000000000e+00,7.001905811330980607e-08
2.600000000000001754e-01,8.351696286820869952e-01,7.288465404231988742e+00,4.244928901419188610e-08,0.000000000000000000e+00,7.431856723160164748e-08
2.625000000000001776e-01,8.534373775683503638e-01,7.370439940558298986e+00,3.822731970172137588e-08,0.000000000000000000e+00,7.860266479441404751e-08
2.650000000000001799e-01,8.719099536283804186e-01,7.452221927105622257e+00,3.988103359218315217e-08,0.000000000000000000e+00,8.289095182079863470e-08
2.675000000000001821e-01,8.905868749667339435e-01,7.533810378549745224e+00,3.615836494299701113e-08,0.000000000000000000e+00,8.716786809687083139e-08
2.700000000000001843e-01,9.094676571577778867e-01,7.615204196230256350e+00,2.727329986254822325e-08,0.000000000000000000e+00,9.145560832019077834e-08
2.725000000000001865e-01,9.285518129665001341e-01,7.696402176557628039e+00,2.086937434122768923e-08,0.000000000000000000e+00,9.579306082437396441e-08
2.750000000000001887e-01,9.478388520918503701e-01,7.777403021798618532e+00,2.083003365281102463e-08,0.000000000000000000e+00,1.002080302222320864e-07
2.775000000000001910e-01,9.673282809381849034e-01,7.858205352693993895e+00,1.723528018649832969e-08,0.000000000000000000e+00,1.047025158301035335e-07
2.800000000000001932e-01,9.870196024191727480e-01,7.938807722474888529e+00,1.261544693010873007e-08,0.000000000000000000e+00,1.092889457537387854e-07
2.825000000000001954e-01,1.006912315797424462e+00,8.019208631980742297e+00,1.487059629445646050e-08,0.000000000000000000e+00,1.139855601851368692e-07
2.850000000000001976e-01,1.027005916562473642e+00,8.099406545677084068e+00,1.662112842550076230e-08,0.000000000000000000e+00,1.187830268667758300e-07
2.875000000000001998e-01,1.047299896349269455e+00,8.179399908476460368e+00,1.851969228190491051e-08,0.000000000000000000e+00,1.236701692230169980e-07
2.900000000000002021e-01,1.067793742899193266e+00,8.259187163398280518e+00,1.642905392294142090e-08,0.000000000000000000e+00,1.286337334655432275e-07
2.925000000000002043e-01,1.088486940114882673e+00,8.338766710263683990e+00,2.042126425442106238e-08,0.000000000000000000e+00,1.336832501468747987e-07
2.950000000000002065e-01,1.109378967654722548e+00,8.418136784444619991e+00,1.743196266486774006e-08,0.000000000000000000e+00,1.387997935460816272e-07
