Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,9.236067150792308166e-15,0.000000000000000000e+00,-2.731264939022541257e-14
2.500000000000000052e-03,9.986386647332212013e-03,-1.993611993814353028e-02,1.607331358180239443e-12,0.000000000000000000e+00,-1.052856281357878773e-14
5.000000000000000104e-03,9.928091451194746495e-03,-3.078566333161224591e-02,2.204901348517648719e-12,0.000000000000000000e+00,-4.534033182171396440e-13
7.499999999999999722e-03,9.847831438090625875e-03,-3.254758812801742535e-02,-4.800234092030571180e-12,0.000000000000000000e+00,-1.906585790636690137e-12
1.000000000000000021e-02,9.768325822976384534e-03,-2.522159804196014501e-02,-1.947441582159473061e-11,0.000000000000000000e+00,-4.121002796260829309e-12
1.250000000000000069e-02,9.712294561912021909e-03,-8.807393169270101574e-03,-1.800424152407596908e-12,0.000000000000000000e+00,-6.345611480732731718e-12
1.500000000000000118e-02,9.702458364123419526e-03,1.669533226109366428e-02,2.188907154213691342e-12,0.000000000000000000e+00,-9.512951131382639924e-12
1.750000000000000167e-02,9.761538706480539160e-03,5.128688955855625897e-02,-4.046169309293773226e-11,0.000000000000000000e+00,-1.459075163731527007e-11
2.000000000000000042e-02,9.912257847132189756e-03,9.496759517792188743e-02,6.101611265300122100e-12,0.000000000000000000e+00,-1.940315211338894510e-11
2.249999999999999917e-02,1.017733883809157809e-02,1.477377702291266526e-01,1.284120372401920328e-11,0.000000000000000000e+00,-2.642716407324127647e-11
2.499999999999999792e-02,1.058022361791077781e-02,2.068199634693002054e-01,7.378319914517021801e-11,0.000000000000000000e+00,-3.615767783545482041e-11
2.749999999999999667e-02,1.113102049415800807e-02,2.664260459012626203e-01,7.717780323996464686e-11,0.000000000000000000e+00,-5.039403056389902718e-11
2.999999999999999542e-02,1.183103915515177837e-02,3.263959843065608046e-01,1.071010826299766201e-10,0.000000000000000000e+00,-7.023490222165852760e-11
3.249999999999999417e-02,1.268118920834819877e-02,3.867297232905880233e-01,7.754382884300108562e-11,0.000000000000000000e+00,-9.817162591736827926e-11
3.499999999999999639e-02,1.368238012479688730e-02,4.474272110352342513e-01,2.566341249640169130e-10,0.000000000000000000e+00,-1.347815318601109156e-10
3.749999999999999861e-02,1.483552124794158648e-02,5.084883990691448918e-01,4.695742826877419401e-10,0.000000000000000000e+00,-1.840429369665214165e-10
4.000000000000000083e-02,1.614152180186621127e-02,5.699132420444263936e-01,3.976900732057408942e-10,0.000000000000000000e+00,-2.509817354502601231e-10
4.250000000000000305e-02,1.760129089898151977e-02,6.317016975241698251e-01,2.470499689954265353e-10,0.000000000000000000e+00,-3.358304565849187175e-10
4.500000000000000527e-02,1.921573754717550639e-02,6.938537257692363180e-01,2.872139097816173175e-10,0.000000000000000000e+00,-4.396224321921516115e-10
4.750000000000000749e-02,2.098577065644540579e-02,7.563692895381517456e-01,4.001873403956713826e-10,0.000000000000000000e+00,-5.642017016189129167e-10
5.000000000000000971e-02,2.291229904502795414e-02,8.192483538821918598e-01,2.845273138729840767e-10,0.000000000000000000e+00,-7.129686386316849761e-10
5.250000000000001193e-02,2.499623138162366739e-02,8.824890933612221655e-01,1.722332197913161676e-10,0.000000000000000000e+00,-8.868683163632664409e-10
5.500000000000001416e-02,2.723846975129081555e-02,9.460889705331000377e-01,2.137526240696580954e-10,0.000000000000000000e+00,-1.087495595875513954e-09
5.750000000000001638e-02,2.963991134373259589e-02,1.010046734778168531e+00,-4.102706155580968158e-11,0.000000000000000000e+00,-1.318752851291900710e-09
6.000000000000001860e-02,3.220145010418509757e-02,1.074360910993318319e+00,-3.861287096168579347e-10,0.000000000000000000e+00,-1.585489984374388111e-09
6.250000000000001388e-02,3.492397615272530009e-02,1.139029762398844570e+00,-4.093521519553076790e-10,0.000000000000000000e+00,-1.886369711187575887e-09
6.500000000000001610e-02,3.780837510738367657e-02,1.204051247285501614e+00,-3.527488646775857357e-10,0.000000000000000000e+00,-2.227115237900737563e-09
6.750000000000001832e-02,4.085552729551061857e-02,1.269422968849744926e+00,-1.705223485487741925e-10,0.000000000000000000e+00,-2.615050809504979213e-09
7.000000000000002054e-02,4.406630645131160567e-02,1.335143975726739374e+00,-1.765824670660054072e-09,0.000000000000000000e+00,-3.064074973989659350e-09
7.250000000000002276e-02,4.744158746810123867e-02,1.401215197360097919e+00,-6.764173852116395992e-10,0.000000000000000000e+00,-3.560829938992491262e-09
7.500000000000002498e-02,5.098224484333162276e-02,1.467634784045337648e+00,-3.398377438567562829e-10,0.000000000000000000e+00,-4.126870826765216758e-09
7.750000000000002720e-02,5.468914833924161389e-02,1.534400608298840618e+00,1.447435936283713695e-09,0.000000000000000000e+00,-4.771693670096092023e-09
8.000000000000002942e-02,5.856316227763837950e-02,1.601510319967891949e+00,-4.183027546663619343e-10,0.000000000000000000e+00,-5.529540878801914192e-09
8.250000000000003164e-02,6.260514497355794405e-02,1.668961328868251659e+00,-1.514973605926876166e-09,0.000000000000000000e+00,-6.387351586374137457e-09
8.500000000000003386e-02,6.681594812512199610e-02,1.736750786575738337e+00,-5.352819700153774154e-09,0.000000000000000000e+00,-7.362903045467108994e-09
8.750000000000003608e-02,7.119641615739577545e-02,1.804875567409594650e+00,-7.425009716564326604e-09,0.000000000000000000e+00,-8.424676442926290145e-09
9.000000000000003830e-02,7.574738551820078825e-02,1.873332248584464343e+00,-8.759592512379837661e-09,0.000000000000000000e+00,-9.554151865300333638e-09
9.250000000000004052e-02,8.046968392390062286e-02,1.942117089520239981e+00,-4.248486100866693041e-09,0.000000000000000000e+00,-1.075948915969484316e-08
9.500000000000004274e-02,8.536412955292009552e-02,2.011226010267731734e+00,-7.389096637992204741e-09,0.000000000000000000e+00,-1.208009261614004179e-08
9.750000000000004496e-02,9.043153018488128692e-02,2.080654569102733387e+00,-2.774331401881946224e-09,0.000000000000000000e+00,-1.350092531719474296e-08
