Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.510027674688654246e-13,0.000000000000000000e+00,3.691704693353328155e-15
2.500000000000000052e-03,9.986386641657917645e-03,-1.993609623115326357e-02,3.213483598817942359e-13,0.000000000000000000e+00,3.620263128062634856e-14
5.000000000000000104e-03,9.928091511771994573e-03,-3.078553345383824510e-02,1.174921102385482091e-12,0.000000000000000000e+00,1.014162829435260587e-13
7.499999999999999722e-03,9.847831928055985826e-03,-3.254712992685024342e-02,2.119483238735017028e-12,0.000000000000000000e+00,1.461360888605690873e-13
1.000000000000000021e-02,9.768327723595059131e-03,-2.522047647788418223e-02,4.865934222667295402e-12,0.000000000000000000e+00,6.165655261102669292e-14
1.250000000000000069e-02,9.712299758315494358e-03,-8.805159244361600301e-03,3.005430086942133015e-12,0.000000000000000000e+00,-5.469170409728805044e-13
1.500000000000000118e-02,9.702469926686888707e-03,1.669923639257489892e-02,2.721916501111047125e-12,0.000000000000000000e+00,-1.684727193115383871e-12
1.750000000000000167e-02,9.761561160592345174e-03,5.129312653063344829e-02,7.125812234926623732e-12,0.000000000000000000e+00,-3.483522042307291042e-12
2.000000000000000042e-02,9.912297432929983998e-03,9.497692858046145881e-02,1.980980669987625783e-11,0.000000000000000000e+00,-6.386270029435747577e-12
2.249999999999999917e-02,1.017740376075436728e-02,1.477510610224526677e-01,2.195116199457682082e-11,0.000000000000000000e+00,-1.127889898935525156e-11
2.499999999999999792e-02,1.058032428925383128e-02,2.068381661803475602e-01,4.271517075683347603e-12,0.000000000000000000e+00,-1.832825956869085179e-11
2.749999999999999667e-02,1.113116976359233498e-02,2.664502042624212752e-01,2.813772565303685772e-13,0.000000000000000000e+00,-2.764219299011800956e-11
2.999999999999999542e-02,1.183125253116299423e-02,3.264272283084096449e-01,-1.992959146460416546e-11,0.000000000000000000e+00,-3.961484897145269853e-11
3.249999999999999417e-02,1.268148507224569482e-02,3.867692659107578312e-01,-2.849322356278907304e-11,0.000000000000000000e+00,-5.420132231737101423e-11
3.499999999999999639e-02,1.368277993635652438e-02,4.474763450878904703e-01,7.905214322439211261e-12,0.000000000000000000e+00,-7.176696933619572390e-11
3.749999999999999861e-02,1.483604974326394564e-02,5.085484941991832430e-01,4.619057569241968173e-11,0.000000000000000000e+00,-9.307705915575826954e-11
4.000000000000000083e-02,1.614220718379595285e-02,5.699857418631883998e-01,7.888591654136399691e-11,0.000000000000000000e+00,-1.193131437801101433e-10
4.250000000000000305e-02,1.760216502043938577e-02,6.317881168769520217e-01,9.711676470599520450e-11,0.000000000000000000e+00,-1.515245982088720377e-10
