Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.986386637788799078e-03,-1.993609490765645142e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.928091511402425615e-03,-3.078551206865149520e-02,5.569508245715684169e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,9.847831998552700195e-03,-3.254704809451988701e-02,-3.568521629159543209e-15,0.000000000000000000e+00,-5.543479603317766519e-16
1.000000000000000021e-02,9.768328048296847158e-03,-2.522026911580049074e-02,6.820624020805815942e-15,0.000000000000000000e+00,-3.748165328605538048e-15
1.250000000000000069e-02,9.712300694050816918e-03,-8.804742489431548191e-03,-1.806325782830326706e-14,0.000000000000000000e+00,-1.210312969715909096e-14
1.500000000000000118e-02,9.702472051189819924e-03,1.669996567840779239e-02,-5.569009153424865475e-14,0.000000000000000000e+00,-3.225753091636447064e-14
1.750000000000000167e-02,9.761565318633690438e-03,5.129428812861544507e-02,-4.585391609329679659e-14,0.000000000000000000e+00,-6.417740484059326545e-14
2.000000000000000042e-02,9.912304778727969515e-03,9.497865829452639685e-02,-2.864191444547043815e-13,0.000000000000000000e+00,-1.123492004578054436e-13
2.249999999999999917e-02,1.017741579631398045e-02,1.477535085686679239e-01,5.375560426595292947e-14,0.000000000000000000e+00,-1.817797216037075539e-13
2.499999999999999792e-02,1.058034289783833445e-02,2.068414930281828323e-01,-8.318840312039366726e-13,0.000000000000000000e+00,-2.921934815152214282e-13
2.749999999999999667e-02,1.113119723848654714e-02,2.664545823781051537e-01,-1.847597581177906384e-12,0.000000000000000000e+00,-4.269683780824183940e-13
2.999999999999999542e-02,1.183129160091159031e-02,3.264328384041244036e-01,-2.183664655524739983e-12,0.000000000000000000e+00,-5.420304951214248094e-13
3.249999999999999417e-02,1.268153892164847717e-02,3.867762959150943813e-01,-1.700739513271067437e-12,0.000000000000000000e+00,-6.334347505477654978e-13
3.499999999999999639e-02,1.368285222367351256e-02,4.474849886374627772e-01,1.490568684230572697e-12,0.000000000000000000e+00,-6.989017804817518652e-13
3.749999999999999861e-02,1.483614461399406816e-02,5.085589500459661849e-01,2.818631764021271867e-12,0.000000000000000000e+00,-8.422728385389105028e-13
4.000000000000000083e-02,1.614232928164080483e-02,5.699982096854577795e-01,4.175610578301027959e-12,0.000000000000000000e+00,-1.116918754388033344e-12
4.250000000000000305e-02,1.760231948970689825e-02,6.318027982619599525e-01,1.159783818620109899e-11,0.000000000000000000e+00,-1.606408885256933547e-12
4.500000000000000527e-02,1.921702857630700270e-02,6.939727435867558691e-01,1.017240870295741619e-11,0.000000000000000000e+00,-2.515930984135643927e-12
4.750000000000000749e-02,2.098736994918649554e-02,7.565080725267898654e-01,1.199242139562353511e-11,0.000000000000000000e+00,-3.932700661010846265e-12
5.000000000000000971e-02,2.291425708169880088e-02,8.194088095398619487e-01,1.902493743549910508e-11,0.000000000000000000e+00,-6.006922664408327420e-12
5.250000000000001193e-02,2.499860350737817885e-02,8.826749910555239387e-01,2.936749100863214373e-11,0.000000000000000000e+00,-8.999276900261310543e-12
5.500000000000001416e-02,2.724132286508649733e-02,9.463066568803026879e-01,1.980078038247108982e-11,0.000000000000000000e+00,-1.337197252176121981e-11
5.750000000000001638e-02,2.964332888118004217e-02,1.010303834757836361e+00,1.784960709179708034e-11,0.000000000000000000e+00,-1.915698977986011889e-11
6.000000000000001860e-02,3.220553535105843967e-02,1.074666551856109598e+00,5.101997548701698093e-12,0.000000000000000000e+00,-2.655248021959700578e-11
6.250000000000001388e-02,3.492885613767696823e-02,1.139394834683086666e+00,1.314556821603724389e-11,0.000000000000000000e+00,-3.549905681857716326e-11
6.500000000000001610e-02,3.781420516984956154e-02,1.204488709004956970e+00,1.681701586931927596e-11,0.000000000000000000e+00,-4.631038236837918638e-11
