Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,-5.893357544680723328e-14,0.000000000000000000e+00,-9.601713848254915507e-15
2.500000000000000052e-03,9.986386643206102837e-03,-1.993609740528880236e-02,8.775302666151445331e-13,0.000000000000000000e+00,6.202547771078059865e-15
5.000000000000000104e-03,9.928091508667394663e-03,-3.078554780914325925e-02,2.906784815459065179e-12,0.000000000000000000e+00,-2.586137362010407456e-14
7.499999999999999722e-03,9.847831873392448240e-03,-3.254718959388579885e-02,4.715259773378501145e-12,0.000000000000000000e+00,-5.591838345302227223e-13
1.000000000000000021e-02,9.768327482563992498e-03,-2.522062431982946898e-02,7.168758941989069636e-12,0.000000000000000000e+00,-2.212938038279185697e-12
1.250000000000000069e-02,9.712299082477289514e-03,-8.805449610504438585e-03,-9.675323546172733094e-12,0.000000000000000000e+00,-5.795095898285390169e-12
1.500000000000000118e-02,9.702468425310797548e-03,1.669873834216170291e-02,-5.587045039120180320e-12,0.000000000000000000e+00,-1.114375465337548569e-11
1.750000000000000167e-02,9.761558274274858074e-03,5.129234592765563594e-02,-2.481624169450685820e-11,0.000000000000000000e+00,-1.901061580457384110e-11
2.000000000000000042e-02,9.912292409926913225e-03,9.497578187776456460e-02,-3.402480548790443610e-11,0.000000000000000000e+00,-2.941924621055471284e-11
2.249999999999999917e-02,1.017739563584446616e-02,1.477494569496744514e-01,-5.983210501042442285e-11,0.000000000000000000e+00,-4.256440884257762124e-11
2.499999999999999792e-02,1.058031186494159601e-02,2.068360066872239056e-01,-5.419473134821565027e-11,0.000000000000000000e+00,-5.806415902882183645e-11
2.749999999999999667e-02,1.113115159377727620e-02,2.664473854866297731e-01,-1.037053638946465894e-10,0.000000000000000000e+00,-7.677819924081386659e-11
2.999999999999999542e-02,1.183122690702960444e-02,3.264236413323639563e-01,-9.855538374414979682e-11,0.000000000000000000e+00,-9.785888934594344699e-11
3.249999999999999417e-02,1.268145001006978391e-02,3.867647975174982045e-01,-8.656380256001255181e-11,0.000000000000000000e+00,-1.216177455715465960e-10
3.499999999999999639e-02,1.368273316716897905e-02,4.474708784651148519e-01,-8.655610920995648785e-11,0.000000000000000000e+00,-1.488051296472191212e-10
3.749999999999999861e-02,1.483598870424516179e-02,5.085419095921485111e-01,-3.640449070157613703e-11,0.000000000000000000e+00,-1.797548414280829202e-10
4.000000000000000083e-02,1.614212901127361904e-02,5.699779171789339793e-01,-4.740979657936975348e-11,0.000000000000000000e+00,-2.157626583113117074e-10
4.250000000000000305e-02,1.760206654437154045e-02,6.317789282429756570e-01,-1.589011883791925460e-10,0.000000000000000000e+00,-2.567576962019546102e-10
4.500000000000000527e-02,1.921671382756985277e-02,6.939449704148341613e-01,-1.607490530525902596e-10,0.000000000000000000e+00,-3.021530856348235630e-10
