Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,-3.895171304333528643e-14,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.986386640428010844e-03,-1.993609279922334276e-02,-1.063852639126138345e-13,0.000000000000000000e+00,8.371007870439770930e-15
5.000000000000000104e-03,9.928091518982053512e-03,-3.078551533993003492e-02,9.642797012607991357e-14,0.000000000000000000e+00,1.213559056847186427e-13
7.499999999999999722e-03,9.847831992153388558e-03,-3.254706525030895414e-02,-2.607022817126749676e-13,0.000000000000000000e+00,4.062588155379283863e-13
1.000000000000000021e-02,9.768327988558695232e-03,-2.522030651687715702e-02,-9.611196583267398727e-14,0.000000000000000000e+00,9.417674434396988981e-13
1.250000000000000069e-02,9.712300527941643627e-03,-8.804802076934480082e-03,7.877700980194810573e-13,0.000000000000000000e+00,1.768122236315431341e-12
1.500000000000000118e-02,9.702471722795522058e-03,1.669988495515727436e-02,1.020045116726082598e-12,0.000000000000000000e+00,2.874512818242300378e-12
1.750000000000000167e-02,9.761564777547981214e-03,5.129419094935053214e-02,1.854665724133934395e-12,0.000000000000000000e+00,4.268178051437899388e-12
2.000000000000000042e-02,9.912303986629828964e-03,9.497855034128693807e-02,1.915333098399561268e-12,0.000000000000000000e+00,5.923052022857614177e-12
2.249999999999999917e-02,1.017741472984084843e-02,1.477533964158271873e-01,1.786360387362449210e-12,0.000000000000000000e+00,7.838324669936805195e-12
2.499999999999999792e-02,1.058034154929021753e-02,2.068413803037187637e-01,1.767362558287938886e-12,0.000000000000000000e+00,1.001048610385951554e-11
2.749999999999999667e-02,1.113119560260741880e-02,2.664544548274343505e-01,1.777932300662297418e-12,0.000000000000000000e+00,1.243565013116014963e-11
2.999999999999999542e-02,1.183128961366008459e-02,3.264325789258529786e-01,1.761839613612660182e-12,0.000000000000000000e+00,1.511108887326493630e-11
3.249999999999999417e-02,1.268153611991578236e-02,3.867757422814923629e-01,1.929232995086877110e-12,0.000000000000000000e+00,1.803474620082927875e-11
3.499999999999999639e-02,1.368284788111007524e-02,4.474842594810453100e-01,2.320231002436469654e-12,0.000000000000000000e+00,2.120156157913196354e-11
3.749999999999999861e-02,1.483613836031304895e-02,5.085581280030327944e-01,1.978995111576387369e-12,0.000000000000000000e+00,2.459522149295112744e-11
4.000000000000000083e-02,1.614232092312074818e-02,5.699973536163022159e-01,-5.114980563188194482e-14,0.000000000000000000e+00,2.819650579732193429e-11
4.250000000000000305e-02,1.760230897603122166e-02,6.318019689944470718e-01,-6.007826581530149376e-13,0.000000000000000000e+00,3.198136161800790921e-11
4.500000000000000527e-02,1.921701601474242599e-02,6.939720157411716217e-01,-1.737213826995878587e-12,0.000000000000000000e+00,3.590452384866761153e-11
4.750000000000000749e-02,2.098735564272631929e-02,7.565075408643121557e-01,-3.472126438461658079e-12,0.000000000000000000e+00,3.985959171467601813e-11
5.000000000000000971e-02,2.291424158386236656e-02,8.194085961031967180e-01,-4.926924431103917911e-12,0.000000000000000000e+00,4.371549085540096438e-11
5.250000000000001193e-02,2.499858769100156766e-02,8.826751800275782767e-01,-7.475313428787257279e-12,0.000000000000000000e+00,4.739421434188078481e-11
5.500000000000001416e-02,2.724130774871854482e-02,9.463072713662572522e-01,-1.498046260207912337e-11,0.000000000000000000e+00,5.086176537516800312e-11
5.750000000000001638e-02,2.964331554035388658e-02,1.010304896348923842e+00,-1.343583438290064862e-11,0.000000000000000000e+00,5.411617992938037421e-11
6.000000000000001860e-02,3.220552491423208513e-02,1.074668080164229433e+00,-2.148501483774850953e-11,0.000000000000000000e+00,5.711054664838840752e-11
6.250000000000001388e-02,3.492884978104739135e-02,1.139396846939493502e+00,-2.118583779264409412e-11,0.000000000000000000e+00,5.983472958081520491e-11
6.500000000000001610e-02,3.781420411096573370e-02,1.204491219534649105e+00,-2.236894815630286228e-11,0.000000000000000000e+00,6.225144336504976230e-11
6.750000000000001832e-02,4.086250193119173729e-02,1.269951220121308122e+00,-1.838733096621700789e-11,0.000000000000000000e+00,6.432258523601978346e-11
7.000000000000002054e-02,4.407465732345035303e-02,1.335776869483856100e+00,-1.440057550177566864e-11,0.000000000000000000e+00,6.601457463808109251e-11
7.250000000000002276e-02,4.745158442062114013e-02,1.401968186942750050e+00,-4.703559315834009428e-12,0.000000000000000000e+00,6.730433263481493634e-11
7.500000000000002498e-02,5.099419740265411644e-02,1.468525191369267180e+00,-9.078542243142429873e-12,0.000000000000000000e+00,6.816241013857986433e-11
7.750000000000002720e-02,5.470341049839745617e-02,1.535447900363052565e+00,-1.011902339932140309e-11,0.000000000000000000e+00,6.816241013857986433e-11
8.000000000000002942e-02,5.858013797810211060e-02,1.602736330716403756e+00,-8.608017345944205011e-12,0.000000000000000000e+00,6.816241013857986433e-11
8.250000000000003164e-02,6.262529415306593294e-02,1.670390496754642351e+00,-1.571339818381341013e-11,0.000000000000000000e+00,6.816241013857986433e-11
8.500000000000003386e-02,6.683979337111632668e-02,1.738410413323394188e+00,-2.468823819808061301e-11,0.000000000000000000e+00,6.731571565544679710e-11
8.750000000000003608e-02,7.122455001578971434e-02,1.806796093001234560e+00,-2.533631825075378351e-11,0.000000000000000000e+00,6.604452302745540963e-11
9.000000000000003830e-02,7.578047850089665582e-02,1.875547547007809790e+00,-2.223893064412730240e-11,0.000000000000000000e+00,6.434850959822653304e-11
9.250000000000004052e-02,8.050849326818690366e-02,1.944664785571169396e+00,-3.404844436749577141e-11,0.000000000000000000e+00,6.223738719614792371e-11
