Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],58177.35170558,58334.1822741283,58177.35170558,58712.7854159147,100,Yes,535.433710334713,1669.66255182167
GG Average Mach Number 2,[ ],0.86792061300772,0.871111957431802,0.86792061300772,0.87652450237646,100,Yes,0.00860388936873935,0.017190700052574
GG Force 3,[N],597.053124193805,595.473245224121,592.988198895916,597.053124193805,100,Yes,4.06492529788943,4.57182996637381
GG Force (X) 4,[N],-12.1441253316923,-12.0952651826439,-12.1822796271529,-12.0157827644749,100,Yes,0.156249985346722,0.639942714843948
GG Force (Y) 5,[N],-596.702537594586,-595.105191043131,-596.702537594586,-592.598523477568,100,Yes,4.10401411701753,4.33850522364973
GG Force (Z) 6,[N],16.4631393632308,17.0801098884902,16.4631393632308,17.708361446325,100,Yes,1.07392663135957,10.9882593874038
GG Average Shear Stress 7,[Pa],107.337925806717,105.999752871763,102.257551571555,107.407978792263,100,Yes,3.69620458349108,10.4927992196645
GG Average Shear Stress (X) 8,[Pa],-0.301723711666964,-0.254597434741004,-0.374893512934408,-0.123810587721923,100,Yes,0.0381805763162039,0.102756649478245
GG Average Shear Stress (Y) 9,[Pa],8.20162537367046,8.15910170131997,7.93683553990981,8.21586871289333,100,Yes,0.27903317298352,1.18931851505211
GG Average Shear Stress (Z) 10,[Pa],102.765644363929,101.069609154557,97.0111751775039,102.765644363929,100,Yes,3.62228808292403,9.99671066140845
