*0p5*,New,Old
DyP (Pa),16100.33,17645.39
M,0.47,0.49
F (N),567.58,952.47
Fy (N),567.48,952.33
Fz (N),3.12,1.98
Shr (Pa),28.13,27.78
ShrY (Pa),2.19,0.5
ShrZ (Pa),26.5,26.78
---,---,---
*1*,New,Old
DyP (Pa),58334.18,64793.25
M,0.87,0.94
F (N),595.47,976.06
Fy (N),595.11,975.69
Fz (N),17.08,20.24
Shr (Pa),106.0,97.95
ShrY (Pa),8.16,1.97
ShrZ (Pa),101.07,94.85
---,---,---
*1p5*,New,Old
DyP (Pa),132261.79,141332.92
M,1.33,1.37
F (N),602.75,1016.82
Fy (N),601.01,1015.52
Fz (N),43.46,49.48
Shr (Pa),186.14,178.97
ShrY (Pa),10.68,2.18
ShrZ (Pa),176.27,174.62
---,---,---
*2*,New,Old
DyP (Pa),233260.22,251585.55
M,1.77,1.84
F (N),621.42,1016.85
Fy (N),617.13,1012.49
Fz (N),71.79,92.44
Shr (Pa),300.46,290.08
ShrY (Pa),18.31,4.82
ShrZ (Pa),283.08,277.3
