Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],"15418,0949259878","15516,8654963592","15418,0949259878","15628,835093773",100,Yes,"210,740167785172","262,287940235213"
GG Average Mach Number 2,[ ],"0,45071799331672","0,453323240307974","0,45071799331672","0,456311949692533",100,Yes,"0,00559395637581322","0,00562659905777377"
GG Force 3,[N],"566,436388559169","566,670999250958","566,436388559169","566,880073159541",100,Yes,"0,0982021616448492","2,23018078173173"
GG Force (X) 4,[N],"-4,20480054920289","-4,187521868269","-4,24590901900818","-4,13548150001405",100,Yes,"0,110427518994124","1,49107785297957"
GG Force (Y) 5,[N],"-566,414699870515","-566,648001029609","-566,856381771028","-566,414699870515",100,Yes,"0,100580677487415","2,03985137393324"
GG Force (Z) 6,[N],"2,62482511605375","2,91367650951236","2,62482511605375","3,2912931239363",100,Yes,"0,666468007882558","5,82747676000774"
GG Average Shear Stress 7,[Pa],"25,041981484362","25,3281286114506","25,041981484362","25,6643833069178",100,Yes,"0,622401822555787","3,50586473533166"
GG Average Shear Stress (X) 8,[Pa],"2,64236403754409","2,54656297337847","2,44112655585824","2,64236403754409",100,Yes,"0,149036050232814","0,28392412538827"
GG Average Shear Stress (Y) 9,[Pa],"2,29996597465551","2,30766326910639","2,28777776724814","2,3347715114386",100,Yes,"0,0323119673572596","0,331633251356302"
GG Average Shear Stress (Z) 10,[Pa],"23,4341914840515","23,6558848200511","23,3753210294846","24,1586757589711",100,Yes,"0,783354729486454","3,3528675063062"
