Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],"141745,088602402","141960,08083866","141745,088602402","142291,171696539",100,Yes,"546,083094136935","1822,41602050456"
GG Average Mach Number 2,[ ],"1,38848240226013","1,39269112674539","1,38848240226013","1,39880136895815",100,Yes,"0,0103189666980168","0,0111036611813851"
GG Force 3,[N],"995,531126610976","991,862501997213","986,065516761609","995,531126610976",100,Yes,"9,46560984936684","11,8008544562437"
GG Force (X) 4,[N],"32,9079290123609","32,6453666779892","32,2659880904006","32,9282149528882",100,Yes,"0,662226862487607","1,81219614935301"
GG Force (Y) 5,[N],"-993,472132305688","-989,695357130103","-993,472132305688","-983,823668018407",100,Yes,"9,64846428728163","10,0444855885388"
GG Force (Z) 6,[N],"-54,8854679439398","-56,8022553000353","-58,4366335550774","-54,8854679439398",100,Yes,"3,55116561113758","33,3355402838278"
GG Average Shear Stress 7,[Pa],"188,3099388764","190,407509758482","188,3099388764","192,825314114403",100,Yes,"4,51537523800295","18,1397976146786"
GG Average Shear Stress (X) 8,[Pa],"7,30582301373364","7,14702968848589","7,01504685000627","7,30582301373364",100,Yes,"0,103033914323086","0,778736296061015"
GG Average Shear Stress (Y) 9,[Pa],"1,74871826188174","1,77037890025645","1,70855440714646","1,83558975051056",100,Yes,"0,127035343364095","0,838211496550434"
GG Average Shear Stress (Z) 10,[Pa],"-180,729792410784","-181,929215571515","-183,889511386098","-180,644394029283",100,Yes,"3,24511735681429","17,6515749097534"
