nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,pressure-coefficient,dynamic-pressure,absolute-pressure,  total-pressure,rel-total-pressure,         density,     density-all,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity,  axial-velocity, radial-velocity,tangential-velocity,rel-velocity-magnitude,relative-x-velocity,relative-y-velocity,relative-z-velocity,rel-axial-velocity,rel-radial-velocity,rel-tangential-velocity, mesh-x-velocity, mesh-y-velocity, mesh-z-velocity,  velocity-angle,relative-velocity-angle,   vorticity-mag,        helicity,     x-vorticity,     y-vorticity,     z-vorticity,cell-reynolds-number,cell-convective-courant-number,     q-criterion, raw-q-criterion,lambda2-criterion,turb-kinetic-energy,  turb-intensity,  turb-diss-rate,specific-diss-rate, production-of-k,  viscosity-turb,   viscosity-eff, viscosity-ratio,          y-star,          y-plus,turb-reynolds-number-rey,   viscosity-lam,      wall-shear,    x-wall-shear,    y-wall-shear,    z-wall-shear,skin-friction-coef,cell-partition-active,cell-partition-stored,         cell-id,cell-element-type,       cell-type,       cell-zone,partition-neighbors,     cell-weight,    x-coordinate,    y-coordinate,    z-coordinate,axial-coordinate,angular-coordinate,abs-angular-coordinate,radial-coordinate,face-area-magnitude,     x-face-area,     y-face-area,     z-face-area,     cell-volume,orthogonal-quality,cell-equiangle-skew,cell-equivolume-skew, face-handedness,mark-poor-elements,interface-overlap-fraction,cell-wall-distance,    aspect-ratio,cell-refine-level,smoothed-cell-refine-level,cell-parent-index,anisotropic-adaption-cells,boundary-layer-cells,boundary-cell-dist,boundary-normal-dist,boundary-volume-dist,cell-volume-change,  mass-imbalance, strain-rate-mag,  dx-velocity-dx,  dy-velocity-dx,  dz-velocity-dx,  dx-velocity-dy,  dy-velocity-dy,  dz-velocity-dy,  dx-velocity-dz,  dy-velocity-dz,  dz-velocity-dz,           dp-dx,           dp-dy,           dp-dz,pressure-hessian-indicator
         1,-1.000000257E-02,-4.012340680E-02,-2.076018043E-02, 6.606608582E+01, 2.232702789E+02, 1.445075684E+04, 1.013910703E+05, 1.458750684E+04, 1.458750684E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.683022141E+00, 1.683022141E+00, 4.578758594E+04, 9.745050625E+05,-1.181040527E+03,-1.737032617E+04,-2.000833008E+04, 5.973329926E+01, 2.606752014E+01,-1.404668800E+07,-1.404668800E+07, 6.195031000E+06, 7.299523926E+02, 2.139799881E+01, 2.210997200E+07, 5.239608438E+05, 7.828276000E+06, 2.574547660E-03, 2.592441626E-03, 1.438777161E+02, 2.159449005E+02, 1.713601685E+02, 6.848405762E+02, 1.789400085E-05, 1.437972565E+02,-1.406466827E+02,-2.558972740E+01,-1.553460884E+01, 2.347709961E+02, 1.000000000E+00, 1.000000000E+00, 4.819480859E+04, 2.000000000E+00, 1.000000000E+00, 3.000000000E+00, 3.000000000E+00, 1.000000000E+00,-1.000000257E-02,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 2.897337675E+00, 2.897337675E+00, 4.135078937E-02, 8.496638202E-07,-2.027910142E-07,-2.002520745E-07,-2.513473305E-07, 3.178639851E-10, 6.772927046E-01, 3.824641407E-01, 3.227073252E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.688472207E-04, 5.219409466E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000259757E+00, 1.010407090E+00, 6.741264880E-09, 4.576885156E+04,-2.798351318E+03,-1.295991821E+03,-5.137921143E+02, 1.871234180E+04, 2.302096924E+03, 1.460615112E+03,-1.788411328E+04, 2.641655273E+03,-2.574125488E+03, 1.518804375E+05, 3.997265938E+05,-2.618437656E+05, 7.434837818E+00
         2,-8.630139753E-03,-4.012340680E-02,-2.076018043E-02,-9.833860397E+00,-2.676325226E+01, 1.390568359E+04, 1.013151641E+05, 1.388929102E+04, 1.388929102E+04, 1.225000143E+00, 1.225000143E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.685178876E+00, 1.685178876E+00, 6.656306250E+04, 3.159780000E+05, 1.091867676E+04,-5.817472656E+04,-2.787473633E+04, 7.522019196E+01, 2.439339638E+01, 3.723776400E+07, 3.723776400E+07, 2.968140600E+07, 6.573630981E+02, 2.073606682E+01, 2.877089200E+07, 7.609538750E+05, 1.216681700E+07, 1.604060759E-03, 1.621954842E-03, 8.964237213E+01, 2.317859192E+02, 1.738781128E+02, 4.017754211E+02, 1.789400085E-05, 1.478912354E+02,-1.447388153E+02,-2.592041588E+01,-1.576514244E+01, 2.414550781E+02, 1.000000000E+00, 1.000000000E+00, 4.818384375E+04, 2.000000000E+00, 1.000000000E+00, 2.999999762E+00, 2.999999762E+00, 1.000000000E+00,-8.630139753E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 2.929730654E+00, 2.929730654E+00, 4.104104266E-02, 8.687933928E-07, 1.227085655E-10,-7.802765367E-08,-4.457240550E-07, 2.880650163E-10, 6.447052956E-01, 4.799514413E-01, 3.552947044E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.310849959E-04, 5.085303307E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000231147E+00, 9.383500218E-01, 1.066911892E-09, 6.601544531E+04, 3.312748535E+03, 2.408660889E+02, 9.418019409E+02, 2.811560156E+04, 1.901646240E+03, 1.477566650E+03,-5.723292188E+04,-9.441110352E+03,-5.054199219E+03, 3.375214063E+04,-1.318969531E+05, 1.101370000E+05, 5.051969528E+00
         3,-7.260276936E-03,-4.012340680E-02,-2.076018043E-02, 6.787113190E+01, 1.553363037E+02, 1.366517773E+04, 1.013928672E+05, 1.376032227E+04, 1.376032227E+04, 1.224999905E+00, 1.224999905E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.683009148E+00, 1.683009148E+00, 4.770025391E+04, 2.513178125E+05, 6.225305664E+03,-3.932212891E+04,-1.172686328E+04, 5.295285416E+01, 2.348616028E+01, 3.882460400E+07, 3.882464400E+07, 3.024849800E+07, 7.707890625E+02, 2.276150131E+01, 2.692985400E+07, 6.087772500E+05, 7.873736000E+06, 2.642604290E-03, 2.660498256E-03, 1.476810150E+02, 2.996036682E+02, 2.178236237E+02, 7.323876953E+02, 1.789400267E-05, 1.483706207E+02,-1.453262482E+02,-2.557143021E+01,-1.549301720E+01, 2.422376862E+02, 1.000000000E+00, 1.000000000E+00, 4.816250391E+04, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 3.000000238E+00, 1.000000000E+00,-7.260276936E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 2.962580919E+00, 2.962580681E+00, 4.077498615E-02, 9.338486393E-07,-1.129854127E-10,-3.026484876E-07,-3.549684493E-07, 3.446309349E-10, 7.303854823E-01, 3.661746681E-01, 2.696145177E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.752513439E-04, 4.473969936E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000268459E+00, 1.094237208E+00, 5.243927959E-09, 4.770753906E+04, 3.248931396E+03, 1.474992920E+03, 1.466710205E+03, 1.320185547E+04,-3.187146606E+02,-5.816073227E+01,-3.785542188E+04,-6.283466309E+03,-3.685128418E+03,-3.200632031E+04, 1.121631094E+05, 1.079526719E+05, 5.097425461E+00
         4,-5.890413653E-03,-4.012340680E-02,-2.076018043E-02, 1.194276657E+02, 3.984916687E+02, 1.414377734E+04, 1.014444219E+05, 1.438785352E+04, 1.438785352E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.681864381E+00, 1.681864381E+00, 4.662176953E+04, 1.417778594E+05, 6.958260254E+03,-3.761248047E+04,-1.609051563E+04, 4.863194275E+01, 2.316731834E+01, 6.704721500E+06, 6.704772000E+06,-1.256278375E+06, 8.435862427E+02, 2.407614136E+01, 2.979173800E+07, 5.871660000E+05, 7.797745500E+06, 2.888861112E-03, 2.906754846E-03, 1.614429932E+02, 3.585109253E+02, 2.508220215E+02, 7.451837158E+02, 1.789400085E-05, 1.575869904E+02,-1.547085724E+02,-2.560432053E+01,-1.554498291E+01, 2.572848511E+02, 1.000000000E+00, 1.000000000E+00, 4.813584766E+04, 2.000000000E+00, 1.000000000E+00, 2.999999762E+00, 2.999999762E+00, 1.000000000E+00,-5.890413653E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 2.995826483E+00, 2.995826483E+00, 4.055348039E-02, 9.602104001E-07,-2.615604781E-12,-2.443017877E-07,-4.028619571E-07, 3.914477353E-10, 8.433480263E-01, 2.428334504E-01, 1.566519886E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.677040513E-04, 4.013442039E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000294685E+00, 1.133326054E+00, 8.927071526E-09, 4.629764844E+04, 1.769940338E+02, 1.356432251E+03, 1.577189636E+02, 1.744694727E+04, 3.703142090E+03, 1.898457764E+03,-3.745476172E+04,-5.059803223E+03,-4.215527344E+03,-4.178784063E+05, 5.249672500E+05,-9.310883594E+04, 5.889935493E+00
         5,-4.520550836E-03,-4.012340680E-02,-2.076018043E-02, 1.975759125E+01, 1.572484436E+02, 1.497128223E+04, 1.013447578E+05, 1.506759570E+04, 1.506759570E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.676355004E+00, 1.676355004E+00, 4.284346094E+04, 4.909117188E+05, 4.326939453E+03,-3.230749023E+04,-2.161590625E+04, 4.638253403E+01, 2.408388901E+01,-4.072952400E+07,-4.072950800E+07, 7.272916500E+06, 8.900150757E+02, 2.481580353E+01, 3.131549600E+07, 5.841610000E+05, 8.284478000E+06, 3.094415413E-03, 3.112309147E-03, 1.729303284E+02, 3.879238892E+02, 2.705191345E+02, 8.128716431E+02, 1.789400085E-05, 1.656551208E+02,-1.627798462E+02,-2.623256874E+01,-1.597763252E+01, 2.704573059E+02, 1.000000000E+00, 1.000000000E+00, 4.811854297E+04, 2.000000000E+00, 1.000000000E+00, 3.000000000E+00, 3.000000000E+00, 1.000000000E+00,-4.520550836E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 3.029399633E+00, 3.029399157E+00, 4.037726298E-02, 9.601352531E-07, 9.242492882E-11,-2.590980159E-07,-3.943696072E-07, 3.920572478E-10, 8.070083261E-01, 2.878168225E-01, 1.929916590E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.903551260E-04, 4.285201550E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000284076E+00, 1.213109732E+00, 2.484771500E-09, 4.354095703E+04,-2.084311523E+03,-1.010441284E+02, 4.330584106E+02, 2.151486328E+04, 5.673142578E+03, 9.706007080E+02,-3.187442969E+04,-3.356338867E+03,-4.203700684E+03,-2.423420938E+05, 2.395816250E+05,-7.152127441E+03, 4.535548210E+00
         6,-3.150687786E-03,-4.012340680E-02,-2.076018043E-02, 5.757072449E+01, 1.678918915E+02, 1.475164258E+04, 1.013825859E+05, 1.485447852E+04, 1.485447852E+04, 1.225000143E+00, 1.225000143E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.669169903E+00, 1.669169903E+00, 4.374304297E+04, 3.412015313E+05, 3.803752686E+03,-3.146865039E+04,-8.924776367E+03, 4.280505753E+01, 2.391951180E+01, 2.050765600E+07, 2.050764800E+07, 4.895361000E+06, 1.014754272E+03, 2.651813316E+01, 3.588471600E+07, 6.321246250E+05, 1.020493000E+07, 3.744211746E-03, 3.762105480E-03, 2.092439575E+02, 3.941757813E+02, 2.722383423E+02, 1.000293701E+03, 1.789400267E-05, 1.734893494E+02,-1.706643219E+02,-2.662021255E+01,-1.621360016E+01, 2.832478638E+02, 1.000000000E+00, 1.000000000E+00, 5.476980859E+04, 2.000000000E+00, 1.000000000E+00, 3.000000477E+00, 3.000000477E+00, 1.000000000E+00,-3.150687786E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 3.063228607E+00, 3.063228130E+00, 4.024692252E-02, 1.028883275E-06, 4.297201137E-11,-3.328164269E-07,-3.913294506E-07, 4.023379685E-10, 6.896637082E-01, 3.561428189E-01, 3.103363514E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.337527207E-04, 4.990446091E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000253677E+00, 1.482139230E+00,-4.582624946E-09, 4.305836719E+04,-1.328416920E+01, 8.585947418E+01, 9.004292603E+02, 9.010635742E+03, 3.047350342E+03, 1.567485962E+02,-3.056821875E+04,-3.647003662E+03,-4.443638672E+03,-1.173887422E+05, 3.988834063E+05, 7.354986719E+04, 2.491750717E+00
         7,-1.780824619E-03,-4.012340680E-02,-2.076018043E-02, 1.402711487E+02, 3.436995239E+02, 1.467754590E+04, 1.014652578E+05, 1.488806152E+04, 1.488806152E+04, 1.224999785E+00, 1.224999785E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.675543070E+00, 1.675543070E+00, 4.605298047E+04, 2.384087813E+05, 4.039673584E+03,-2.950584180E+04,-6.408472656E+03, 4.234373093E+01, 2.397582054E+01,-6.145280800E+07,-6.145280800E+07, 2.753415000E+07, 1.104804077E+03, 2.737932014E+01, 3.933103600E+07, 6.384474375E+05, 1.284006600E+07, 3.884341102E-03, 3.902235068E-03, 2.170750580E+02, 3.951357117E+02, 2.709144897E+02, 1.030086182E+03, 1.789399903E-05, 1.796725311E+02,-1.768497925E+02,-2.708646584E+01,-1.648189354E+01, 2.933428955E+02, 1.000000000E+00, 1.000000000E+00, 6.843129688E+04, 2.000000000E+00, 1.000000000E+00, 3.000000000E+00, 3.000000000E+00, 1.000000000E+00,-1.780824619E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 3.097238064E+00, 3.097235918E+00, 4.016290978E-02, 9.773581269E-07, 1.769178806E-19,-2.942038009E-07,-3.839943190E-07, 3.662397607E-10, 7.262816429E-01, 3.036496341E-01, 2.737182677E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.215089721E-04, 4.775440693E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000254273E+00, 1.404556036E+00, 1.753546641E-08, 4.729373828E+04, 6.114248657E+02, 2.369678497E+02,-2.432074585E+02, 6.645439941E+03, 5.305857422E+03, 7.521309204E+02,-2.974905078E+04,-3.287542969E+03,-3.477920166E+03,-3.023925000E+05, 5.534446875E+05,-9.852299219E+04, 2.293421745E+00
         8,-4.109616275E-04,-4.012340680E-02,-2.076018043E-02, 8.110149384E+01, 3.265122986E+02, 1.554022266E+04, 1.014060938E+05, 1.574020996E+04, 1.574020996E+04, 1.224999905E+00, 1.224999905E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.684571624E+00, 1.684571624E+00, 4.427123828E+04, 5.849103125E+04, 7.980614746E+03,-3.483372656E+04,-2.225287500E+04, 4.610607910E+01, 2.451778984E+01,-1.810644800E+08,-1.810644960E+08, 7.380801600E+07, 1.063177002E+03, 2.611858940E+01, 3.871074400E+07, 6.651463125E+05, 9.739095000E+06, 3.125157207E-03, 3.143051406E-03, 1.746483307E+02, 3.857837219E+02, 2.618551331E+02, 7.851448364E+02, 1.789399903E-05, 1.843107758E+02,-1.815131531E+02,-2.730734444E+01,-1.661629486E+01, 3.009154968E+02, 1.000000000E+00, 1.000000000E+00, 4.799824219E+04, 2.000000000E+00, 1.000000000E+00, 2.999999762E+00, 2.999999762E+00, 1.000000000E+00,-4.109616275E-04,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02, 3.131350517E+00, 3.131350279E+00, 4.012551159E-02, 9.080766290E-07, 3.444023026E-21,-2.497323806E-07,-3.700487525E-07, 3.429725948E-10, 8.692957163E-01, 1.976370811E-01, 1.307041496E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.558244789E-04, 3.852389336E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000266671E+00, 1.122970939E+00, 2.199590377E-08, 4.825150391E+04,-1.689115967E+03, 5.192430115E+01,-4.959343872E+02, 2.230479883E+04, 1.239898730E+04, 2.693393311E+03,-3.532966406E+04,-5.287220215E+03,-3.284052490E+03,-5.408670625E+05, 4.354889688E+05,-5.407402344E+04, 4.030921459E+00
         9, 9.589014226E-04,-4.012340680E-02,-2.076018043E-02, 4.434897232E+01, 2.321310883E+02, 1.611942969E+04, 1.013693516E+05, 1.626160840E+04, 1.626160840E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.688593984E+00, 1.688593984E+00, 4.729386719E+04, 1.105215234E+05, 8.599315430E+03,-3.634640625E+04,-2.517366016E+04, 4.705417633E+01, 2.556130219E+01,-2.395021600E+08,-2.395021920E+08, 8.727162400E+07, 1.144331543E+03, 2.667282295E+01, 4.259228400E+07, 7.009244375E+05, 1.112955700E+07, 3.096992383E-03, 3.114886116E-03, 1.730743103E+02, 3.864263306E+02, 2.596654663E+02, 7.743352661E+02, 1.789399903E-05, 1.936516724E+02,-1.905812683E+02,-2.932871056E+01,-1.784628105E+01, 3.161660156E+02, 1.000000000E+00, 1.000000000E+00, 4.807358984E+04, 2.000000000E+00, 1.000000000E+00, 3.000000000E+00, 3.000000000E+00, 1.000000000E+00, 9.589014226E-04,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02,-3.117698431E+00, 3.117698669E+00, 4.013486207E-02, 8.747704783E-07, 7.547319340E-20,-2.292393759E-07,-3.628466629E-07, 3.252276226E-10, 8.883351684E-01, 1.950696558E-01, 1.116647348E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.430091019E-04, 3.807431221E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000266552E+00, 1.077953339E+00, 3.587259600E-09, 5.246397266E+04,-1.231492798E+03,-9.675933228E+02,-7.414051514E+02, 2.420606641E+04, 1.473748145E+04, 2.504386963E+03,-3.708781250E+04,-6.094929199E+03,-3.442121582E+03,-2.307876719E+05, 2.389973125E+05,-9.322828125E+04, 5.085846901E+00
        10, 2.328764414E-03,-4.012340680E-02,-2.076018043E-02, 8.552130127E+01, 3.782356567E+02, 1.675229688E+04, 1.014105313E+05, 1.698396680E+04, 1.698396680E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.687534094E+00, 1.687534094E+00, 5.354923438E+04, 2.066524688E+05, 9.431905273E+03,-4.036321875E+04,-2.865919336E+04, 5.139745712E+01, 2.641718292E+01,-3.370672960E+08,-3.370673600E+08, 1.427055200E+08, 1.154867920E+03, 2.658231354E+01, 4.653556800E+07, 7.663910000E+05, 1.336915600E+07, 2.822397975E-03, 2.840291709E-03, 1.577287140E+02, 3.506126099E+02, 2.375511169E+02, 7.019986572E+02, 1.789400085E-05, 1.998493347E+02,-1.964288940E+02,-3.144950294E+01,-1.913676643E+01, 3.262846375E+02, 1.000000000E+00, 1.000000000E+00, 1.542561094E+05, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 3.000000238E+00, 1.000000000E+00, 2.328764414E-03,-4.012340680E-02,-2.076018043E-02,-2.076018043E-02,-3.083617687E+00, 3.083617687E+00, 4.019093141E-02, 8.264469216E-07, 8.053756146E-20,-1.991338650E-07,-3.526064916E-07, 2.913611852E-10, 8.896244764E-01, 2.061986923E-01, 1.075696051E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.117233573E-04, 3.765084982E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000259519E+00, 1.052039742E+00,-2.040193259E-08, 6.009116797E+04,-2.357162842E+03,-5.393988037E+02,-4.706665039E+02, 2.811979492E+04, 1.720920703E+04, 2.427151367E+03,-4.083388281E+04,-7.004753906E+03,-5.185035156E+03,-2.085937031E+05, 4.538024375E+05,-1.310280391E+05, 6.241144180E+00
