Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],131733.038705222,132261.785105358,131733.038705222,133056.946844344,100,Yes,1323.90813912221,3788.25959671948
GG Average Mach Number 2,[ ],1.3191000151264,1.32616152832873,1.3191000151264,1.33727203839703,100,Yes,0.0181720232706302,0.0245209238430933
GG Force 3,[N],604.703273965839,602.748019097692,600.169035372659,604.703273965839,100,Yes,4.53423859318025,7.53392758758352
GG Force (X) 4,[N],-13.9163579174606,-14.2073038931819,-14.5680823178687,-13.9163579174606,100,Yes,0.516754448109571,0.692318340205356
GG Force (Y) 5,[N],-603.072218106044,-601.010525669244,-603.072218106044,-598.321356394323,100,Yes,4.7508617117212,6.39311685010511
GG Force (Z) 6,[N],42.1459876616168,43.4604107299492,42.1459876616168,44.7818927055824,100,Yes,2.63590504396562,15.206365675124
GG Average Shear Stress 7,[Pa],183.380655153007,186.142390942625,183.380655153007,189.822856275504,100,Yes,6.44220112249749,22.0027549867597
GG Average Shear Stress (X) 8,[Pa],-0.488163816401687,-0.520191203046981,-0.74119462522217,-0.382666112474142,100,Yes,0.253037366486192,0.266044701219739
GG Average Shear Stress (Y) 9,[Pa],10.5585516308817,10.6780566985534,10.5585516308817,10.8939385199858,100,Yes,0.325480419233465,2.01178368102463
GG Average Shear Stress (Z) 10,[Pa],173.698795804766,176.268612776903,173.045287655369,181.807402319624,100,Yes,8.76211466425505,21.4091142066959
