Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],141304.130033281,141332.923334487,141298.451919363,141360.090243991,100,Yes,61.6383246278565,1632.81218814298
GG Average Mach Number 2,[ ],1.36680531307089,1.36752233485677,1.36680531307089,1.36824829628367,100,Yes,0.00144298321278735,0.0110140426528421
GG Force 3,[N],1017.28864218735,1016.82297928469,1016.29245201579,1017.28864218735,100,Yes,0.996190171555099,9.94492465535151
GG Force (X) 4,[N],14.1609550353022,14.4219225400437,14.1609550353022,14.6903869820483,100,Yes,0.529431946746083,0.532515525035785
GG Force (Y) 5,[N],-1016.00242066854,-1015.51580056821,-1016.00242066854,-1014.96315849735,100,Yes,1.03926217118533,8.50287177090172
GG Force (Z) 6,[N],-49.1399030476748,-49.4831404500191,-49.8430280748017,-49.1399030476748,100,Yes,0.703125027126958,30.9953370452026
GG Average Shear Stress 7,[Pa],178.569065082195,178.970531904875,178.075424298806,180.028153611529,100,Yes,1.75905885773392,16.1963860487851
GG Average Shear Stress (X) 8,[Pa],1.47659914721715,1.48077730086564,1.4042713370073,1.52680342432446,100,Yes,0.122532087317153,0.160840836713024
GG Average Shear Stress (Y) 9,[Pa],2.24156014433212,2.18456395611223,2.09455106176716,2.26430096745772,100,Yes,0.11142839428318,0.747990817262717
GG Average Shear Stress (Z) 10,[Pa],-174.34648536435,-174.615259250015,-175.487571558918,-173.845083589748,100,Yes,1.12139490670043,15.7234195691129
