Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00192307692	101585.513	101585.513	101585.513	101585.513	0	0	0	0	0	0	3
5	1	0	0.00961538462	102190.115	101887.814	101585.513	102190.115	302.300947	0	0	0	0	0	3
10	2	0	0.0192307692	102658.354	102144.66	101585.513	102658.354	559.147717	0	0	0	0	0	3
15	2	0	0.0288461538	103036.924	102367.726	101585.513	103036.924	782.21369	0	0	0	0	0	3
20	3	0	0.0384615385	103372.153	102568.612	101585.513	103372.153	983.099084	0	0	0	0	0	3
25	4	0	0.0480769231	103736.211	102763.212	101585.513	103736.211	1177.69903	0	0	0	0	0	3
30	5	0	0.0576923077	104206.595	102969.409	101585.513	104206.595	1383.89669	0	0	0	0	0	3
35	5	0	0.0673076923	104778.49	103195.544	101585.513	104778.49	1610.03175	0	0	0	0	0	3
40	6	0	0.0769230769	105425.276	103443.292	101585.513	105425.276	1857.7797	0	0	0	0	0	3
45	7	0	0.0865384615	106103.029	103709.266	101585.513	106103.029	2123.75334	0	0	0	0	0	3
50	8	0	0.0961538462	106774.044	103987.882	101585.513	106774.044	2402.36956	0	0	0	0	0	3
55	8	0	0.105769231	107409.458	104273.013	101585.513	107409.458	2687.50087	0	0	0	0	0	3
60	9	0	0.115384615	107977.62	104557.983	101585.513	107977.62	2972.47061	0	0	0	0	0	3
65	10	0	0.125	108451.083	104836.062	101585.513	108451.083	3250.5492	0	0	0	0	0	3
70	11	0	0.134615385	108791.475	105099.756	101585.513	108791.475	3514.24338	0	0	0	0	0	3
75	11	0	0.144230769	108969.339	105341.605	101585.513	108969.339	3756.09231	0	0	0	0	0	3
80	12	0	0.153846154	108984.749	105555.908	101585.513	108984.749	3970.39493	0	0	0	0	0	3
85	13	0	0.163461538	108855.618	105739.225	101585.513	108984.749	4153.71216	0	0	0	0	0	3
90	14	0	0.173076923	108614.556	105890.558	101585.513	108984.749	4305.04537	0	0	0	0	0	3
95	14	0	0.182692308	108303.783	106011.219	101585.513	108984.749	4425.70662	0	0	0	0	0	3
100	15	0	0.192307692	107964.615	106104.238	101585.513	108984.749	4518.72548	0	0	0	0	0	3
105	16	0	0.201923077	107631.839	106173.674	101585.513	108984.749	4588.16187	0	0	0	0	0	3
110	17	0	0.211538462	107329.891	106223.945	101585.513	108984.749	4638.43217	0	0	0	0	0	3
115	17	0	0.221153846	107077.076	106259.492	101585.513	108984.749	4673.97931	0	0	0	0	0	3
120	18	0	0.230769231	106879.544	106284.294	101585.513	108984.749	4698.7814	0	0	0	0	0	3
125	19	0	0.240384615	106737.276	106301.716	101585.513	108984.749	4716.20378	0	0	0	0	0	3
130	20	0	0.25	106650.014	106314.616	101585.513	108984.749	4729.10367	0	0	0	0	0	3
135	20	0	0.259615385	106612.947	106325.271	101585.513	108984.749	4739.75835	0	0	0	0	0	3
140	21	0	0.269230769	106620.236	106335.442	101585.513	108984.749	4749.92956	0	0	0	0	0	3
145	22	0	0.278846154	106661.515	106346.311	101585.513	108984.749	4760.79866	0	0	0	0	0	3
150	23	0	0.288461538	106724.796	106358.52	101585.513	108984.749	4773.00786	0	0	0	0	0	3
155	23	0	0.298076923	106802.226	106372.386	101585.513	108984.749	4786.87367	0	0	0	0	0	3
