Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	-52.7964668	-52.7964668	-52.7964668	-52.7964668	0	0	0	0	0	0	3
5	1	0	0.00961538462	-48.3905422	-50.5935045	-52.7964668	-48.3905422	2.20296227	0	0	0	0	0	3
10	1	0	0.0192307692	-46.0624706	-49.0831598	-52.7964668	-46.0624706	3.71330691	0	0	0	0	0	3
15	2	0	0.0288461538	-45.1419661	-48.0978614	-52.7964668	-45.1419661	4.69860536	0	0	0	0	0	3
20	2	0	0.0384615385	-45.3758249	-47.5534541	-52.7964668	-45.1419661	5.24301266	0	0	0	0	0	3
25	2	0	0.0480769231	-45.3980004	-47.1942118	-52.7964668	-45.1419661	5.60225495	0	0	0	0	0	3
30	2	0	0.0576923077	-44.7572723	-46.8460776	-52.7964668	-44.7572723	5.95038917	0	0	0	0	0	3
35	2	0	0.0673076923	-44.2547169	-46.5221575	-52.7964668	-44.2547169	6.27430926	0	0	0	0	0	3
40	3	0	0.0769230769	-43.6390167	-46.2018085	-52.7964668	-43.6390167	6.59465823	0	0	0	0	0	3
45	3	0	0.0865384615	-42.7088795	-45.8525156	-52.7964668	-42.7088795	6.94395113	0	0	0	0	0	3
50	3	0	0.0961538462	-41.7335583	-45.478065	-52.7964668	-41.7335583	7.3184018	0	0	0	0	0	3
55	4	0	0.105769231	-40.667028	-45.0771452	-52.7964668	-40.667028	7.71932155	0	0	0	0	0	3
60	4	0	0.115384615	-38.8875694	-44.601024	-52.7964668	-38.8875694	8.19544277	0	0	0	0	0	3
65	4	0	0.125	-37.7291968	-44.1101792	-52.7964668	-37.7291968	8.68628757	0	0	0	0	0	3
70	5	0	0.134615385	-36.1777764	-43.5813523	-52.7964668	-36.1777764	9.21511442	0	0	0	0	0	3
75	5	0	0.144230769	-35.0435012	-43.0477366	-52.7964668	-35.0435012	9.74873012	0	0	0	0	0	3
80	5	0	0.153846154	-33.4680003	-42.4842227	-52.7964668	-33.4680003	10.312244	0	0	0	0	0	3
85	6	0	0.163461538	-33.093112	-41.9624944	-52.7964668	-33.093112	10.8339724	0	0	0	0	0	3
90	6	0	0.173076923	-32.1607407	-41.4466126	-52.7964668	-32.1607407	11.3498542	0	0	0	0	0	3
95	6	0	0.182692308	-31.8110016	-40.964832	-52.7964668	-31.8110016	11.8316347	0	0	0	0	0	3
100	7	0	0.192307692	-31.3630822	-40.5076059	-52.7964668	-31.3630822	12.2888609	0	0	0	0	0	3
105	7	0	0.201923077	-30.9540993	-40.0733556	-52.7964668	-30.9540993	12.7231112	0	0	0	0	0	3
110	8	0	0.211538462	-30.5807076	-39.6606317	-52.7964668	-30.5807076	13.135835	0	0	0	0	0	3
115	8	0	0.221153846	-29.8042005	-39.2499471	-52.7964668	-29.8042005	13.5465197	0	0	0	0	0	3
120	8	0	0.230769231	-29.507793	-38.8602609	-52.7964668	-29.507793	13.9362058	0	0	0	0	0	3
125	9	0	0.240384615	-29.1115696	-38.4853113	-52.7964668	-29.1115696	14.3111555	0	0	0	0	0	3
130	9	0	0.25	-28.5729717	-38.1181876	-52.7964668	-28.5729717	14.6782792	0	0	0	0	0	3
135	9	0	0.259615385	-28.34175	-37.7690291	-52.7964668	-28.34175	15.0274377	0	0	0	0	0	3
140	10	0	0.269230769	-28.0812532	-37.4349679	-52.7964668	-28.0812532	15.3614989	0	0	0	0	0	3
145	10	0	0.278846154	-28.1425364	-37.1252201	-52.7964668	-28.0812532	15.6712466	0	0	0	0	0	3
150	10	0	0.288461538	-28.1656109	-36.8362005	-52.7964668	-28.0812532	15.9602663	0	0	0	0	0	3
155	11	0	0.298076923	-28.1929285	-36.5660982	-52.7964668	-28.0812532	16.2303685	0	0	0	0	0	3
160	11	0	0.307692308	-28.2626038	-36.3144772	-52.7964668	-28.0812532	16.4819896	0	0	0	0	0	3
165	11	0	0.317307692	-28.3485698	-36.0801858	-52.7964668	-28.0812532	16.716281	0	0	0	0	0	3
170	12	0	0.326923077	-28.4075925	-35.8609689	-52.7964668	-28.0812532	16.9354979	0	0	0	0	0	3
175	12	0	0.336538462	-28.3975822	-35.6536526	-52.7964668	-28.0812532	17.1428142	0	0	0	0	0	3
180	12	0	0.346153846	-28.3454832	-35.4561345	-52.7964668	-28.0812532	17.3403323	0	0	0	0	0	3
185	13	0	0.355769231	-28.1959016	-35.2650757	-52.7964668	-28.0812532	17.5313911	0	0	0	0	0	3
190	13	0	0.365384615	-28.1493727	-35.0826218	-52.7964668	-28.0812532	17.713845	0	0	0	0	0	3
195	14	0	0.375	-28.1044387	-34.9081672	-52.7964668	-28.0812532	17.8882996	0	0	0	0	0	3
