Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	293.241781	293.241781	293.241781	293.241781	0	0	0	0	0	0	3
5	1	0	0.00961538462	293.318227	293.280004	293.241781	293.318227	0.0382230559	0	0	0	0	0	3
10	1	0	0.0192307692	293.332843	293.297617	293.241781	293.332843	0.0558362044	0	0	0	0	0	3
15	2	0	0.0288461538	293.328196	293.305262	293.241781	293.332843	0.0634810648	0	0	0	0	0	3
20	2	0	0.0384615385	293.348599	293.313929	293.241781	293.348599	0.0721486373	0	0	0	0	0	3
25	2	0	0.0480769231	293.39746	293.327851	293.241781	293.39746	0.0860704134	0	0	0	0	0	3
30	2	0	0.0576923077	293.470204	293.348187	293.241781	293.470204	0.106406605	0	0	0	0	0	3
35	2	0	0.0673076923	293.562217	293.374941	293.241781	293.562217	0.133160398	0	0	0	0	0	3
40	3	0	0.0769230769	293.669162	293.407632	293.241781	293.669162	0.165851623	0	0	0	0	0	3
45	3	0	0.0865384615	293.785902	293.445459	293.241781	293.785902	0.203678614	0	0	0	0	0	3
50	3	0	0.0961538462	293.906386	293.487362	293.241781	293.906386	0.245581064	0	0	0	0	0	3
55	4	0	0.105769231	294.02109	293.531839	293.241781	294.02109	0.29005841	0	0	0	0	0	3
60	4	0	0.115384615	294.116651	293.576824	293.241781	294.116651	0.335043976	0	0	0	0	0	3
65	4	0	0.125	294.179334	293.619861	293.241781	294.179334	0.378080401	0	0	0	0	0	3
70	5	0	0.134615385	294.198676	293.658449	293.241781	294.198676	0.416668045	0	0	0	0	0	3
75	5	0	0.144230769	294.172564	293.690581	293.241781	294.198676	0.448800287	0	0	0	0	0	3
80	5	0	0.153846154	294.107231	293.71509	293.241781	294.198676	0.473309095	0	0	0	0	0	3
85	6	0	0.163461538	294.012888	293.731634	293.241781	294.198676	0.489853434	0	0	0	0	0	3
90	6	0	0.173076923	293.900161	293.740504	293.241781	294.198676	0.498723292	0	0	0	0	0	3
95	6	0	0.182692308	293.780346	293.742496	293.241781	294.198676	0.500715425	0	0	0	0	0	3
100	7	0	0.192307692	293.662744	293.738698	293.241781	294.198676	0.500715425	0	0	0	0	0	3
105	7	0	0.201923077	293.552926	293.730254	293.241781	294.198676	0.500715425	0	0	0	0	0	3
110	8	0	0.211538462	293.454167	293.71825	293.241781	294.198676	0.500715425	0	0	0	0	0	3
115	8	0	0.221153846	293.368752	293.703688	293.241781	294.198676	0.500715425	0	0	0	0	0	3
120	8	0	0.230769231	293.297107	293.687425	293.241781	294.198676	0.500715425	0	0	0	0	0	3
125	9	0	0.240384615	293.238641	293.670164	293.238641	294.198676	0.500715425	0	0	0	0	0	3
130	9	0	0.25	293.192018	293.652455	293.192018	294.198676	0.500715425	0	0	0	0	0	3
135	9	0	0.259615385	293.156294	293.634735	293.156294	294.198676	0.500715425	0	0	0	0	0	3
140	10	0	0.269230769	293.130035	293.617331	293.130035	294.198676	0.500715425	0	0	0	0	0	3
145	10	0	0.278846154	293.111719	293.600477	293.111719	294.198676	0.500715425	0	0	0	0	0	3
150	10	0	0.288461538	293.09998	293.584332	293.09998	294.198676	0.500715425	0	0	0	0	0	3
155	11	0	0.298076923	293.094031	293.56901	293.094031	294.198676	0.500715425	0	0	0	0	0	3
160	11	0	0.307692308	293.093273	293.554594	293.093273	294.198676	0.500715425	0	0	0	0	0	3
165	11	0	0.317307692	293.097015	293.541136	293.093273	294.198676	0.500715425	0	0	0	0	0	3
170	12	0	0.326923077	293.103547	293.528633	293.093273	294.198676	0.500715425	0	0	0	0	0	3
175	12	0	0.336538462	293.112087	293.517063	293.093273	294.198676	0.500715425	0	0	0	0	0	3
180	12	0	0.346153846	293.122082	293.506387	293.093273	294.198676	0.500715425	0	0	0	0	0	3
185	13	0	0.355769231	293.133842	293.496584	293.093273	294.198676	0.500715425	0	0	0	0	0	3
190	13	0	0.365384615	293.147305	293.487628	293.093273	294.198676	0.500715425	0	0	0	0	0	3
195	14	0	0.375	293.162103	293.47949	293.093273	294.198676	0.500715425	0	0	0	0	0	3
200	14	0	0.384615385	293.177622	293.472127	293.093273	294.198676	0.500715425	0	0	0	0	0	3
205	14	0	0.394230769	293.193932	293.465503	293.093273	294.198676	0.500715425	0	0	0	0	0	3
210	15	0	0.403846154	293.211305	293.459592	293.093273	294.198676	0.500715425	0	0	0	0	0	3
215	15	0	0.413461538	293.229526	293.454363	293.093273	294.198676	0.500715425	0	0	0	0	0	3
220	16	0	0.423076923	293.248882	293.449797	293.093273	294.198676	0.500715425	0	0	0	0	0	3
225	16	0	0.432692308	293.269709	293.445882	293.093273	294.198676	0.500715425	0	0	0	0	0	3
230	16	0	0.442307692	293.292066	293.442609	293.093273	294.198676	0.500715425	0	0	0	0	0	3
235	17	0	0.451923077	293.316398	293.43998	293.093273	294.198676	0.500715425	0	0	0	0	0	3
240	17	0	0.461538462	293.342717	293.437995	293.093273	294.198676	0.500715425	0	0	0	0	0	3
245	17	0	0.471153846	293.371273	293.43666	293.093273	294.198676	0.500715425	0	0	0	0	0	3
