Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00192307692	0.499122922	0.499122922	0.499122922	0.499122922	0	0	0	0	0	0	3
5	1	0	0.00961538462	0.49667865	0.497900786	0.49667865	0.499122922	0.0012221358	0	0	0	0	0	3
10	1	0	0.0192307692	0.493757088	0.496519553	0.493757088	0.499122922	0.00260336834	0	0	0	0	0	3
15	1	0	0.0288461538	0.491313608	0.495218067	0.491313608	0.499122922	0.00390485476	0	0	0	0	0	3
20	2	0	0.0384615385	0.4891094	0.493996334	0.4891094	0.499122922	0.00512658821	0	0	0	0	0	3
25	2	0	0.0480769231	0.487100893	0.492847093	0.487100893	0.499122922	0.00627582825	0	0	0	0	0	3
30	2	0	0.0576923077	0.485518312	0.491800125	0.485518312	0.499122922	0.00732279703	0	0	0	0	0	3
35	3	0	0.0673076923	0.484467677	0.490883569	0.484467677	0.499122922	0.00823935297	0	0	0	0	0	3
40	3	0	0.0769230769	0.483831443	0.490099999	0.483831443	0.499122922	0.00902292252	0	0	0	0	0	3
45	3	0	0.0865384615	0.483506009	0.4894406	0.483506009	0.499122922	0.00968232159	0	0	0	0	0	3
50	4	0	0.0961538462	0.483367113	0.488888465	0.483367113	0.499122922	0.0102344567	0	0	0	0	0	3
55	5	0	0.105769231	0.483441908	0.488434585	0.483367113	0.499122922	0.0106883365	0	0	0	0	0	3
60	5	0	0.115384615	0.483734991	0.488073078	0.483367113	0.499122922	0.0110498438	0	0	0	0	0	3
65	6	0	0.125	0.484195991	0.487796143	0.483367113	0.499122922	0.0113267785	0	0	0	0	0	3
70	7	0	0.134615385	0.484698064	0.487589605	0.483367113	0.499122922	0.0115333171	0	0	0	0	0	3
75	8	0	0.144230769	0.485139942	0.487436501	0.483367113	0.499122922	0.011686421	0	0	0	0	0	3
80	9	0	0.153846154	0.485506887	0.487322994	0.483367113	0.499122922	0.0117999277	0	0	0	0	0	3
85	9	0	0.163461538	0.485850189	0.487241172	0.483367113	0.499122922	0.0118817502	0	0	0	0	0	3
90	10	0	0.173076923	0.486205591	0.487186667	0.483367113	0.499122922	0.0119362545	0	0	0	0	0	3
95	11	0	0.182692308	0.486555337	0.487155101	0.483367113	0.499122922	0.011967821	0	0	0	0	0	3
100	12	0	0.192307692	0.486856377	0.487140876	0.483367113	0.499122922	0.0119820459	0	0	0	0	0	3
105	13	0	0.201923077	0.487071912	0.487137741	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
110	14	0	0.211538462	0.487195358	0.487140246	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
115	15	0	0.221153846	0.487236303	0.487144249	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
120	16	0	0.230769231	0.487214244	0.487147048	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
125	17	0	0.240384615	0.487162839	0.487147656	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
130	17	0	0.25	0.487113383	0.487146386	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
135	18	0	0.259615385	0.48709375	0.487144506	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
140	19	0	0.269230769	0.487117043	0.487143559	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
145	20	0	0.278846154	0.487188364	0.487145053	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
150	20	0	0.288461538	0.487313328	0.487150481	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
155	21	0	0.298076923	0.487491271	0.487161131	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
160	22	0	0.307692308	0.487714292	0.487177893	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
165	23	0	0.317307692	0.487979805	0.487201479	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
170	23	0	0.326923077	0.488296234	0.487232758	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
175	24	0	0.336538462	0.488654484	0.48727225	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
180	25	0	0.346153846	0.489032943	0.487319836	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
185	25	0	0.355769231	0.489408413	0.487374799	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
190	26	0	0.365384615	0.489764314	0.487436069	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
195	27	0	0.375	0.490096545	0.48750258	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
200	28	0	0.384615385	0.490405315	0.487573379	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
205	29	0	0.394230769	0.490689043	0.487647561	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
210	30	0	0.403846154	0.49094507	0.487724248	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
215	31	0	0.413461538	0.491178371	0.48780275	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
220	31	0	0.423076923	0.491386612	0.487882392	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
225	32	0	0.432692308	0.491568181	0.487962518	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
230	33	0	0.442307692	0.491721085	0.488042487	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
235	34	0	0.451923077	0.491846649	0.48812174	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
240	35	0	0.461538462	0.491947107	0.488199809	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
245	35	0	0.471153846	0.492028415	0.488276381	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
250	36	0	0.480769231	0.492092686	0.488351211	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
255	37	0	0.490384615	0.492138686	0.488424047	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
260	38	0	0.5	0.492165144	0.488494634	0.483367113	0.499122922	0.0119851806	0	0	0	0	0	3
265	39	0	0.509615385	0.492174377	0.488363529	0.483367113	0.49667865	0.0107630448	0	0	0	0	0	3
270	40	0	0.519230769	0.49216448	0.488172996	0.483367113	0.492174377	0.00808032588	0	0	0	0	0	3
275	40	0	0.528846154	0.49214	0.488188888	0.483367113	0.492174377	0.00685859243	0	0	0	0	0	3
280	41	0	0.538461538	0.492103573	0.488246468	0.483367113	0.492174377	0.00570935239	0	0	0	0	0	3
