Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00192307692	-960.264346	-960.264346	-960.264346	-960.264346	0	0	0	0	0	0	3
5	1	0	0.00961538462	-958.798317	-959.531332	-960.264346	-958.798317	0.73301467	0	0	0	0	0	3
10	1	0	0.0192307692	-958.895186	-959.319283	-960.264346	-958.798317	0.945063395	0	0	0	0	0	3
15	1	0	0.0288461538	-960.463856	-959.605426	-960.463856	-958.798317	0.945063395	0	0	0	0	0	3
20	2	0	0.0384615385	-963.169997	-960.318341	-963.169997	-958.798317	0.999057534	0	0	0	0	0	3
25	2	0	0.0480769231	-966.186958	-961.296444	-966.186958	-958.798317	1.97716047	0	0	0	0	0	3
30	2	0	0.0576923077	-968.993974	-962.396091	-968.993974	-958.798317	3.07680774	0	0	0	0	0	3
35	3	0	0.0673076923	-971.242316	-963.501869	-971.242316	-958.798317	4.18258587	0	0	0	0	0	3
40	3	0	0.0769230769	-972.852639	-964.540843	-972.852639	-958.798317	5.22156033	0	0	0	0	0	3
45	3	0	0.0865384615	-973.921941	-965.478953	-973.921941	-958.798317	6.15967013	0	0	0	0	0	3
50	4	0	0.0961538462	-974.529934	-966.30177	-974.529934	-958.798317	6.9824866	0	0	0	0	0	3
55	5	0	0.105769231	-974.686945	-967.000534	-974.686945	-958.798317	7.68125122	0	0	0	0	0	3
60	5	0	0.115384615	-974.066237	-967.54405	-974.686945	-958.798317	8.22476678	0	0	0	0	0	3
65	6	0	0.125	-972.424461	-967.892651	-974.686945	-958.798317	8.57336756	0	0	0	0	0	3
70	7	0	0.134615385	-969.614578	-968.007446	-974.686945	-958.798317	8.68816271	0	0	0	0	0	3
75	8	0	0.144230769	-965.955646	-967.879208	-974.686945	-958.798317	8.68816271	0	0	0	0	0	3
80	9	0	0.153846154	-961.848163	-967.524441	-974.686945	-958.798317	8.68816271	0	0	0	0	0	3
85	9	0	0.163461538	-957.84101	-966.986473	-974.686945	-957.84101	8.68816271	0	0	0	0	0	3
90	10	0	0.173076923	-954.447322	-966.326517	-974.686945	-954.447322	8.68816271	0	0	0	0	0	3
95	11	0	0.182692308	-951.922517	-965.606317	-974.686945	-951.922517	8.68816271	0	0	0	0	0	3
100	12	0	0.192307692	-950.422587	-964.883283	-974.686945	-950.422587	8.68816271	0	0	0	0	0	3
105	13	0	0.201923077	-950.027073	-964.208	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
110	14	0	0.211538462	-950.633058	-963.617785	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
115	15	0	0.221153846	-951.878243	-963.128638	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
120	16	0	0.230769231	-953.251922	-962.733569	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
125	17	0	0.240384615	-954.370048	-962.411895	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
130	17	0	0.25	-955.046395	-962.139099	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
135	18	0	0.259615385	-955.171424	-961.890253	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
140	19	0	0.269230769	-954.69987	-961.642309	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
145	20	0	0.278846154	-953.689631	-961.37722	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
150	20	0	0.288461538	-952.369742	-961.086656	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
155	21	0	0.298076923	-950.982087	-960.770888	-974.686945	-950.027073	8.68816271	0	0	0	0	0	3
160	22	0	0.307692308	-949.769463	-960.437512	-974.686945	-949.769463	8.68816271	0	0	0	0	0	3
165	23	0	0.317307692	-948.824805	-960.095962	-974.686945	-948.824805	8.68816271	0	0	0	0	0	3
170	23	0	0.326923077	-948.126383	-959.753974	-974.686945	-948.126383	8.68816271	0	0	0	0	0	3
175	24	0	0.336538462	-947.727779	-959.419913	-974.686945	-947.727779	8.68816271	0	0	0	0	0	3
180	25	0	0.346153846	-947.65395	-959.101914	-974.686945	-947.65395	8.90553211	0	0	0	0	0	3
185	25	0	0.355769231	-947.873037	-958.806417	-974.686945	-947.65395	9.20102886	0	0	0	0	0	3
190	26	0	0.365384615	-948.266803	-958.53617	-974.686945	-947.65395	9.47127537	0	0	0	0	0	3
195	27	0	0.375	-948.714314	-958.290624	-974.686945	-947.65395	9.71682177	0	0	0	0	0	3
200	28	0	0.384615385	-949.101094	-958.066489	-974.686945	-947.65395	9.94095665	0	0	0	0	0	3
205	29	0	0.394230769	-949.365244	-957.859317	-974.686945	-947.65395	10.1481292	0	0	0	0	0	3
210	30	0	0.403846154	-949.495723	-957.664814	-974.686945	-947.65395	10.3426314	0	0	0	0	0	3
215	31	0	0.413461538	-949.545939	-957.480295	-974.686945	-947.65395	10.5271512	0	0	0	0	0	3
220	31	0	0.423076923	-949.481928	-957.302553	-974.686945	-947.65395	10.7048927	0	0	0	0	0	3
225	32	0	0.432692308	-949.305524	-957.128705	-974.686945	-947.65395	10.8787412	0	0	0	0	0	3
230	33	0	0.442307692	-949.069332	-956.957229	-974.686945	-947.65395	11.0502172	0	0	0	0	0	3
235	34	0	0.451923077	-948.838472	-956.788088	-974.686945	-947.65395	11.219358	0	0	0	0	0	3
240	35	0	0.461538462	-948.674879	-956.622512	-974.686945	-947.65395	11.3849337	0	0	0	0	0	3
245	35	0	0.471153846	-948.598474	-956.462031	-974.686945	-947.65395	11.5454144	0	0	0	0	0	3
250	36	0	0.480769231	-948.577554	-956.307434	-974.686945	-947.65395	11.700012	0	0	0	0	0	3
255	37	0	0.490384615	-948.606433	-956.159338	-974.686945	-947.65395	11.8481082	0	0	0	0	0	3
260	38	0	0.5	-948.679119	-956.018201	-974.686945	-947.65395	11.9892444	0	0	0	0	0	3
265	39	0	0.509615385	-948.750132	-955.800952	-974.686945	-947.65395	12.2064937	0	0	0	0	0	3
270	40	0	0.519230769	-948.788979	-955.54896	-974.686945	-947.65395	12.4584855	0	0	0	0	0	3
275	40	0	0.528846154	-948.783382	-955.324336	-974.686945	-947.65395	12.68311	0	0	0	0	0	3
280	41	0	0.538461538	-948.723517	-955.046519	-974.686945	-947.65395	12.9609269	0	0	0	0	0	3
285	42	0	0.548076923	-948.631111	-954.708906	-974.686945	-947.65395	13.2985394	0	0	0	0	0	3
290	43	0	0.557692308	-948.536765	-954.315499	-974.686945	-947.65395	13.6919472	0	0	0	0	0	3
295	44	0	0.567307692	-948.46826	-953.877536	-974.686945	-947.65395	14.1299098	0	0	0	0	0	3
300	44	0	0.576923077	-948.470885	-953.775524	-974.686945	-947.65395	14.2319221	0	0	0	0	0	3
305	46	0	0.586538462	-948.552715	-952.920786	-974.686945	-947.65395	15.0866595	0	0	0	0	0	3
310	47	0	0.596153846	-948.713591	-952.424318	-974.686945	-947.65395	15.5831276	0	0	0	0	0	3
315	48	0	0.605769231	-948.969909	-952.359141	-974.686945	-947.65395	15.6483052	0	0	0	0	0	3
320	49	0	0.615384615	-949.316804	-951.453809	-972.424461	-947.65395	16.5536366	0	0	0	0	0	3
325	49	0	0.625	-949.734677	-951.017467	-969.614578	-947.65395	16.9899786	0	0	0	0	0	3
