Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	-2.70387928	-2.70387928	-2.70387928	-2.70387928	0	0	0	0	0	0	3
5	2	0	0.00961538462	-3.3068859	-3.00538259	-3.3068859	-2.70387928	0.301503311	0	0	0	0	0	3
10	3	0	0.0192307692	-1.55672572	-2.52249696	-3.3068859	-1.55672572	0.482885624	0	0	0	0	0	3
15	3	0	0.0288461538	-0.370958193	-1.98461227	-3.3068859	-0.370958193	1.02077032	0	0	0	0	0	3
20	4	0	0.0384615385	-0.17831313	-1.62335244	-3.3068859	-0.17831313	1.38203014	0	0	0	0	0	3
25	5	0	0.0480769231	-0.0139612875	-1.35512058	-3.3068859	-0.0139612875	1.650262	0	0	0	0	0	3
30	6	0	0.0576923077	0.394837711	-1.10512654	-3.3068859	0.394837711	1.90025605	0	0	0	0	0	3
35	7	0	0.0673076923	0.779525645	-0.869545019	-3.3068859	0.779525645	2.13583757	0	0	0	0	0	3
40	8	0	0.0769230769	0.920911906	-0.67060536	-3.3068859	0.920911906	2.33477723	0	0	0	0	0	3
45	8	0	0.0865384615	1.21519396	-0.482025428	-3.3068859	1.21519396	2.52335716	0	0	0	0	0	3
50	9	0	0.0961538462	1.77383777	-0.276946956	-3.3068859	1.77383777	2.72843563	0	0	0	0	0	3
55	10	0	0.105769231	2.4833184	-0.0469248428	-3.3068859	2.4833184	2.95845775	0	0	0	0	0	3
60	11	0	0.115384615	2.6185588	0.15811236	-3.3068859	2.6185588	3.16349495	0	0	0	0	0	3
65	12	0	0.125	2.92378039	0.355660077	-3.3068859	2.92378039	3.36104267	0	0	0	0	0	3
70	12	0	0.134615385	3.31380047	0.552869437	-3.3068859	3.31380047	3.55825203	0	0	0	0	0	3
75	13	0	0.144230769	3.62446887	0.744844401	-3.3068859	3.62446887	3.75022699	0	0	0	0	0	3
80	14	0	0.153846154	3.71525869	0.919574654	-3.3068859	3.71525869	3.92495724	0	0	0	0	0	3
85	15	0	0.163461538	3.8044207	1.07984388	-3.3068859	3.8044207	4.08522647	0	0	0	0	0	3
90	15	0	0.173076923	3.78340295	1.22213646	-3.3068859	3.8044207	4.22751905	0	0	0	0	0	3
95	16	0	0.182692308	3.81780763	1.35192002	-3.3068859	3.81780763	4.35730261	0	0	0	0	0	3
100	17	0	0.192307692	3.75421121	1.46631484	-3.3068859	3.81780763	4.47169743	0	0	0	0	0	3
105	18	0	0.201923077	3.54948922	1.56100458	-3.3068859	3.81780763	4.56638717	0	0	0	0	0	3
110	19	0	0.211538462	3.31571309	1.63729626	-3.3068859	3.81780763	4.64267885	0	0	0	0	0	3
115	19	0	0.221153846	3.13504636	1.69970251	-3.3068859	3.81780763	4.7050851	0	0	0	0	0	3
120	20	0	0.230769231	3.05650836	1.75397474	-3.3068859	3.81780763	4.75935733	0	0	0	0	0	3
125	21	0	0.240384615	3.04802515	1.80374591	-3.3068859	3.81780763	4.8091285	0	0	0	0	0	3
130	22	0	0.25	3.13082131	1.85289685	-3.3068859	3.81780763	4.85827944	0	0	0	0	0	3
135	22	0	0.259615385	3.39921954	1.90812267	-3.3068859	3.81780763	4.91350525	0	0	0	0	0	3
140	23	0	0.269230769	3.67753706	1.96913695	-3.3068859	3.81780763	4.97451954	0	0	0	0	0	3
145	24	0	0.278846154	3.68424765	2.02630731	-3.3068859	3.81780763	5.0316899	0	0	0	0	0	3
150	25	0	0.288461538	3.76151749	2.08228183	-3.3068859	3.81780763	5.08766442	0	0	0	0	0	3
155	26	0	0.298076923	3.81232718	2.13634575	-3.3068859	3.81780763	5.14172834	0	0	0	0	0	3
160	27	0	0.307692308	3.93250316	2.19077476	-3.3068859	3.93250316	5.19615735	0	0	0	0	0	3
165	27	0	0.317307692	3.97410559	2.24322567	-3.3068859	3.97410559	5.24860826	0	0	0	0	0	3
170	28	0	0.326923077	3.97207873	2.29262147	-3.3068859	3.97410559	5.29800406	0	0	0	0	0	3
175	29	0	0.336538462	3.96417355	2.33905347	-3.3068859	3.97410559	5.34443606	0	0	0	0	0	3
180	30	0	0.346153846	3.84302652	2.37970139	-3.3068859	3.97410559	5.38508398	0	0	0	0	0	3
185	31	0	0.355769231	3.76040325	2.41603565	-3.3068859	3.97410559	5.42141824	0	0	0	0	0	3
190	32	0	0.365384615	3.64260317	2.4474861	-3.3068859	3.97410559	5.45286869	0	0	0	0	0	3
195	32	0	0.375	3.45279058	2.47261871	-3.3068859	3.97410559	5.4780013	0	0	0	0	0	3
200	33	0	0.384615385	3.27806396	2.49226372	-3.3068859	3.97410559	5.49764631	0	0	0	0	0	3
205	34	0	0.394230769	3.23552773	2.50996048	-3.3068859	3.97410559	5.51534307	0	0	0	0	0	3
210	35	0	0.403846154	3.15714664	2.52501132	-3.3068859	3.97410559	5.53039391	0	0	0	0	0	3
215	36	0	0.413461538	3.06043463	2.53718003	-3.3068859	3.97410559	5.54256262	0	0	0	0	0	3
220	37	0	0.423076923	3.04258804	2.54841132	-3.3068859	3.97410559	5.55379391	0	0	0	0	0	3
225	38	0	0.432692308	2.97095828	2.55759713	-3.3068859	3.97410559	5.56297972	0	0	0	0	0	3
230	38	0	0.442307692	2.91636601	2.56523051	-3.3068859	3.97410559	5.5706131	0	0	0	0	0	3
235	39	0	0.451923077	2.82392233	2.57061992	-3.3068859	3.97410559	5.57600251	0	0	0	0	0	3
240	40	0	0.461538462	2.85578952	2.57643971	-3.3068859	3.97410559	5.5818223	0	0	0	0	0	3
245	41	0	0.471153846	2.8629136	2.58216919	-3.3068859	3.97410559	5.58755177	0	0	0	0	0	3
250	42	0	0.480769231	2.87111382	2.58783477	-3.3068859	3.97410559	5.59321736	0	0	0	0	0	3
255	43	0	0.490384615	2.85760218	2.5930226	-3.3068859	3.97410559	5.59840519	0	0	0	0	0	3
260	44	0	0.5	2.80655977	2.59705161	-3.3068859	3.97410559	5.60243419	0	0	0	0	0	3
265	45	0	0.509615385	2.81884568	2.70125396	-3.3068859	3.97410559	5.70663655	0	0	0	0	0	3
270	46	0	0.519230769	2.75934505	2.89979647	-0.370958193	3.97410559	4.34506378	0	0	0	0	0	3
275	46	0	0.528846154	2.77980639	2.9603881	-0.17831313	3.97410559	4.15241872	0	0	0	0	0	3
280	47	0	0.538461538	2.78878902	3.01744776	-0.0139612875	3.97410559	3.98806687	0	0	0	0	0	3
285	48	0	0.548076923	2.74246565	3.07045597	0.394837711	3.97410559	3.57926787	0	0	0	0	0	3
290	49	0	0.557692308	2.7005129	3.11479588	0.779525645	3.97410559	3.19457994	0	0	0	0	0	3
295	50	0	0.567307692	2.66944439	3.15114047	0.920911906	3.97410559	3.05319368	0	0	0	0	0	3
300	50	0	0.576923077	2.63923978	3.14148196	0.920911906	3.97410559	3.05319368	0	0	0	0	0	3
305	52	0	0.586538462	2.54418894	3.20974283	1.77383777	3.97410559	2.20026782	0	0	0	0	0	3
