Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	158995.712	158995.712	158995.712	158995.712	0	0	0	0	0	0	3
5	1	0	0.00961538462	157903.786	158449.749	157903.786	158995.712	545.963011	0	0	0	0	0	3
10	1	0	0.0192307692	156609.721	157836.406	156609.721	158995.712	1159.30587	0	0	0	0	0	3
15	2	0	0.0288461538	155360.245	157217.366	155360.245	158995.712	1778.34629	0	0	0	0	0	3
20	2	0	0.0384615385	154332.61	156640.415	154332.61	158995.712	2355.29745	0	0	0	0	0	3
25	2	0	0.0480769231	153600.702	156133.796	153600.702	158995.712	2861.91629	0	0	0	0	0	3
30	2	0	0.0576923077	153171.938	155710.673	153171.938	158995.712	3285.0389	0	0	0	0	0	3
35	3	0	0.0673076923	153027.668	155375.298	153027.668	158995.712	3620.41459	0	0	0	0	0	3
40	3	0	0.0769230769	153097.54	155122.213	153027.668	158995.712	3873.4988	0	0	0	0	0	3
45	3	0	0.0865384615	153309.004	154940.892	153027.668	158995.712	4054.81976	0	0	0	0	0	3
50	3	0	0.0961538462	153597.623	154818.777	153027.668	158995.712	4176.93511	0	0	0	0	0	3
55	4	0	0.105769231	153885.054	154740.967	153027.668	158995.712	4254.74534	0	0	0	0	0	3
60	4	0	0.115384615	154100.113	154691.67	153027.668	158995.712	4304.04182	0	0	0	0	0	3
65	4	0	0.125	154189.254	154655.783	153027.668	158995.712	4339.92869	0	0	0	0	0	3
70	5	0	0.134615385	154103.06	154618.935	153027.668	158995.712	4376.77694	0	0	0	0	0	3
75	5	0	0.144230769	153800.383	154567.776	153027.668	158995.712	4427.93647	0	0	0	0	0	3
80	6	0	0.153846154	153289.287	154492.57	153027.668	158995.712	4503.14169	0	0	0	0	0	3
85	6	0	0.163461538	152605.87	154387.754	152605.87	158995.712	4607.9584	0	0	0	0	0	3
90	6	0	0.173076923	151791.623	154251.115	151791.623	158995.712	4744.59686	0	0	0	0	0	3
95	7	0	0.182692308	150901.734	154083.646	150901.734	158995.712	4912.06593	0	0	0	0	0	3
100	7	0	0.192307692	149997.858	153889.085	149997.858	158995.712	5106.62726	0	0	0	0	0	3
105	8	0	0.201923077	149135.329	153673.005	149135.329	158995.712	5322.70708	0	0	0	0	0	3
110	8	0	0.211538462	148349.221	153441.536	148349.221	158995.712	5554.17595	0	0	0	0	0	3
115	9	0	0.221153846	147662.32	153200.735	147662.32	158995.712	5794.97663	0	0	0	0	0	3
120	9	0	0.230769231	147088.094	152956.23	147088.094	158995.712	6039.48231	0	0	0	0	0	3
125	9	0	0.240384615	146626.996	152712.798	146626.996	158995.712	6282.91439	0	0	0	0	0	3
130	10	0	0.25	146267.725	152474.091	146267.725	158995.712	6521.62079	0	0	0	0	0	3
135	10	0	0.259615385	145994.052	152242.661	145994.052	158995.712	6753.05078	0	0	0	0	0	3
140	11	0	0.269230769	145787.201	152020.059	145787.201	158995.712	6975.65284	0	0	0	0	0	3
145	11	0	0.278846154	145625.573	151806.91	145625.573	158995.712	7188.80237	0	0	0	0	0	3
150	12	0	0.288461538	145491.708	151603.194	145491.708	158995.712	7392.51857	0	0	0	0	0	3
155	12	0	0.298076923	145371.754	151408.461	145371.754	158995.712	7587.25106	0	0	0	0	0	3
160	12	0	0.307692308	145262.92	151222.233	145262.92	158995.712	7773.47956	0	0	0	0	0	3
165	13	0	0.317307692	145161.689	151043.981	145161.689	158995.712	7951.73083	0	0	0	0	0	3
170	13	0	0.326923077	145067.092	150873.213	145067.092	158995.712	8122.4991	0	0	0	0	0	3
175	14	0	0.336538462	144978.636	150709.475	144978.636	158995.712	8286.23734	0	0	0	0	0	3
180	14	0	0.346153846	144894.221	150552.306	144894.221	158995.712	8443.40636	0	0	0	0	0	3
185	15	0	0.355769231	144813.181	150401.276	144813.181	158995.712	8594.43595	0	0	0	0	0	3
190	15	0	0.365384615	144731.158	150255.889	144731.158	158995.712	8739.82359	0	0	0	0	0	3
195	15	0	0.375	144648.729	150115.71	144648.729	158995.712	8880.00258	0	0	0	0	0	3
200	16	0	0.384615385	144565.89	149980.348	144565.89	158995.712	9015.36403	0	0	0	0	0	3
205	16	0	0.394230769	144483.135	149849.462	144483.135	158995.712	9146.25005	0	0	0	0	0	3
210	17	0	0.403846154	144403.308	149722.807	144403.308	158995.712	9272.90479	0	0	0	0	0	3
215	17	0	0.413461538	144326.491	149600.164	144326.491	158995.712	9395.54835	0	0	0	0	0	3
220	18	0	0.423076923	144250.193	149481.276	144250.193	158995.712	9514.43659	0	0	0	0	0	3
225	18	0	0.432692308	144177.596	149365.978	144177.596	158995.712	9629.73397	0	0	0	0	0	3
230	19	0	0.442307692	144106.354	149254.071	144106.354	158995.712	9741.64088	0	0	0	0	0	3
235	19	0	0.451923077	144035.842	149145.358	144035.842	158995.712	9850.35399	0	0	0	0	0	3
240	19	0	0.461538462	143966.931	149039.676	143966.931	158995.712	9956.03617	0	0	0	0	0	3
245	20	0	0.471153846	143900.23	148936.887	143900.23	158995.712	10058.8251	0	0	0	0	0	3
250	20	0	0.480769231	143834.653	148836.843	143834.653	158995.712	10158.8689	0	0	0	0	0	3
255	21	0	0.490384615	143770.768	148739.419	143770.768	158995.712	10256.2934	0	0	0	0	0	3
260	21	0	0.5	143706.931	148644.466	143706.931	158995.712	10351.246	0	0	0	0	0	3
265	22	0	0.509615385	143642.734	148354.787	143642.734	157903.786	10094.9618	0	0	0	0	0	3
270	22	0	0.519230769	143578.826	147920.559	143578.826	155360.245	9296.80727	0	0	0	0	0	3
275	22	0	0.528846154	143515.499	147692.775	143515.499	154332.61	8947.63968	0	0	0	0	0	3
280	23	0	0.538461538	143453.631	147483.564	143453.631	154189.254	8650.23198	0	0	0	0	0	3
285	23	0	0.548076923	143394.798	147287.296	143394.798	154189.254	8423.37674	0	0	0	0	0	3
290	24	0	0.557692308	143337.745	147098.177	143337.745	154189.254	8277.12014	0	0	0	0	0	3
295	24	0	0.567307692	143282.851	146910.777	143282.851	154189.254	8211.43625	0	0	0	0	0	3
300	24	0	0.576923077	143229.664	146841.322	143229.664	154189.254	8280.89122	0	0	0	0	0	3
305	25	0	0.586538462	143180.056	146526.223	143180.056	154189.254	8292.55423	0	0	0	0	0	3
310	25	0	0.596153846	143131.043	146324.942	143131.043	154189.254	8416.0244	0	0	0	0	0	3
