Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	966.184768	966.184768	966.184768	966.184768	0	0	0	0	0	0	3
5	1	0	0.00961538462	1000.14821	983.166488	966.184768	1000.14821	16.98172	0	0	0	0	0	3
10	1	0	0.0192307692	1026.56023	997.631068	966.184768	1026.56023	31.4462996	0	0	0	0	0	3
15	2	0	0.0288461538	1033.23993	1006.53328	966.184768	1033.23993	40.3485142	0	0	0	0	0	3
20	2	0	0.0384615385	1038.03969	1012.83456	966.184768	1038.03969	46.6497958	0	0	0	0	0	3
25	2	0	0.0480769231	1041.53077	1017.61726	966.184768	1041.53077	51.4324964	0	0	0	0	0	3
30	2	0	0.0576923077	1042.84079	1021.22063	966.184768	1042.84079	55.0358573	0	0	0	0	0	3
35	3	0	0.0673076923	1045.03903	1024.19793	966.184768	1045.03903	58.0131577	0	0	0	0	0	3
40	3	0	0.0769230769	1047.5273	1026.79008	966.184768	1047.5273	60.6053099	0	0	0	0	0	3
45	3	0	0.0865384615	1049.59933	1029.071	966.184768	1049.59933	62.8862351	0	0	0	0	0	3
50	3	0	0.0961538462	1050.91174	1031.05653	966.184768	1050.91174	64.8717568	0	0	0	0	0	3
55	4	0	0.105769231	1049.60847	1032.60252	966.184768	1050.91174	66.4177519	0	0	0	0	0	3
60	4	0	0.115384615	1045.24882	1033.57531	966.184768	1050.91174	67.3905446	0	0	0	0	0	3
65	4	0	0.125	1038.17424	1033.90381	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
70	5	0	0.134615385	1029.50826	1033.61077	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
75	5	0	0.144230769	1019.77418	1032.74598	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
80	6	0	0.153846154	1009.58608	1031.38364	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
85	6	0	0.163461538	999.48053	1029.61124	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
90	6	0	0.173076923	989.768354	1027.51425	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
95	7	0	0.182692308	980.356957	1025.15638	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
100	7	0	0.192307692	971.457318	1022.59929	966.184768	1050.91174	67.7190394	0	0	0	0	0	3
105	8	0	0.201923077	963.577566	1019.91648	963.577566	1050.91174	67.7190394	0	0	0	0	0	3
110	8	0	0.211538462	957.248134	1017.19177	957.248134	1050.91174	67.7190394	0	0	0	0	0	3
115	9	0	0.221153846	952.513233	1014.49683	952.513233	1050.91174	67.7190394	0	0	0	0	0	3
120	9	0	0.230769231	949.440836	1011.89459	949.440836	1050.91174	67.7190394	0	0	0	0	0	3
125	9	0	0.240384615	948.217032	1009.44545	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
130	10	0	0.25	948.826459	1007.20031	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
135	10	0	0.259615385	950.803135	1005.18612	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
140	11	0	0.269230769	953.170457	1003.39248	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
145	11	0	0.278846154	955.163458	1001.78484	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
150	12	0	0.288461538	956.60685	1000.32749	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
155	12	0	0.298076923	957.407792	998.986248	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
160	12	0	0.307692308	957.736479	997.736255	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
165	13	0	0.317307692	957.781733	996.561122	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
170	13	0	0.326923077	957.715257	995.45124	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
175	14	0	0.336538462	957.576666	994.399169	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
180	14	0	0.346153846	957.369514	993.398367	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
185	15	0	0.355769231	957.048505	992.441792	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
190	15	0	0.365384615	956.715587	991.525736	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
195	15	0	0.375	956.538638	990.651058	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
200	16	0	0.384615385	956.550681	989.819342	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
205	16	0	0.394230769	956.738915	989.031712	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
210	17	0	0.403846154	957.121684	988.289619	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
215	17	0	0.413461538	957.804009	987.596764	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
220	18	0	0.423076923	958.767222	986.956107	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
225	18	0	0.432692308	959.992072	986.369933	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
230	19	0	0.442307692	961.342791	985.83744	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
235	19	0	0.451923077	962.693646	985.355278	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
240	19	0	0.461538462	963.963272	984.918706	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
245	20	0	0.471153846	965.062614	984.521585	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
250	20	0	0.480769231	965.924009	984.156926	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
255	21	0	0.490384615	966.503987	983.817447	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
260	21	0	0.5	966.808409	983.496521	948.217032	1050.91174	67.7190394	0	0	0	0	0	3
265	22	0	0.509615385	966.945061	983.510867	948.217032	1050.91174	50.7373194	0	0	0	0	0	3
270	22	0	0.519230769	967.101624	982.047483	948.217032	1050.91174	51.8563246	0	0	0	0	0	3
275	22	0	0.528846154	967.378585	980.780919	948.217032	1050.91174	53.1228888	0	0	0	0	0	3
280	23	0	0.538461538	967.777026	979.429714	948.217032	1050.91174	54.4740939	0	0	0	0	0	3
285	23	0	0.548076923	968.303493	978.021497	948.217032	1050.91174	55.8823107	0	0	0	0	0	3
290	24	0	0.557692308	968.938466	976.600298	948.217032	1050.91174	57.3035093	0	0	0	0	0	3
295	24	0	0.567307692	969.649546	975.150501	948.217032	1050.91174	58.753307	0	0	0	0	0	3
300	24	0	0.576923077	970.393963	975.060755	948.217032	1050.91174	58.843053	0	0	0	0	0	3
305	25	0	0.586538462	971.145031	972.158431	948.217032	1050.91174	61.7453769	0	0	0	0	0	3
310	25	0	0.596153846	971.859471	970.638195	948.217032	1049.60847	63.2656128	0	0	0	0	0	3
315	26	0	0.605769231	972.524345	970.673782	948.217032	1049.60847	63.2656128	0	0	0	0	0	3
320	26	0	0.615384615	973.14184	967.769135	948.217032	1038.17424	66.1346726	0	0	0	0	0	3
325	27	0	0.625	973.721872	966.529666	948.217032	1029.50826	67.081105	0	0	0	0	0	3
330	27	0	0.634615385	974.279504	965.467575	948.217032	1019.77418	67.2784098	0	0	0	0	0	3
335	27	0	0.644230769	974.822235	964.603114	948.217032	1009.58608	61.3690456	0	0	0	0	0	3
340	28	0	0.653846154	975.356243	963.944848	948.217032	999.48053	51.2634979	0	0	0	0	0	3
345	28	0	0.663461538	975.88137	963.491018	948.217032	989.768354	41.5513214	0	0	0	0	0	3
350	28	0	0.673076923	976.402305	963.233979	948.217032	980.356957	32.1399245	0	0	0	0	0	3
355	29	0	0.682692308	976.917394	963.167833	948.217032	976.917394	28.7003613	0	0	0	0	0	3
360	29	0	0.692307692	977.428915	963.282672	948.217032	977.428915	29.2118833	0	0	0	0	0	3
365	30	0	0.701923077	977.934406	963.55912	948.217032	977.934406	29.7173738	0	0	0	0	0	3
370	30	0	0.711538462	978.431913	963.966145	948.217032	978.431913	30.214881	0	0	0	0	0	3
375	30	0	0.721153846	978.923021	964.474026	948.217032	978.923021	30.7059888	0	0	0	0	0	3
380	31	0	0.730769231	979.415033	964.755932	948.217032	979.415033	31.198001	0	0	0	0	0	3
385	31	0	0.740384615	979.918697	965.6601	948.826459	979.918697	31.0922389	0	0	0	0	0	3
390	31	0	0.75	980.39539	966.267195	950.803135	980.39539	29.5922553	0	0	0	0	0	3
395	32	0	0.759615385	980.862411	966.542576	950.803135	980.862411	30.0592762	0	0	0	0	0	3
400	32	0	0.769230769	981.342539	967.387029	955.163458	981.342539	26.1790809	0	0	0	0	0	3
405	33	0	0.778846154	981.839003	967.90002	956.538638	981.839003	25.3003651	0	0	0	0	0	3
410	33	0	0.788461538	982.362991	968.39533	956.538638	982.362991	25.824353	0	0	0	0	0	3
