Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	809.131637	809.131637	809.131637	809.131637	0	0	0	0	0	0	3
5	1	0	0.00961538462	536.37129	672.751464	536.37129	809.131637	136.380174	0	0	0	0	0	3
10	2	0	0.0192307692	531.826409	625.776445	531.826409	809.131637	183.355192	0	0	0	0	0	3
15	2	0	0.0288461538	519.796678	599.281503	519.796678	809.131637	209.850134	0	0	0	0	0	3
20	3	0	0.0384615385	517.461333	582.917469	517.461333	809.131637	226.214168	0	0	0	0	0	3
25	3	0	0.0480769231	511.296409	570.980626	511.296409	809.131637	238.151011	0	0	0	0	0	3
30	4	0	0.0576923077	500.310242	560.884857	500.310242	809.131637	248.24678	0	0	0	0	0	3
35	4	0	0.0673076923	486.753406	551.618425	486.753406	809.131637	257.513212	0	0	0	0	0	3
40	4	0	0.0769230769	471.967617	542.768336	471.967617	809.131637	266.363302	0	0	0	0	0	3
45	5	0	0.0865384615	455.160483	534.00755	455.160483	809.131637	275.124087	0	0	0	0	0	3
50	5	0	0.0961538462	446.104886	526.016399	446.104886	809.131637	283.115238	0	0	0	0	0	3
55	6	0	0.105769231	435.087872	518.439022	435.087872	809.131637	290.692616	0	0	0	0	0	3
60	6	0	0.115384615	423.426031	511.13033	423.426031	809.131637	298.001307	0	0	0	0	0	3
65	7	0	0.125	413.010864	504.121797	413.010864	809.131637	305.00984	0	0	0	0	0	3
70	7	0	0.134615385	404.234231	497.462626	404.234231	809.131637	311.669012	0	0	0	0	0	3
75	7	0	0.144230769	395.610276	491.096854	395.610276	809.131637	318.034783	0	0	0	0	0	3
80	8	0	0.153846154	388.841316	485.081822	388.841316	809.131637	324.049815	0	0	0	0	0	3
85	8	0	0.163461538	379.993146	479.243562	379.993146	809.131637	329.888075	0	0	0	0	0	3
90	9	0	0.173076923	373.396975	473.672689	373.396975	809.131637	335.458948	0	0	0	0	0	3
95	9	0	0.182692308	368.253146	468.401712	368.253146	809.131637	340.729925	0	0	0	0	0	3
100	10	0	0.192307692	365.193529	463.487037	365.193529	809.131637	345.6446	0	0	0	0	0	3
105	10	0	0.201923077	360.81446	458.820102	360.81446	809.131637	350.311536	0	0	0	0	0	3
110	11	0	0.211538462	359.266224	454.491672	359.266224	809.131637	354.639965	0	0	0	0	0	3
115	11	0	0.221153846	357.102004	450.433769	357.102004	809.131637	358.697868	0	0	0	0	0	3
120	11	0	0.230769231	354.831096	446.609662	354.831096	809.131637	362.521975	0	0	0	0	0	3
125	12	0	0.240384615	352.25602	442.980676	352.25602	809.131637	366.150961	0	0	0	0	0	3
130	12	0	0.25	350.419903	439.552499	350.419903	809.131637	369.579138	0	0	0	0	0	3
135	13	0	0.259615385	347.471328	436.263886	347.471328	809.131637	372.867751	0	0	0	0	0	3
140	13	0	0.269230769	344.56105	433.101719	344.56105	809.131637	376.029918	0	0	0	0	0	3
145	13	0	0.278846154	342.253826	430.073456	342.253826	809.131637	379.058181	0	0	0	0	0	3
150	14	0	0.288461538	339.895063	427.164476	339.895063	809.131637	381.967162	0	0	0	0	0	3
155	14	0	0.298076923	337.796661	424.371732	337.796661	809.131637	384.759906	0	0	0	0	0	3
160	15	0	0.307692308	336.603528	421.712089	336.603528	809.131637	387.419548	0	0	0	0	0	3
165	15	0	0.317307692	334.390961	419.143821	334.390961	809.131637	389.987817	0	0	0	0	0	3
170	16	0	0.326923077	332.848511	416.67824	332.848511	809.131637	392.453397	0	0	0	0	0	3
175	16	0	0.336538462	331.342756	414.30781	331.342756	809.131637	394.823827	0	0	0	0	0	3
180	17	0	0.346153846	330.011032	412.029519	330.011032	809.131637	397.102118	0	0	0	0	0	3
185	17	0	0.355769231	328.491196	409.831142	328.491196	809.131637	399.300495	0	0	0	0	0	3
190	17	0	0.365384615	327.168236	407.71158	327.168236	809.131637	401.420057	0	0	0	0	0	3
195	18	0	0.375	325.480722	405.655809	325.480722	809.131637	403.475829	0	0	0	0	0	3
200	18	0	0.384615385	324.149021	403.667838	324.149021	809.131637	405.463799	0	0	0	0	0	3
205	19	0	0.394230769	323.132349	401.750327	323.132349	809.131637	407.381311	0	0	0	0	0	3
210	19	0	0.403846154	322.169959	399.89962	322.169959	809.131637	409.232017	0	0	0	0	0	3
215	20	0	0.413461538	320.975345	398.105887	320.975345	809.131637	411.02575	0	0	0	0	0	3
220	20	0	0.423076923	320.172693	396.374038	320.172693	809.131637	412.757599	0	0	0	0	0	3
225	20	0	0.432692308	319.089348	394.693936	319.089348	809.131637	414.437701	0	0	0	0	0	3
230	21	0	0.442307692	318.509586	393.072993	318.509586	809.131637	416.058645	0	0	0	0	0	3
235	21	0	0.451923077	318.25949	391.514378	318.25949	809.131637	417.617259	0	0	0	0	0	3
240	21	0	0.461538462	316.664631	389.986832	316.664631	809.131637	419.144805	0	0	0	0	0	3
245	22	0	0.471153846	315.731363	388.501723	315.731363	809.131637	420.629915	0	0	0	0	0	3
250	22	0	0.480769231	315.386344	387.068088	315.386344	809.131637	422.063549	0	0	0	0	0	3
255	23	0	0.490384615	313.489519	385.653115	313.489519	809.131637	423.478522	0	0	0	0	0	3
260	23	0	0.5	312.896629	384.280351	312.896629	809.131637	424.851286	0	0	0	0	0	3
265	23	0	0.509615385	311.901549	374.898652	311.901549	536.37129	224.469741	0	0	0	0	0	3
270	24	0	0.519230769	310.35912	367.534422	310.35912	519.796678	209.437557	0	0	0	0	0	3
275	24	0	0.528846154	309.533469	363.490899	309.533469	517.461333	207.927864	0	0	0	0	0	3
280	24	0	0.538461538	309.23253	359.486499	309.23253	511.296409	202.063879	0	0	0	0	0	3
285	25	0	0.548076923	307.522626	355.567772	307.522626	500.310242	192.787617	0	0	0	0	0	3
290	25	0	0.557692308	307.515909	351.860189	307.515909	486.753406	179.237497	0	0	0	0	0	3
295	26	0	0.567307692	306.830937	348.400142	306.830937	471.967617	165.13668	0	0	0	0	0	3
300	26	0	0.576923077	306.437477	347.608393	306.437477	471.967617	165.530139	0	0	0	0	0	3
305	27	0	0.586538462	306.694073	342.361746	306.437477	446.104886	139.667408	0	0	0	0	0	3
310	27	0	0.596153846	306.395991	339.675037	306.395991	435.087872	128.691881	0	0	0	0	0	3
315	27	0	0.605769231	305.883568	339.037462	305.883568	435.087872	129.204304	0	0	0	0	0	3
320	28	0	0.615384615	305.332673	334.919313	305.332673	413.010864	107.678191	0	0	0	0	0	3
325	28	0	0.625	305.057046	332.843278	305.057046	404.234231	99.1771845	0	0	0	0	0	3
330	28	0	0.634615385	304.813459	330.93134	304.813459	395.610276	90.7968165	0	0	0	0	0	3
335	29	0	0.644230769	304.407361	329.177438	304.407361	388.841316	84.4339553	0	0	0	0	0	3
340	29	0	0.653846154	304.223044	327.550163	304.223044	379.993146	75.7701025	0	0	0	0	0	3
345	30	0	0.663461538	304.034031	326.089411	304.034031	373.396975	69.3629438	0	0	0	0	0	3
350	30	0	0.673076923	303.552024	324.746239	303.552024	368.253146	64.7011221	0	0	0	0	0	3
355	31	0	0.682692308	303.607537	323.503054	303.552024	365.193529	61.641506	0	0	0	0	0	3
360	31	0	0.692307692	303.441106	322.315507	303.441106	360.81446	57.3733542	0	0	0	0	0	3
365	31	0	0.701923077	303.105239	321.953049	303.105239	360.81446	57.7092205	0	0	0	0	0	3
370	32	0	0.711538462	302.885488	320.12147	302.885488	357.102004	54.2165161	0	0	0	0	0	3
375	32	0	0.721153846	302.876322	319.078668	302.876322	354.831096	51.9547746	0	0	0	0	0	3
380	33	0	0.730769231	302.765909	318.77088	302.765909	354.831096	52.0651875	0	0	0	0	0	3
385	33	0	0.740384615	302.670493	317.123847	302.670493	350.419903	47.7494101	0	0	0	0	0	3
390	34	0	0.75	302.483755	316.201998	302.483755	347.471328	44.9875725	0	0	0	0	0	3
395	34	0	0.759615385	302.180338	315.937438	302.180338	347.471328	45.2909898	0	0	0	0	0	3
400	34	0	0.769230769	302.224288	314.516849	302.180338	342.253826	40.0734886	0	0	0	0	0	3
405	35	0	0.778846154	302.119917	313.745043	302.119917	339.895063	37.7751465	0	0	0	0	0	3
410	36	0	0.788461538	301.705319	313.010625	301.705319	337.796661	36.0913416	0	0	0	0	0	3
415	36	0	0.798076923	301.532063	312.313228	301.532063	336.603528	35.0714647	0	0	0	0	0	3
420	36	0	0.807692308	301.410885	311.636447	301.410885	334.390961	32.9800759	0	0	0	0	0	3
425	37	0	0.817307692	301.396876	311.001945	301.396876	332.848511	31.4516349	0	0	0	0	0	3
430	37	0	0.826923077	301.044254	310.814064	301.044254	332.848511	31.8042565	0	0	0	0	0	3
