Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00192307692	-112.408242	-112.408242	-112.408242	-112.408242	0	0	0	0	0	0	3
5	1	0	0.00961538462	-353.769966	-233.089104	-353.769966	-112.408242	120.680862	0	0	0	0	0	3
10	2	0	0.0192307692	-481.764926	-315.981044	-481.764926	-112.408242	203.572802	0	0	0	0	0	3
15	2	0	0.0288461538	-496.212879	-361.039003	-496.212879	-112.408242	248.630761	0	0	0	0	0	3
20	3	0	0.0384615385	-483.633635	-385.557929	-496.212879	-112.408242	273.149687	0	0	0	0	0	3
25	3	0	0.0480769231	-465.700102	-398.914958	-496.212879	-112.408242	286.506716	0	0	0	0	0	3
30	4	0	0.0576923077	-435.44414	-404.133413	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
35	4	0	0.0673076923	-397.959006	-403.361612	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
40	4	0	0.0769230769	-360.710825	-398.622635	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
45	5	0	0.0865384615	-329.316336	-391.692006	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
50	5	0	0.0961538462	-304.511436	-383.766499	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
55	6	0	0.105769231	-283.004835	-375.369694	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
60	6	0	0.115384615	-263.246844	-366.744859	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
65	7	0	0.125	-246.918702	-358.185848	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
70	7	0	0.134615385	-233.969509	-349.904759	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
75	7	0	0.144230769	-223.423524	-341.999682	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
80	8	0	0.153846154	-213.707269	-334.453069	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
85	8	0	0.163461538	-204.255084	-327.219848	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
90	9	0	0.173076923	-195.513545	-320.287937	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
95	9	0	0.182692308	-188.091692	-313.678125	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
100	10	0	0.192307692	-181.367733	-307.37763	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
105	10	0	0.201923077	-174.540232	-301.339566	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
110	11	0	0.211538462	-167.545155	-295.522418	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
115	11	0	0.221153846	-160.49373	-289.896223	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
120	11	0	0.230769231	-153.460225	-284.438783	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
125	12	0	0.240384615	-145.76955	-279.105351	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
130	12	0	0.25	-137.272724	-273.852291	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
135	13	0	0.259615385	-128.304203	-268.654145	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
140	13	0	0.269230769	-119.558727	-263.512923	-496.212879	-112.408242	291.72517	0	0	0	0	0	3
145	13	0	0.278846154	-111.651326	-258.45087	-496.212879	-111.651326	291.72517	0	0	0	0	0	3
150	14	0	0.288461538	-105.021465	-253.501534	-496.212879	-105.021465	291.72517	0	0	0	0	0	3
155	14	0	0.298076923	-99.7652479	-248.697275	-496.212879	-99.7652479	291.72517	0	0	0	0	0	3
160	15	0	0.307692308	-95.5628557	-244.056838	-496.212879	-95.5628557	291.72517	0	0	0	0	0	3
165	15	0	0.317307692	-91.9110777	-239.581963	-496.212879	-91.9110777	291.72517	0	0	0	0	0	3
170	16	0	0.326923077	-88.6919446	-235.27082	-496.212879	-88.6919446	291.72517	0	0	0	0	0	3
175	16	0	0.336538462	-86.0525911	-231.125869	-496.212879	-86.0525911	291.72517	0	0	0	0	0	3
180	17	0	0.346153846	-84.1492094	-227.153527	-496.212879	-84.1492094	291.72517	0	0	0	0	0	3
185	17	0	0.355769231	-82.9427106	-223.358505	-496.212879	-82.9427106	291.72517	0	0	0	0	0	3
190	17	0	0.365384615	-82.4763859	-219.746143	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
195	18	0	0.375	-82.7125118	-216.320303	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
200	18	0	0.384615385	-83.5850821	-213.082858	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
205	19	0	0.394230769	-84.8570092	-210.029862	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
210	19	0	0.403846154	-86.2883882	-207.152153	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
215	20	0	0.413461538	-87.7407862	-204.438258	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
220	20	0	0.423076923	-89.1959576	-201.877318	-496.212879	-82.4763859	291.72517	0	0	0	0	0	3
