Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00192307692	4.24642868	4.24642868	4.24642868	4.24642868	0	0	0	0	0	0	3
5	1	0	0.00961538462	3.85406128	4.05024498	3.85406128	4.24642868	0.196183704	0	0	0	0	0	3
10	1	0	0.0192307692	3.46184524	3.85411173	3.46184524	4.24642868	0.392316952	0	0	0	0	0	3
15	1	0	0.0288461538	3.17361012	3.68398633	3.17361012	4.24642868	0.562442356	0	0	0	0	0	3
20	2	0	0.0384615385	3.00459825	3.54810871	3.00459825	4.24642868	0.698319972	0	0	0	0	0	3
25	2	0	0.0480769231	2.97054985	3.4518489	2.97054985	4.24642868	0.794579783	0	0	0	0	0	3
30	2	0	0.0576923077	2.70349538	3.34494126	2.70349538	4.24642868	0.901487428	0	0	0	0	0	3
35	2	0	0.0673076923	2.60317235	3.25222014	2.60317235	4.24642868	0.994208541	0	0	0	0	0	3
40	3	0	0.0769230769	2.54084616	3.17317859	2.54084616	4.24642868	1.07325009	0	0	0	0	0	3
45	3	0	0.0865384615	2.41399609	3.09726034	2.41399609	4.24642868	1.14916834	0	0	0	0	0	3
50	3	0	0.0961538462	2.29154887	3.02401384	2.29154887	4.24642868	1.22241484	0	0	0	0	0	3
55	4	0	0.105769231	2.29412076	2.96318942	2.29154887	4.24642868	1.28323926	0	0	0	0	0	3
60	4	0	0.115384615	2.22307819	2.90625779	2.22307819	4.24642868	1.3401709	0	0	0	0	0	3
65	4	0	0.125	2.061017	2.84588344	2.061017	4.24642868	1.40054524	0	0	0	0	0	3
70	5	0	0.134615385	1.99153658	2.78892699	1.99153658	4.24642868	1.4575017	0	0	0	0	0	3
75	5	0	0.144230769	1.92226345	2.73476052	1.92226345	4.24642868	1.51166817	0	0	0	0	0	3
80	5	0	0.153846154	1.88908789	2.68501507	1.88908789	4.24642868	1.56141362	0	0	0	0	0	3
