Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00192307692	19.8534517	19.8534517	19.8534517	19.8534517	0	0	0	0	0	0	3
5	1	0	0.00961538462	30.0938906	24.9736712	19.8534517	30.0938906	5.12021949	0	0	0	0	0	3
10	1	0	0.0192307692	36.0445045	28.6639489	19.8534517	36.0445045	8.81049729	0	0	0	0	0	3
15	1	0	0.0288461538	38.3583763	31.0875558	19.8534517	38.3583763	11.2341041	0	0	0	0	0	3
20	2	0	0.0384615385	38.8444238	32.6389294	19.8534517	38.8444238	12.7854777	0	0	0	0	0	3
25	2	0	0.0480769231	38.6581942	33.6421402	19.8534517	38.8444238	13.7886885	0	0	0	0	0	3
30	2	0	0.0576923077	38.285604	34.3054922	19.8534517	38.8444238	14.4520405	0	0	0	0	0	3
35	2	0	0.0673076923	37.8151788	34.744203	19.8534517	38.8444238	14.8907513	0	0	0	0	0	3
40	3	0	0.0769230769	37.1788656	35.0147211	19.8534517	38.8444238	15.1612694	0	0	0	0	0	3
45	3	0	0.0865384615	36.3508784	35.1483368	19.8534517	38.8444238	15.2948851	0	0	0	0	0	3
50	3	0	0.0961538462	35.2663469	35.159065	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
55	4	0	0.105769231	33.895076	35.0537326	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
60	4	0	0.115384615	32.2755065	34.8400229	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
65	4	0	0.125	30.5409918	34.5329492	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
70	5	0	0.134615385	28.7209224	34.1454808	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
75	5	0	0.144230769	26.892152	33.6921477	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
80	5	0	0.153846154	25.1850953	33.1917329	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
85	5	0	0.163461538	23.6654907	32.6624972	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
90	6	0	0.173076923	22.3749641	32.1210481	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
95	6	0	0.182692308	21.281265	31.5790589	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
100	6	0	0.192307692	20.4248438	31.0479058	19.8534517	38.8444238	15.3056133	0	0	0	0	0	3
105	7	0	0.201923077	19.8018171	30.53672	19.8018171	38.8444238	15.3056133	0	0	0	0	0	3
110	7	0	0.211538462	19.4040443	30.0526906	19.4040443	38.8444238	15.3056133	0	0	0	0	0	3
115	8	0	0.221153846	19.2128582	29.6010309	19.2128582	38.8444238	15.3056133	0	0	0	0	0	3
120	8	0	0.230769231	19.1856442	29.1844154	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
125	8	0	0.240384615	19.2899392	28.8038587	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
130	9	0	0.25	19.510071	28.4596443	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
135	9	0	0.259615385	19.8268738	28.1513311	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
140	10	0	0.269230769	20.2172303	27.8777414	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
145	10	0	0.278846154	20.6453205	27.6366607	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
150	10	0	0.288461538	21.081038	27.425189	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
155	11	0	0.298076923	21.503248	27.2401283	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
160	11	0	0.307692308	21.8957792	27.0781784	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
165	12	0	0.317307692	22.2356506	26.9357511	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
170	12	0	0.326923077	22.5008605	26.8090399	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
175	12	0	0.336538462	22.6607233	26.6938089	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
180	13	0	0.346153846	22.7070961	26.5860599	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
185	13	0	0.355769231	22.6650419	26.4828752	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
190	14	0	0.365384615	22.5485877	26.3819961	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
195	14	0	0.375	22.369274	26.281678	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
200	14	0	0.384615385	22.1333387	26.180499	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
205	15	0	0.394230769	21.8658248	26.0777687	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
210	15	0	0.403846154	21.5808341	25.9731888	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
215	16	0	0.413461538	21.2947273	25.8668601	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
220	16	0	0.423076923	21.0122677	25.7589803	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
225	16	0	0.432692308	20.7392788	25.6498563	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
230	17	0	0.442307692	20.4768499	25.5397924	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
235	17	0	0.451923077	20.2245679	25.4290585	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
240	18	0	0.461538462	19.9863889	25.3179836	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
245	18	0	0.471153846	19.7624897	25.2068738	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
250	18	0	0.480769231	19.5530235	25.096014	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
255	19	0	0.490384615	19.3616303	24.9857373	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
260	19	0	0.5	19.1929863	24.8764402	19.1856442	38.8444238	15.3056133	0	0	0	0	0	3
265	20	0	0.509615385	19.0534448	24.8613457	19.0534448	38.8444238	10.2977193	0	0	0	0	0	3
