"force_y-rfile"
"Iteration" "force_y"
("Iteration" "force_y")
1 1001.99169993218
2 509.9693085404049
3 203.788650385318
4 28.64466693990201
5 -13.19278895806858
6 -45.86364987513976
7 -72.56372105835871
8 -61.22125705207573
9 -44.22192022972344
10 -37.1663201075926
11 -21.79669351324844
12 -11.24941904035393
13 -6.943532850281002
14 3.970830267697963
15 7.877617570999575
16 9.842364666386359
17 12.01574695956064
18 11.42625358921575
19 9.458680306906984
20 8.869135676216985
21 7.098442051464474
22 5.830798054216601
23 0.6200707513827552
24 5.263430929965168
25 10.48566632565522
26 10.91142332400354
27 13.1492701087018
28 12.18296005234694
29 10.66007983084073
30 6.778231013281555
31 3.433483442339735
32 3.583655359610816
33 1.456207396483933
34 0.6028766377402377
35 1.390968222201892
36 -2.368496593443368
37 -1.091497544297027
38 -4.293345616623924
39 -4.784757607828325
40 -7.053597261481244
41 -7.454925289207409
42 -8.320088871254001
43 -9.612189415562895
44 -12.26228223847772
45 -10.851419004973
46 -13.06725714121833
47 -12.72634551043622
48 -15.05619758581253
49 -16.52583204223454
50 -16.11724281715306
51 -18.02640629869882
52 -18.095240876289
53 -18.79956038110972
54 -20.40103523014699
55 -19.06635083834504
56 -18.6719622308387
57 -15.16020795499087
58 -16.43466893903896
59 -15.82861291200808
60 -14.82921920789377
61 -17.4453828969298
62 -15.75913098243011
63 -16.95624857265551
64 -18.95988716534777
65 -20.14391756505049
66 -19.90629759025492
67 -18.65882858601599
68 -14.38131090843021
69 -12.74022401422688
70 -9.824308103807979
71 -12.8012093308877
72 -9.006859465453999
73 -7.589246765192229
74 -10.51988004792071
75 -13.44958388222938
76 -17.70709131350141
77 -15.46284150136567
78 -12.00331992401431
79 -14.91548666930946
80 -18.40215440979117
81 -21.22203915554287
82 -21.05881482423094
83 -22.13781161893711
84 -22.17826015349593
85 -21.11760293800858
86 -20.7860170166082
87 -20.8248367461059
88 -23.54824318546714
89 -21.62109359788608
90 -21.20404721009329
91 -21.17385869809019
92 -20.33928881523566
93 -20.32448162095012
94 -24.33884606431565
95 -25.98292643655365
96 -27.94349433412035
97 -26.77637392031262
98 -24.77640918108995
99 -22.34042143831753
100 -21.20593151994952
