"force_z-rfile"
"Iteration" "force_z"
("Iteration" "force_z")
1 -159.9516326934145
2 -51.76990554347701
3 -43.10757228441096
4 -33.36143239959229
5 -25.46142737047427
6 -19.95884425687545
7 -16.61807978083625
8 -15.65332580077195
9 -14.83907778627099
10 -14.66348155872486
11 -14.81151574364819
12 -14.76657219180932
13 -14.58993960877599
14 -14.50847218160736
15 -14.53107191821069
16 -14.37971417477728
17 -14.18583114261172
18 -13.82222555627396
19 -13.80961080829744
20 -13.78254459637684
21 -13.74492400975276
22 -13.98568247218073
23 -14.26237666696131
24 -14.56249151710794
25 -14.64675781199988
26 -15.20340575852725
27 -15.3288807754143
28 -15.68651835233817
29 -15.91701511016756
30 -15.97528708970775
31 -15.97047511147964
32 -15.95992188920915
33 -16.15283250698367
34 -16.13095871349658
35 -15.97436216571665
36 -15.81787903444059
37 -15.68329102343546
38 -15.75943270948226
39 -15.60327771662091
40 -15.5277304016737
41 -15.35231000448699
42 -15.52353042425862
43 -15.46645242351957
44 -15.18354846465593
45 -15.2384425241689
46 -15.52122813560064
47 -15.82057917907523
48 -15.84753786516473
49 -15.62192488031678
50 -15.43875844433929
51 -15.26537330877814
52 -15.27846587214817
53 -15.14714108143465
54 -15.19831341805051
55 -15.07055473995035
56 -14.94932128057779
57 -14.96639893697974
58 -15.05389552115603
59 -15.20146221071446
60 -15.09845064159725
61 -15.04504066399897
62 -15.2958920382918
63 -15.27142196774546
64 -15.31144348857037
65 -15.33111387981035
66 -15.42794897515561
67 -15.37002772437751
68 -15.21221320422135
69 -15.12645505139974
70 -15.1538643284486
71 -15.12701275530683
72 -15.11631716999944
73 -15.17874385034893
74 -15.00670401214561
75 -14.94001722680581
76 -15.07560999643731
77 -15.14195761989861
78 -15.23343019363396
79 -15.25478594689507
80 -15.10055063338677
81 -15.08485457301858
82 -15.2026079043986
83 -15.62261982365401
84 -15.77501992809286
85 -15.82072782155232
86 -15.73313918276633
87 -15.60181027669744
88 -15.71420513050985
89 -15.72670692046169
90 -15.77139697921552
91 -15.79058946009279
92 -15.85895800163298
93 -16.03289146025298
94 -16.27675071830945
95 -16.36819751454268
96 -16.30066684921223
97 -16.18796134669574
98 -16.27270571389574
99 -16.29859739615657
100 -16.42649458326973
