"force_y-rfile"
"Iteration" "force_y"
("Iteration" "force_y")
1 256.3398
2 142.6135
3 65.08591
4 14.00083
5 5.839736
6 -6.741491
7 -14.11552
8 -14.54131
9 -18.56301
10 -20.62584
11 -19.68348
12 -16.09055
13 -12.75079
14 -10.49082
15 -10.49333
16 -10.70005
17 -11.449
18 -11.69929
19 -11.76294
20 -10.97285
21 -11.0333
22 -10.69306
23 -10.05524
24 -9.498979
25 -9.360191
26 -8.032156
27 -6.919622
28 -6.112307
29 -4.952026
30 -1.307599
31 -2.324961
32 -2.380263
33 -2.585223
34 -1.698102
35 -2.608982
36 -2.12527
37 -3.40087
38 -4.055838
39 -4.97339
40 -6.695366
41 -8.024161
42 -8.252706
43 -9.38072
44 -9.432042
45 -10.01906
46 -10.23352
47 -10.46253
48 -10.19621
49 -10.81572
50 -10.96588
51 -11.75069
52 -12.23224
53 -12.04326
54 -11.38904
55 -10.846
56 -10.43598
57 -11.16886
58 -12.0532
59 -12.51345
60 -12.12298
61 -12.90095
62 -13.59269
63 -13.91809
64 -14.78536
65 -14.98629
66 -15.29595
67 -14.79822
68 -14.72727
69 -14.29105
70 -13.56402
