"force_z-rfile"
"Iteration" "force_z"
("Iteration" "force_z")
1 -40.53219
2 -13.93017
3 -11.73105
4 -9.436657
5 -7.271461
6 -5.536774
7 -4.682288
8 -4.671164
9 -5.401034
10 -6.130268
11 -6.38641
12 -6.260784
13 -6.104705
14 -5.81924
15 -5.459377
16 -5.040555
17 -4.639431
18 -4.22689
19 -3.902087
20 -3.653273
21 -3.534343
22 -3.513054
23 -3.538834
24 -3.585007
25 -3.643727
26 -3.70802
27 -3.78628
28 -3.924471
29 -4.192538
30 -4.420424
31 -4.452441
32 -4.427605
33 -4.314425
34 -4.245049
35 -4.276861
36 -4.295583
37 -4.275941
38 -4.270342
39 -4.281136
40 -4.255876
41 -4.30213
42 -4.308445
43 -4.342693
44 -4.320682
45 -4.288082
46 -4.215722
47 -4.154285
48 -4.148695
49 -4.211879
50 -4.264181
51 -4.206426
52 -4.090825
53 -4.010321
54 -4.037871
55 -4.094246
56 -4.087855
57 -4.009001
58 -3.918807
59 -3.85597
60 -3.874615
61 -3.953398
62 -4.080092
63 -4.128765
64 -4.168714
65 -4.100823
66 -4.083644
67 -4.08757
68 -4.141913
69 -4.130452
70 -4.145936
