nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,pressure-coefficient,dynamic-pressure,absolute-pressure,  total-pressure,rel-total-pressure,         density,     density-all,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity,  axial-velocity, radial-velocity,tangential-velocity,rel-velocity-magnitude,relative-x-velocity,relative-y-velocity,relative-z-velocity,rel-axial-velocity,rel-radial-velocity,rel-tangential-velocity, mesh-x-velocity, mesh-y-velocity, mesh-z-velocity,  velocity-angle,relative-velocity-angle,   vorticity-mag,        helicity,     x-vorticity,     y-vorticity,     z-vorticity,cell-reynolds-number,cell-convective-courant-number,     q-criterion, raw-q-criterion,lambda2-criterion,turb-kinetic-energy,  turb-intensity,  turb-diss-rate,specific-diss-rate, production-of-k,  viscosity-turb,   viscosity-eff, viscosity-ratio,          y-star,          y-plus,turb-reynolds-number-rey,   viscosity-lam,      wall-shear,    x-wall-shear,    y-wall-shear,    z-wall-shear,skin-friction-coef,cell-partition-active,cell-partition-stored,         cell-id,cell-element-type,       cell-type,       cell-zone,partition-neighbors,     cell-weight,    x-coordinate,    y-coordinate,    z-coordinate,axial-coordinate,angular-coordinate,abs-angular-coordinate,radial-coordinate,face-area-magnitude,     x-face-area,     y-face-area,     z-face-area,     cell-volume,orthogonal-quality,cell-equiangle-skew,cell-equivolume-skew, face-handedness,mark-poor-elements,interface-overlap-fraction,cell-wall-distance,    aspect-ratio,cell-refine-level,smoothed-cell-refine-level,cell-parent-index,anisotropic-adaption-cells,boundary-layer-cells,boundary-cell-dist,boundary-normal-dist,boundary-volume-dist,cell-volume-change,  mass-imbalance, strain-rate-mag,  dx-velocity-dx,  dy-velocity-dx,  dz-velocity-dx,  dx-velocity-dy,  dy-velocity-dy,  dz-velocity-dy,  dx-velocity-dz,  dy-velocity-dz,  dz-velocity-dz,           dp-dx,           dp-dy,           dp-dz,pressure-hessian-indicator
         1,-4.349500686E-02,-1.317988243E-02,-7.000000030E-02, 5.935462570E+01, 2.728104553E+02, 1.613779688E+04, 1.013843594E+05, 1.630489355E+04, 1.630489355E+04, 1.225000143E+00, 1.225000143E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.071123123E+00,-3.071123123E+00, 4.510496094E+04, 3.113350391E+04,-3.864655859E+04,-2.132524805E+04, 9.280900391E+03, 7.073933411E+01, 2.702458000E+01,-3.975732160E+08,-3.975732160E+08, 1.053793680E+08, 7.016323242E+02, 2.065593338E+01, 1.862831200E+07, 4.478817188E+05, 8.638231000E+06, 2.424191218E-03, 2.442084951E-03, 1.354750671E+02, 3.506705322E+02, 2.561446838E+02, 6.023544922E+02, 1.789400085E-05, 1.417690887E+02,-2.317079544E+01,-1.510644627E+01,-1.390445404E+02, 2.314597321E+02, 1.000000000E+00, 1.000000000E+00, 6.083300391E+04, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 3.000000238E+00, 1.000000000E+00,-4.349500686E-02,-1.317988243E-02,-7.000000030E-02,-7.000000030E-02, 1.865021944E+00, 1.865021944E+00, 4.544804618E-02, 1.337964477E-06,-2.255539471E-07,-4.207755353E-07,-3.357783669E-07, 6.557674403E-10, 6.244035363E-01, 3.475074768E-01, 3.755964935E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.478027938E-04, 5.284220219E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000347853E+00, 7.577300072E-01, 1.903390512E-08, 5.319402734E+04, 1.432787109E+04, 2.123131104E+03, 2.054531836E+04,-7.157769043E+03,-5.248480957E+03,-3.972797656E+04,-7.799298096E+02,-1.081414917E+03, 1.188509961E+04, 2.753801250E+05,-2.619480156E+05, 8.710163281E+04, 1.635238647E+01
         2, 4.349500686E-02,-1.317988243E-02,-7.000000030E-02, 4.227691650E+01, 1.057498169E+02, 1.280894043E+04, 1.013672813E+05, 1.287371289E+04, 1.287371289E+04, 1.225000143E+00, 1.225000143E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.079782724E+00, 3.079782724E+00, 2.715192578E+04,-2.092063086E+04,-2.374301953E+04, 1.128427734E+04,-4.703609375E+03, 5.941854095E+01, 2.221409607E+01,-1.644177760E+08,-1.644177760E+08, 6.435945600E+07, 5.554934082E+02, 2.001083183E+01, 1.613798200E+07, 4.141405625E+05, 4.842900000E+06, 2.677234821E-03, 2.695129020E-03, 1.496163483E+02, 2.506302338E+02, 1.936571045E+02, 7.575886841E+02, 1.789400267E-05, 1.211937256E+02, 2.327614212E+01,-1.517512512E+01,-1.179654922E+02, 1.978673096E+02, 2.000000000E+00, 2.000000000E+00, 6.080542578E+04, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 2.000000000E+00, 1.000000000E+00, 4.349500686E-02,-1.317988243E-02,-7.000000030E-02,-7.000000030E-02,-1.865021944E+00, 1.865021944E+00, 4.544804618E-02, 1.263309855E-06, 2.824979219E-07,-3.709976681E-07,-2.960556742E-07, 5.649495871E-10, 6.889054179E-01, 3.682551086E-01, 3.110945821E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.491810978E-04, 5.010564804E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000316143E+00, 1.000112772E+00, 1.483504874E-08, 3.609058203E+04,-9.526607422E+03,-9.905046997E+02,-1.202929004E+04, 3.713104980E+03,-1.547397217E+03,-2.429472852E+04,-7.450124512E+02,-5.517062378E+02, 1.808426392E+03,-1.763842500E+05,-1.543916875E+05, 5.088182813E+04, 5.035947323E+00
         3,-4.209043831E-02,-1.226415951E-02,-7.000000030E-02, 1.618229485E+01, 7.797683716E+00, 1.820920508E+04, 1.013411875E+05, 1.821398047E+04, 1.821398047E+04, 1.225000143E+00, 1.225000143E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.072794676E+00,-3.072794676E+00, 5.050007031E+04,-4.436452734E+04,-4.227287500E+04,-6.856364746E+03, 7.171131836E+03, 6.068701172E+01, 2.589992523E+01,-1.664233920E+08,-1.664234080E+08, 3.726388400E+07, 9.034229126E+02, 2.340437126E+01, 2.229073000E+07, 4.722484063E+05, 1.231360800E+07, 3.689105622E-03, 3.707000054E-03, 2.061643829E+02, 3.842499084E+02, 2.785780029E+02, 8.573093872E+02, 1.789400085E-05, 1.593547363E+02,-2.283308792E+01,-1.460573673E+01,-1.569647369E+02, 2.601709900E+02, 1.000000000E+00, 1.000000000E+00, 6.083181250E+04, 2.000000000E+00, 1.000000000E+00, 3.000000000E+00, 3.000000000E+00, 1.000000000E+00,-4.209043831E-02,-1.226415951E-02,-7.000000030E-02,-7.000000030E-02, 1.854322910E+00, 1.854322910E+00, 4.384078830E-02, 1.331776616E-06, 3.824143846E-07,-5.982103062E-07,-6.221473541E-07, 6.804605213E-10, 6.805912852E-01, 3.290504217E-01, 3.194087446E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.212583590E-04, 5.047560215E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000367522E+00, 1.041590929E+00, 4.819070298E-08, 5.386551563E+04, 6.205894531E+03, 3.094816406E+03, 6.722263672E+03,-4.076315918E+03,-3.063399658E+03,-4.308027734E+04,-1.341010132E+02,-8.074011841E+02, 7.788898438E+03, 2.127296094E+05,-6.370733984E+04,-1.423440039E+04, 9.732222557E+00
         4, 4.209043831E-02,-1.226415951E-02,-7.000000030E-02, 3.981703949E+01, 6.167498779E+01, 1.511731738E+04, 1.013648047E+05, 1.515509277E+04, 1.515509277E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.083086491E+00, 3.083086491E+00, 4.003017188E+04, 3.618006250E+04,-2.756155273E+04, 2.989347168E+03,-4.343387207E+03, 5.852720261E+01, 2.486314583E+01,-1.818842720E+08,-1.818842400E+08, 5.243572400E+07, 7.190702515E+02, 2.205161667E+01, 1.972855800E+07, 5.139745313E+05, 7.584374500E+06, 3.627557773E-03, 3.645451972E-03, 2.027247925E+02, 2.564649048E+02, 1.974626312E+02, 9.777373657E+02, 1.789400085E-05, 1.386509705E+02, 2.358020782E+01,-1.514876652E+01,-1.357579193E+02, 2.263688965E+02, 2.000000000E+00, 2.000000000E+00, 6.426520313E+04, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 2.000000000E+00, 1.000000000E+00, 4.209043831E-02,-1.226415951E-02,-7.000000030E-02,-7.000000030E-02,-1.854322910E+00, 1.854322910E+00, 4.384078830E-02, 1.345828309E-06,-4.211840974E-07,-6.598310165E-07,-5.625080917E-07, 5.203539266E-10, 6.837096810E-01, 3.741993904E-01, 3.162902892E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.056135706E-04, 5.054434776E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000287056E+00, 1.215946674E+00,-6.567080213E-10, 4.714329297E+04,-1.152533936E+03,-2.196669922E+03,-3.206273682E+03, 2.146717041E+03,-1.522693481E+03,-2.793358398E+04,-2.169263000E+02,-3.720359497E+02, 7.195323730E+03,-8.441603906E+04,-3.185278320E+04, 1.149883125E+05, 3.404143810E+00
         5,-4.066659510E-02,-1.137869805E-02,-7.000000030E-02, 2.772276306E+02, 5.462475586E+02, 2.618539648E+04, 1.016022422E+05, 2.651997266E+04, 2.651997266E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.093527317E+00,-3.093527317E+00, 4.868837109E+04, 1.584647344E+05,-2.872135742E+04, 3.975273193E+03, 1.994401123E+03, 6.396654510E+01, 3.209927368E+01,-1.842868000E+08,-1.842868000E+08, 5.846474400E+07, 8.553068848E+02, 2.380260277E+01, 2.069437400E+07, 4.402968438E+05, 1.464507700E+07, 4.091534298E-03, 4.109427799E-03, 2.286539459E+02, 4.058942261E+02, 3.316631165E+02, 1.276524902E+03, 1.789400085E-05, 1.928589020E+02,-1.751237679E+01,-1.089305592E+01,-1.916659088E+02, 3.148716736E+02, 1.000000000E+00, 1.000000000E+00, 6.472625000E+04, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 3.000000238E+00, 1.000000000E+00,-4.066659510E-02,-1.137869805E-02,-7.000000030E-02,-7.000000030E-02, 1.843623757E+00, 1.843623757E+00, 4.222850502E-02, 1.444824420E-06, 3.701186131E-07,-6.090176612E-07,-7.316479582E-07, 7.189607243E-10, 7.872558832E-01, 2.830806077E-01, 2.127442211E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.094776909E-04, 4.264742374E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000369549E+00, 1.178401232E+00, 1.494226076E-08, 5.241671094E+04, 1.663860474E+03, 3.341297119E+03,-4.840666016E+03, 1.346895874E+03,-8.977216797E+02,-2.958528125E+04,-8.653922119E+02,-8.639177856E+02, 1.112926636E+03, 2.727810938E+05,-2.158928750E+05, 3.530752188E+05, 5.395705700E+00
         6, 4.066659510E-02,-1.137869805E-02,-7.000000030E-02, 1.074647522E+02, 1.655081635E+02, 2.037837695E+04, 1.014324766E+05, 2.047975195E+04, 2.047975195E+04, 1.225000143E+00, 1.225000143E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.092732430E+00, 3.092732430E+00, 4.968441016E+04,-8.228269531E+04,-3.511356641E+04,-5.658862915E+02,-3.046776123E+03, 6.203433990E+01, 3.301625061E+01,-2.298720800E+08,-2.298720480E+08, 6.381560800E+07, 8.390286255E+02, 2.336279869E+01, 2.147551200E+07, 5.223257188E+05, 1.147353200E+07, 4.082204308E-03, 4.100098740E-03, 2.281325531E+02, 2.791838989E+02, 2.264074554E+02, 1.162493408E+03, 1.789400267E-05, 1.694863892E+02, 2.115685272E+01,-1.305897903E+01,-1.675889740E+02, 2.767124634E+02, 2.000000000E+00, 2.000000000E+00, 5.761851172E+04, 2.000000000E+00, 1.000000000E+00, 3.000000238E+00, 2.000000000E+00, 1.000000000E+00, 4.066659510E-02,-1.137869805E-02,-7.000000030E-02,-7.000000030E-02,-1.843623757E+00, 1.843623757E+00, 4.222850502E-02, 1.375203965E-06,-3.585010120E-07,-5.909167839E-07,-6.833047905E-07, 4.838142664E-10, 7.464840412E-01, 3.517249227E-01, 2.535160482E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.529180053E-04, 4.643276215E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000265479E+00, 1.225795865E+00,-1.586796805E-09, 5.574206641E+04, 1.794788696E+03,-2.911159424E+03, 2.639857788E+02, 1.356167603E+02,-2.485494690E+02,-3.599299219E+04,-3.019003906E+02,-8.794263916E+02, 8.518199219E+03,-2.678762500E+05,-1.954625781E+05, 2.009993125E+05, 4.086198807E+00
         7,-3.922413662E-02,-1.052390598E-02,-7.000000030E-02, 3.015187988E+02, 4.463831482E+02, 3.360379297E+04, 1.016265234E+05, 3.387720313E+04, 3.387720313E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.111448526E+00,-3.111448526E+00, 5.224341016E+04,-1.520653125E+05,-3.050041211E+04,-1.200799707E+04, 1.966408325E+03, 7.309509277E+01, 3.908478546E+01,-1.286616880E+08,-1.286617360E+08, 2.461917600E+07, 7.481624146E+02, 2.275368881E+01, 1.744280400E+07, 4.215863750E+05, 1.437449900E+07, 4.259527195E-03, 4.277420696E-03, 2.380421753E+02, 3.829956970E+02, 3.482448120E+02, 1.217313843E+03, 1.789399903E-05, 2.076811829E+02,-9.003387451E+00,-5.468412399E+00,-2.073794098E+02, 3.390712891E+02, 1.000000000E+00, 1.000000000E+00, 1.721117344E+05, 2.000000000E+00, 1.000000000E+00, 2.999999762E+00, 2.999999762E+00, 1.000000000E+00,-3.922413662E-02,-1.052390598E-02,-7.000000030E-02,-7.000000030E-02, 1.832924604E+00, 1.832924604E+00, 4.061139748E-02, 1.501541988E-06, 3.493919394E-07,-6.037460594E-07,-8.034039070E-07, 7.041115468E-10, 8.034427166E-01, 2.850488126E-01, 1.965572536E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.036954583E-04, 4.132081985E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000338554E+00, 1.153655291E+00, 4.261348252E-08, 5.473460547E+04, 3.637361572E+03, 3.741063965E+03, 1.137561133E+04, 1.774656006E+03, 3.904591370E+02,-3.161968359E+04,-6.323834229E+02,-1.119266968E+03, 2.972982666E+03, 4.138696484E+04,-4.596183438E+05, 2.870669688E+05, 6.492877960E+00
         8, 3.922413662E-02,-1.052390598E-02,-7.000000030E-02, 1.594020996E+02, 4.163640747E+02, 2.695625977E+04, 1.014844063E+05, 2.721128125E+04, 2.721128125E+04, 1.225000024E+00, 1.225000024E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.108505964E+00, 3.108505964E+00, 5.037589063E+04,-1.968252969E+05,-3.681758984E+04, 3.097993652E+03,-1.967603882E+03, 6.127177811E+01, 4.190832520E+01,-8.889350400E+07,-8.889350400E+07, 3.200221000E+07, 9.012246704E+02, 2.411111259E+01, 2.024109600E+07, 4.817641875E+05, 1.251595500E+07, 5.204800051E-03, 5.222694017E-03, 2.908684387E+02, 3.362862244E+02, 2.860075378E+02, 1.362666748E+03, 1.789400085E-05, 1.943267059E+02, 1.618496513E+01,-9.668803215E+00,-1.933768463E+02, 3.172680664E+02, 2.000000000E+00, 2.000000000E+00, 6.172461328E+04, 2.000000000E+00, 1.000000000E+00, 3.000000000E+00, 2.000000000E+00, 1.000000000E+00, 3.922413662E-02,-1.052390598E-02,-7.000000030E-02,-7.000000030E-02,-1.832924604E+00, 1.832924604E+00, 4.061139748E-02, 1.522570642E-06,-3.373229447E-07,-5.832570196E-07,-8.477879305E-07, 5.750093734E-10, 7.033575177E-01, 3.440322876E-01, 2.949708700E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.198510528E-04, 4.684202671E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000293970E+00, 1.178536654E+00,-3.795515013E-09, 5.299942969E+04, 1.890491211E+03,-2.705003418E+03,-3.007734619E+03,-7.373996582E+02, 2.034727173E+02,-3.726610547E+04, 9.025794983E+01,-4.485133057E+02, 4.333671875E+03,-3.491617813E+05,-1.856024063E+05, 2.154878906E+05, 5.099061489E+00
         9,-3.776371479E-02,-9.700172581E-03,-7.000000030E-02, 1.720897522E+02, 3.037160339E+02, 4.140282031E+04, 1.014970859E+05, 4.158884375E+04, 4.158884375E+04, 1.224999905E+00, 1.224999905E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.129921436E+00,-3.129921436E+00, 5.642661719E+04,-4.596111250E+05,-4.852550000E+04,-1.377679395E+04, 3.041200439E+03, 8.564329529E+01, 4.395979309E+01,-6.466116800E+07,-6.466111200E+07, 5.389263750E+05, 6.246540527E+02, 2.081445503E+01, 1.390237300E+07, 3.828699688E+05, 1.510440500E+07, 3.648718353E-03, 3.666612087E-03, 2.039073334E+02, 3.975853882E+02, 3.848631287E+02, 9.846586914E+02, 1.789400085E-05, 2.173967133E+02,-3.660320044E+00,-2.286587000E+00,-2.173466339E+02, 3.549334106E+02, 1.000000000E+00, 1.000000000E+00, 1.622110938E+05, 2.000000000E+00, 1.000000000E+00, 2.999999762E+00, 2.999999762E+00, 1.000000000E+00,-3.776371479E-02,-9.700172581E-03,-7.000000030E-02,-7.000000030E-02, 1.822225571E+00, 1.822225571E+00, 3.898963332E-02, 1.352378035E-06, 3.041317882E-07,-5.529469149E-07,-7.206340342E-07, 6.604352065E-10, 8.154597282E-01, 2.370769829E-01, 1.705077738E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.510539049E-04, 4.247245312E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000336051E+00, 1.289047956E+00, 4.912331519E-08, 5.782224609E+04, 1.355608887E+03, 3.269076904E+03, 1.336653516E+04, 2.278764954E+02, 2.712163086E+02,-4.896285156E+04,-4.102583008E+02,-4.373539124E+02, 3.120489014E+03,-5.209636719E+04,-1.307817656E+05, 1.833113594E+05, 4.851317883E+00
        10, 3.776371479E-02,-9.700172581E-03,-7.000000030E-02, 1.108405151E+02, 3.597483826E+02, 3.471821484E+04, 1.014358359E+05, 3.493855859E+04, 3.493855859E+04, 1.224999905E+00, 1.224999905E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.123109818E+00, 3.123109818E+00, 5.460792188E+04,-3.210148242E+04,-4.576156641E+04, 1.007484082E+04,-1.456946655E+03, 7.096320343E+01, 4.459242249E+01,-3.880278800E+07,-3.880287600E+07, 7.228417000E+06, 8.728361816E+02, 2.381735229E+01, 2.086114800E+07, 4.712315000E+05, 1.575985700E+07, 4.775290377E-03, 4.793183878E-03, 2.668654480E+02, 3.718571472E+02, 3.256930847E+02, 1.176937134E+03, 1.789400085E-05, 2.245091553E+02, 9.282160759E+00,-5.409169197E+00,-2.241988068E+02, 3.665455322E+02, 2.000000000E+00, 2.000000000E+00, 6.452024609E+04, 2.000000000E+00, 1.000000000E+00, 2.999999762E+00, 2.000000000E+00, 1.000000000E+00, 3.776371479E-02,-9.700172581E-03,-7.000000030E-02,-7.000000030E-02,-1.822225571E+00, 1.822225571E+00, 3.898963332E-02, 1.298713642E-06,-2.980935392E-07,-5.419687454E-07,-6.795122545E-07, 5.588458585E-10, 8.012046814E-01, 2.594898641E-01, 1.872966439E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.589034990E-04, 4.082326889E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.000000000E+00, 0.000000000E+00, 1.000327826E+00, 1.134116411E+00,-7.332188190E-09, 5.584226563E+04, 2.944145996E+03,-2.251451172E+03,-9.520749023E+03,-7.945043945E+02,-8.645256958E+02,-4.574158984E+04, 5.540913086E+02, 1.997613335E+01, 2.887797119E+03, 7.458861719E+04,-1.276854922E+05, 3.426682500E+05, 3.466732264E+00
