"force_x-rfile"
"Iteration" "force_x"
("Iteration" "force_x")
1 224.5713
2 62.83197
3 -41.42723
4 12.25188
5 21.92239
6 12.91677
7 15.06702
8 7.190887
9 2.40704
10 0.8041039
11 -0.5248871
12 -2.038273
13 0.1231041
14 -1.054016
15 0.1318588
16 -2.140827
17 -1.878265
18 -2.353981
19 -2.698467
20 -3.609982
21 -4.414734
22 -6.067123
23 -8.830833
24 -8.995735
25 -8.086346
26 -8.888008
27 -7.37252
28 -4.639114
29 -3.192524
30 -2.273129
31 2.966713
32 7.577896
33 4.778259
34 4.2332
35 2.213673
36 2.515102
37 3.099651
38 2.570343
39 2.962204
40 4.219372
41 4.37986
42 1.601025
43 -1.48333
44 -4.76754
45 -3.681965
46 -4.510204
47 -4.763115
48 -6.880188
49 -6.5019
50 -7.562737
