"force_y-rfile"
"Iteration" "force_y"
("Iteration" "force_y")
1 1027.978
2 582.0331
3 252.3515
4 41.66542
5 20.76813
6 -29.41361
7 -57.05007
8 -49.2817
9 -37.50296
10 -28.71607
11 -16.57583
12 -2.94775
13 5.304827
14 12.19815
15 19.33881
16 19.47698
17 22.69134
18 23.03801
19 25.33667
20 20.50924
21 20.67266
22 19.67046
23 17.71388
24 13.42964
25 15.39139
26 17.21601
27 17.97183
28 17.20593
29 17.56827
30 15.02258
31 15.09392
32 14.69834
33 4.574032
34 2.070148
35 -2.651148
36 -7.873459
37 -13.79015
38 -18.13282
39 -19.66747
40 -19.95253
41 -20.88135
42 -19.90636
43 -20.09599
44 -20.85087
45 -20.38033
46 -16.43506
47 -14.96688
48 -13.23037
49 -17.44764
50 -17.12744
