"force_z-rfile"
"Iteration" "force_z"
("Iteration" "force_z")
1 -159.8728
2 -51.45126
3 -42.73208
4 -33.04005
5 -25.15443
6 -18.85223
7 -15.92412
8 -15.14078
9 -14.83988
10 -14.86872
11 -15.12433
12 -15.20505
13 -15.31868
14 -15.56721
15 -15.75542
16 -15.63194
17 -15.37968
18 -15.33659
19 -15.2963
20 -15.26835
21 -15.32622
22 -15.27472
23 -15.45095
24 -15.52408
25 -15.59752
26 -15.51265
27 -15.62499
28 -16.05392
29 -16.10443
30 -16.2679
31 -16.34949
32 -16.20032
33 -16.08906
34 -16.0628
35 -16.18209
36 -15.97709
37 -15.84295
38 -15.59235
39 -15.26756
40 -15.36019
41 -15.32839
42 -15.4811
43 -15.30862
44 -14.97661
45 -15.04883
46 -15.28484
47 -15.25559
48 -14.9701
49 -14.48526
50 -14.26592
