"shear-stress-rfile"
"Iteration" "shear-stress"
("Iteration" "shear-stress")
1 168.0074
2 237.4253
3 278.4602
4 315.0314
5 347.5288
6 374.777
7 398.7924
8 420.1925
9 439.6991
10 457.4536
11 472.907
12 487.0518
13 499.55
14 510.2862
15 521.1104
16 530.0214
17 537.4688
18 545.0782
19 551.4945
20 558.1486
21 563.1309
22 569.2996
23 574.9987
24 579.1539
25 583.394
26 589.0217
27 593.6823
28 598.6277
29 602.1283
30 606.4648
31 607.2705
32 609.4595
33 610.248
34 611.0555
35 609.9976
36 609.8954
37 609.6021
38 609.7509
39 610.3044
40 609.6328
41 609.1888
42 609.1155
43 610.3075
44 612.3231
45 613.2146
46 614.5441
47 616.4424
48 617.5966
49 618.6317
50 619.552
