"stress-rfile"
"Iteration" "stress"
("Iteration" "stress")
1 3147628.401786716
2 1007968.939120806
3 363951.2138012878
4 46865.7742188405
5 -121518.3098685482
6 -184863.6560433139
7 -206604.208931226
8 -211932.153344635
9 -200255.0114021825
10 -170941.0101587872
11 -132692.0788064452
12 -96687.70605948924
13 -71645.86322865647
14 -53599.22938089747
15 -42254.62462147061
16 -36371.73299571482
17 -34192.39880127338
18 -34048.06866815449
19 -34661.99630459768
20 -35498.51672771075
21 -36023.9738874233
22 -36273.58752393389
23 -36418.43245362942
24 -36471.49246485657
25 -36430.95584843664
26 -36341.50763144182
27 -36252.0256366204
28 -36158.38512945949
29 -36079.28029658965
30 -36009.46958565015
31 -35947.09371722597
32 -35893.79677806662
33 -35845.34758106441
34 -35804.74186515606
35 -35767.599783774
36 -35736.58964418835
37 -35707.57646630624
38 -35682.97645909493
39 -35660.39481014566
40 -35641.81249131366
41 -35624.77016548182
42 -35609.69145097319
43 -35596.14833827302
44 -35583.98146871786
45 -35572.86493080304
46 -35562.97614534669
