"shear-stress-rfile"
"Iteration" "shear-stress"
("Iteration" "shear-stress")
1 61.56789
2 85.1097
3 100.0356
4 111.1918
5 119.5172
6 125.3263
7 129.6674
8 133.1189
9 136.0615
10 138.4688
11 140.7187
12 142.6249
13 144.1806
14 145.3612
15 146.574
16 147.796
17 148.6657
18 149.7317
19 150.5214
20 151.2723
21 152.145
22 153.0164
23 153.9738
24 154.7418
25 155.6355
26 156.5691
27 157.4889
28 158.2294
29 159.21
30 159.9317
31 160.5018
32 161.071
33 161.7621
34 161.4149
35 161.3647
36 161.2859
37 161.4431
38 161.372
39 161.1081
40 161.0878
41 161.0889
42 161.0429
43 161.1488
44 161.2402
45 161.1511
46 161.4384
47 161.5117
48 161.6587
49 162.0125
50 162.3628
51 162.6133
52 162.726
53 162.899
54 162.8683
55 162.9431
56 162.7441
57 162.8671
58 162.9114
59 163.0273
60 163.0367
61 163.1786
62 163.1254
63 163.15
64 163.3656
65 163.4873
66 163.4742
67 163.5862
68 163.5038
69 163.2894
70 163.2614
