"skinfriction-rfile"
"Iteration" "skinfriction"
("Iteration" "skinfriction")
1 0.002173648
2 0.002609508
3 0.002807276
4 0.002933155
5 0.002977604
6 0.003015494
7 0.003045201
8 0.003062404
9 0.00307809
10 0.003094819
11 0.003110357
12 0.003130276
13 0.003144832
14 0.003154182
15 0.003161788
16 0.003171337
17 0.003178566
18 0.003180641
19 0.003188538
20 0.0031911
21 0.003195044
22 0.003202096
23 0.003210663
24 0.0032192
25 0.003226179
26 0.003238739
27 0.003248756
28 0.003259297
29 0.003268666
30 0.003280407
31 0.003288363
32 0.003290694
33 0.003291055
34 0.003294903
35 0.003285974
36 0.003284327
37 0.003278482
38 0.003279401
39 0.003273948
40 0.003268717
41 0.003267127
42 0.003265385
43 0.00326365
44 0.003264977
45 0.003264889
46 0.003265183
47 0.003272221
48 0.003274809
49 0.003279386
50 0.00328623
51 0.003291023
52 0.0032947
53 0.003295985
54 0.003299074
55 0.003300316
56 0.003303475
57 0.003302653
58 0.003306579
59 0.00330772
60 0.003309175
61 0.00330767
62 0.003310864
63 0.003311971
64 0.003311693
65 0.003314844
66 0.003315893
67 0.003314598
68 0.003312064
69 0.003310445
70 0.00330702
