"force-on-tab-rfile"
"Iteration" "force-on-tab"
("Iteration" "force-on-tab")
1 0.03756702366371856
2 0.02957997871860994
3 0.02080513378210902
4 0.01332030280204369
5 0.007934486819392994
6 0.00402390364566059
7 0.001961074459427959
8 0.0004467729342089129
9 -0.0002678135404597419
10 -0.0005789182617031564
11 -0.0006757698720399349
12 -0.0007047553404691141
13 -0.000701554394722043
14 -0.0006793728235537294
15 -0.0006557311135173016
16 -0.0006408589572898702
17 -0.0006410321548218938
18 -0.0006490939619559656
19 -0.0006577042139652468
20 -0.0006658884318131146
21 -0.0006753165328078686
22 -0.000685705649002979
