,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Design Point 1,Design Point 2,Design Point 3,Design Point 4,Design Point 5,Design Point 6,Design Point 7,Design Point 8,Design Point 9,Design Point 10,Design Point 11,Design Point 12,Design Point 13,Design Point 14,Design Point 15,Design Point 16,Design Point 17,Design Point 18,Design Point 19,Design Point 20,Design Point 21,Design Point 22,Design Point 23,Design Point 24,Design Point 25,Design Point 26,Design Point 27,Design Point 28,Design Point 29,Design Point 30,Design Point 31,Design Point 32,Design Point 33,Design Point 34,Design Point 35,Design Point 36,Design Point 37,Design Point 38,Design Point 39,Design Point 40,Design Point 41,Design Point 42,Design Point 43,Design Point 44,Design Point 45,Design Point 46,Design Point 47,Design Point 48,Design Point 49,Design Point 50,Design Point 51,Design Point 52,Design Point 53,Design Point 54,Design Point 55,Design Point 56,Design Point 57,Design Point 58,Design Point 59,Design Point 60,Design Point 61,Design Point 62,Design Point 63,Design Point 64,Design Point 65,Design Point 66,Design Point 67,Design Point 68,Design Point 69,Design Point 70,Design Point 71,Design Point 72,Design Point 73,Design Point 74,Design Point 75,Design Point 76,Design Point 77,Design Point 78,Design Point 79,Design Point 80,Design Point 81,Design Point 82,Design Point 83,Design Point 84,Design Point 85,Design Point 86,Design Point 87,Design Point 88,Design Point 89,Design Point 90,Design Point 91,Design Point 92,Design Point 93,Design Point 94,Design Point 95,Design Point 96,Design Point 97,Design Point 98,Design Point 99
,Velocity in Y direction (Initial and Ambient Conditions) [m/s],-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20,-60,-55,-50,-45,-40,-35,-30,-25,-20
,D1@Angle1@Fin Tabs Assembly.Assembly [rad],"2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,97159265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","2,98859265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,00559265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,02259265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,03959265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,05659265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,07359265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,09059265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,10759265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,12459265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265","3,14159265"
,GG Force 1 [N],"14,4054791166314","12,1287358970711","10,0245642341789","8,10116393374274","6,42430602704229","4,93413556335611","3,62036062941292","2,52830185558816","1,62230468098978","14,4528855330118","12,1098519154618","10,0248113055497","8,1187060005721","6,43069002256962","4,92283661516333","3,62909014548722","2,52824688826128","1,62188030392946","14,3993419400615","12,1012174471519","10,0278905147795","8,1229339932147","6,43426491387244","4,91998480608486","3,62183097628236","2,52020828412217","1,6186767855664","14,4686655182304","12,1247904748975","10,0128578548515","8,11497716538221","6,42768880351695","4,92965488129532","3,62450101610243","2,51792397669106","1,62006792829124","14,4022226224648","12,186305745378","10,026916230092","8,12013703733011","6,40660783748091","4,91748932166343","3,6215432625193","2,51884004500776","1,61553886440418","14,4308621821997","12,083319575818","10,0156980661539","8,12073255963734","6,41874325833589","4,91869682576186","3,62219441396521","2,52209684518174","1,62074011683596","14,4058613777297","12,094290956724","10,0320524591846","8,09465433658725","6,42053302989435","4,90930833337274","3,61569422579249","2,52173826968882","1,62265648397372","14,3912278497728","12,1143966701056","9,98519346109434","8,08670396507571","6,40361031786404","4,91656378197456","3,60507528697381","2,51105106945201","1,61765382400993","14,3975807612564","12,054559284635","9,9744834362311","8,08724649152955","6,40739275022823","4,90376966389673","3,59780686291019","2,50904923464091","1,61260892990319","14,3511877023892","12,0478996181589","10,0040343326704","8,07094379974647","6,37280833478117","4,89869493404122","3,60370712034392","2,51144958032744","1,61824354900845","14,4136180168182","12,1794437313257","10,079648955807","8,16852354730998","6,45781140269438","4,93400503238093","3,64324525801557","2,53252815057454","1,62811613231605"
,GG Force (X) 2 [N],"0,110510364103552","-0,00747601545104965","-0,0367953894868887","0,00581556757944172","0,0362913029332193","0,0104122826423114","0,0483426041522838","0,00386262391819501","-0,0026463989044717","0,283491967757796","0,248264757992219","0,0947181097240639","0,040738279665781","-0,0277129086635542","0,0397671155195839","0,0229232016428882","0,00628253770533671","0,00614762778991786","0,16102568892127","0,096947039453141","0,0398794668592156","0,0665292318995374","0,0327905891891602","0,0237094890531146","0,0327537890880806","0,0283884849302253","0,0430283734864504","-0,0597419067093734","-0,0179763978027047","-0,0182695187571395","0,00841119416610275","0,0376624998665238","0,0376839620870667","-0,00521956691691422","0,0102525453436067","-0,00881507175991897","0,091328940043943","0,263140456099689","0,270653327723728","-0,0398216539217019","0,0667357601812534","0,021904504161607","0,026002295195476","0,044329130709822","0,005583733205975","0,0306157854866102","0,0514542500401797","0,108957972972664","0,138655940483172","0,0335635455066943","0,0274613224248928","0,00927361446427267","0,00217633457977348","0,00057484367794259","-0,0275234277226151","0,170203324576062","-0,0991674567589181","0,00358619705068093","0,00063265419557612","0,0534916205751806","-0,0152862569328366","-0,00203006132713074","0,00881872264157985","0,137258378359043","0,43284524707365","0,234527956952527","0,0678060051207626","0,0355519675170946","0,0470110346691649","0,023401642456005","0,0175172347760741","0,0113490971131863","0,278453596677844","0,107292860099039","0,0594277104661383","0,0695898090828885","0,226985743811751","0,0343907422705884","0,0473254196891684","0,0134375504783211","0,0281160131478342","0,214386727718092","0,076466426694499","0,052988646986878","-0,0091181173211091","0,0380032861183598","0,0101111126682924","0,0121984519137798","0,015929131601983","0,0236729400390721","-0,289886112171774","-0,195608874197469","0,00269356602379883","-0,0362004269759813","-0,0780435431238082","-0,0566172107322511","-0,0594655144935628","-0,0238074140238555","-0,0187746008498608"
,GG Force (Y) 3 [N],"-14,3911439309957","-12,1192795877935","-10,0175357865506","-8,09279315862599","-6,41990903194959","-4,93042922730547","-3,61461372860957","-2,52673330268075","-1,62121322879734","-14,4323942829096","-12,0925395858977","-10,0172494497843","-8,11199467135524","-6,4276610775396","-4,91879971115348","-3,6265667676926","-2,52699093415744","-1,62075248177589","-14,3861356135366","-12,0919333957068","-10,0234168570227","-8,11685801785819","-6,43028327403372","-4,91593338658129","-3,61781549947642","-2,51792782422555","-1,61624531657496","-14,4607218276421","-12,1168025066862","-10,0054467112476","-8,11033263928146","-6,42246650645233","-4,92580327302184","-3,62264149915371","-2,51595438608607","-1,61922582659695","-14,3897805839591","-12,1620753382255","-10,0052264856681","-8,11699060724173","-6,40068191324221","-4,91239384598458","-3,61774332968531","-2,5150105679568","-1,61417101623373","-14,4145085054875","-12,0767143806445","-10,008554740153","-8,10963305384891","-6,4143923669355","-4,9142004313161","-3,61967075711722","-2,52092857790857","-1,61998253887551","-14,3934906104673","-12,0834948494413","-10,0287451805211","-8,09086338119195","-6,4183364500038","-4,90526624556001","-3,61282287419052","-2,52091675839347","-1,6215017385972","-14,3777856332903","-12,0947212626257","-9,97492505049273","-8,08226662863802","-6,39919706608099","-4,91405809586964","-3,60250894697202","-2,51000805351453","-1,61706288386754","-14,3830508610647","-12,0477172535703","-9,9679980794357","-8,08245301471555","-6,39516639881518","-4,90126989247309","-3,59450615455706","-2,5072980958447","-1,6114261857033","-14,3463255515674","-12,0386161333924","-9,99918105450109","-8,06557769432925","-6,36774473353038","-4,89604551720988","-3,60154961608587","-2,50941689822224","-1,61702419082154","-14,4094149092149","-12,1777522948913","-10,0790977615145","-8,16748840523756","-6,45722722033728","-4,93317097818477","-3,64259990000465","-2,53222362166886","-1,62793770846667"
,GG Force (Z) 4 [N],"0,616018485739328","0,467899809127305","0,364243586992085","0,364844357107525","0,227925042916534","0,186489882017851","0,194822148105128","0,0821866536754275","0,0577469595462778","0,696736476988619","0,587695108171685","0,36267028557479","0,31889951020993","0,185422811022932","0,190442683886554","0,13117831968655","0,0781490781202668","0,0577723488902027","0,562439432580483","0,451105895748378","0,288851300334502","0,302485450526818","0,208213604193621","0,186944495517926","0,165885971724725","0,0990636211566389","0,0738022364110659","0,450429643092526","0,427290960670744","0,376334336112182","0,265910087608223","0,25299424243837","0,187846169886007","0,106303738499756","0,0972926728672529","0,04901299919343","0,574368408684515","0,685713150433744","0,592916287015872","0,206126255216643","0,259923127497741","0,219199116852271","0,156009770483823","0,123225560086963","0,0642549646392047","0,670942534528212","0,389890661419591","0,349486015095264","0,393370671293834","0,228787755165086","0,195038036750624","0,131050522302376","0,0732234789787954","0,0485090664352805","0,585505669052872","0,448509479871921","0,206588745142905","0,243536451611139","0,158525402722238","0,189728108824505","0,140261636038751","0,0616713310273003","0,0582649811373377","0,591280346730745","0,514916831790463","0,364530388619462","0,251650851682956","0,225806493457108","0,145950487592298","0,133008463989861","0,0677124211719541","0,0397079998644457","0,560039537201497","0,377227526048123","0,344985522756891","0,261438792949827","0,321562872201483","0,149645007711311","0,143620353852777","0,0911694988666023","0,0538716241832274","0,298117477622015","0,435470708953945","0,279556304938496","0,288080007133289","0,247319445547886","0,154924438350225","0,117293498767193","0,0981138649839017","0,0566064750838563","0,176895120202636","0,0295897943736356","0,092300526037686","0,106506716671499","0,0120961798090636","0,0617796519450062","0,0314286966236667","0,028412771619085","0,0129285554663785"
,SG Normal Force 1 [N],"0,115794137094792","0,0972421848583942","0,0810188573306498","0,0653023895559063","0,0520213923304502","0,040022252537222","0,0294868116836023","0,0203998476640162","0,013035503789865","0,118525210226123","0,0995565505096563","0,0823433936765393","0,0668941601763021","0,0528028792453771","0,0404966554428975","0,0299226619361114","0,0208071759146259","0,0132798030706152","0,119212848380773","0,100962998902584","0,0839680231054192","0,068165697155123","0,0537524863813178","0,0410908993624019","0,0303087938115734","0,0210288347184894","0,013546362147241","0,121779336009831","0,102510028151132","0,0848570294261855","0,0687509139261025","0,0544229950949112","0,0420521746228268","0,0308004295995377","0,0212926229610599","0,0136498388199402","0,124039332592158","0,106768450377671","0,0876857339992085","0,0701500572782148","0,0555677948962899","0,0425307544292218","0,0315721339416239","0,0219455330034806","0,0138794132111582","0,12699638412238","0,106121327725028","0,0888287199890974","0,0725833804198668","0,0568614711174382","0,0435000060006353","0,0319470040097131","0,0222503184278274","0,0142307797257008","0,131549345607987","0,110585841054924","0,0915219799546301","0,074304881439994","0,0585750410691669","0,044910047910077","0,0330203103417588","0,0229981718169444","0,0148150467766174","0,16578566020848","0,142325989760883","0,116358444796698","0,0936298960379044","0,0731519206746487","0,0567237800656959","0,0414697432415408","0,0286289999882762","0,0185259577272678","0,167483185730776","0,139122650850123","0,11541074724939","0,0922718765844066","0,0750152584096856","0,0558979107867396","0,0414806596124931","0,028641052251115","0,018544281504829","0,0805447380339674","0,0677289327965515","0,0555376304430159","0,0453920817139727","0,0348933794393898","0,0273280934560476","0,0200079577712014","0,0140049802731994","0,00919533795143276","0,105602066965646","0,0892439043318239","0,0757885878502413","0,0603439040448789","0,0484748512128659","0,0373390720856174","0,0270300293085596","0,0188885503783663","0,0121761807808126"
,SG Torque (X) 2 [N*m],"-0,00752107435482516","-0,00635431397993425","-0,0052791929806958","-0,0042628631229738","-0,00337907263936731","-0,00260662073972317","-0,00192484566993365","-0,00132527521218021","-0,000846599359137346","-0,00746395349104888","-0,00623696291533921","-0,00516010017345681","-0,00419655956190004","-0,00330357830682434","-0,00254369045380277","-0,00187217217059644","-0,00130026621545993","-0,000826265132216723","-0,00736299329908576","-0,0062221407665811","-0,00516118749112042","-0,00421545860497482","-0,00330612634025425","-0,00252948251436894","-0,00185740365456874","-0,00128661071880501","-0,000832491934079581","-0,00734861579943081","-0,00614235894436089","-0,00509434032154723","-0,00409727861013672","-0,00326802605376883","-0,002514500150672","-0,0018423901481953","-0,00127275614245919","-0,000811683196705264","-0,00717490355488624","-0,0062582958930669","-0,00509637553968945","-0,00404883919035842","-0,00321254667188503","-0,00245163732732873","-0,00182907986633406","-0,00126563580718668","-0,000794999191654523","-0,00722604557086869","-0,00598554412783344","-0,00503904655869438","-0,0041250663208668","-0,00320214394582859","-0,00245147411232579","-0,00179924291031404","-0,00124838826658841","-0,000799273170602524","-0,00739901083590843","-0,00625897366948784","-0,00516348370404554","-0,00417278796784552","-0,00326616838868445","-0,00251535727531549","-0,00184458048766688","-0,00128859733736075","-0,000828280518357281","-0,0103383933349056","-0,00887461211516806","-0,00724076476294732","-0,00580054408060641","-0,00454040634545482","-0,00350633114239299","-0,00255930934377631","-0,0017597982022329","-0,00113547661202366","-0,0103144444304408","-0,00855201137269071","-0,00708247945590502","-0,00566088037453413","-0,00460112735764191","-0,00341944442818091","-0,00252578343694576","-0,00174132056064359","-0,00112156663683291","-0,00522686428295354","-0,0043880324106946","-0,00360804714528562","-0,00292742796911799","-0,00226782861640102","-0,00176629099378797","-0,00128574549298277","-0,000898083442723673","-0,000588401883256833","-0,00390977602910622","-0,00338295597473113","-0,00283023476414744","-0,00225460958467672","-0,00179811184072353","-0,00137939540765499","-0,000999332203513881","-0,00070794256202328","-0,000449066324383753"
,SG Torque (Y) 3 [N*m],"0,0226135678632597","0,0189796530838912","0,0158186801053688","0,0127513596111853","0,0101631159431086","0,00781697645339427","0,00575957275059368","0,00398747684170042","0,0025493450920867","0,0232393664536266","0,0195353263609526","0,0161595380056223","0,0131280623926687","0,0103643407090244","0,00794889644678291","0,005876497679704","0,00408714241160391","0,00261133741987563","0,0234309046491776","0,0198499258286818","0,016509723533854","0,013398110017048","0,010570757222655","0,00808398544734251","0,00596646183198512","0,00414134790326746","0,00266730697961563","0,0239972867862202","0,0202158722916089","0,0167332998118717","0,0135676087797694","0,0107343582766549","0,00829612158823871","0,00607870665516868","0,00420408203136782","0,00269744423498568","0,0245436997162535","0,0210940020253065","0,0173432256794686","0,0138863426985392","0,010999604873895","0,00842260048943603","0,00624997536637403","0,00434706588431209","0,0027524102719705","0,0251623809526861","0,0210443374769791","0,0176070172932678","0,0143839969127521","0,0112808905918482","0,00863041357770419","0,006340077879051","0,00441795005170291","0,00282638904808837","0,0260608615298554","0,0219027527391271","0,0181318370615216","0,0147273792096099","0,0116165274502144","0,00890578887042575","0,00654941243231452","0,00456158303083202","0,00293903146689315","0,032102978610084","0,0275526093887102","0,0225349223005601","0,0181450933528451","0,0141757267823443","0,010995581112854","0,00804125554203574","0,00555434534870023","0,00359466632275756","0,0324549519984","0,026970876706985","0,0223773216339888","0,0178944864447932","0,0145433222898524","0,0108443544266319","0,00805092296363705","0,00556004101629625","0,00360154481008063","0,0156590793129659","0,01317140079489","0,0107988244999939","0,00883415857383942","0,00678757369030625","0,00531894613363905","0,00389824857705264","0,00272975920948323","0,00179275777553938","0,021159785897886","0,0178773743641444","0,0151806272922589","0,0120916404077819","0,00971569885394305","0,00748386299135851","0,0054201435306817","0,00378863737348409","0,00244349194381266"
,SG Torque (Z) 4 [N*m],"0,00445844416731976","0,00379578252316181","0,00314128685966134","0,00254184629365446","0,00200106920431306","0,00154869494103948","0,00114639744514055","0,000783823794218664","0,000500170707115485","0,00421490790055318","0,00349517700271601","0,00289212855457079","0,0023548492111601","0,00184635807939498","0,00142867424729378","0,00104499710350393","0,000724129001139245","0,000456653172955169","0,00402010644944935","0,00338514872608466","0,00279670978308941","0,00230416467671421","0,00179188442450415","0,00137165703039437","0,000999869680495292","0,000690257908515576","0,000449195065377072","0,00384426789283908","0,00317629199220781","0,00264177642829375","0,00209851338769434","0,0016941513918885","0,00129415374506822","0,000948017878975941","0,000653513172920352","0,000412696357523204","0,00346789559769083","0,00309599631355346","0,00248337329741993","0,00194702812663268","0,00154896069593777","0,00117510498841437","0,000884123354222186","0,000606238375373056","0,000375496824603533","0,00336280484356391","0,00273788757624828","0,00233011755041669","0,00191351879812772","0,00145843975671758","0,00111740774115335","0,000818503066159964","0,000563117800007303","0,000360809152876103","0,0033416304435241","0,00285868292031919","0,00234347598540648","0,00187687219124208","0,00144694097983153","0,00112378968745587","0,000819631008835889","0,000575433968688341","0,000367853920871089","0,0047506830943867","0,00408114227098861","0,00331424311363616","0,00263204440215854","0,00206472702248748","0,00158256192658964","0,00115067344497966","0,000784067772758983","0,000502546667378646","0,00462171780246735","0,00381435046350478","0,00314967798140567","0,00251209511384721","0,00204417312343814","0,00150813489548225","0,00110368660571122","0,000757238505250238","0,000482343515113213","0,00293698114651054","0,00245930505259805","0,00202948415401339","0,00162886136897332","0,00127535572744318","0,00098493148846958","0,000710554830234797","0,00049434306697347","0,000322528778198933","-3,58799168710117E-05","7,10306872726026E-05","3,63462478450767E-06","3,80690266593226E-06","-1,48373136799192E-05","-1,96071895640906E-05","-1,37142680703666E-05","2,28246668483036E-06","-8,53703924729007E-06"
