,,,,,,,,,,
,,Design Point 1,Design Point 2,Design Point 3,Design Point 4,Design Point 5,Design Point 6,Design Point 7,Design Point 8,Design Point 9
,Velocity in Y direction (Initial and Ambient Conditions) [m/s],-60,-40,-20,-60,-40,-20,-60,-40,-20
,D1@Angle1@Fin Tabs Assembly.Assembly [rad],"3,08050613","3,08050613","3,08050613","3,0979594225","3,0979594225","3,0979594225","3,11541271","3,11541271","3,11541271"
,GG Force 1 [N],"1,37517014187955","0,626220656055202","0,161934758927198","1,34922298786043","0,613038173250185","0,15921911473719","1,31902640165455","0,596634329975386","0,156069372880742"
,GG Force (X) 2 [N],"0,422652767215692","0,190800840723955","0,0466000753728272","0,423666929485471","0,190214427465703","0,0467408805670193","0,422374249242414","0,189982044607648","0,0465515120318909"
,GG Force (Y) 3 [N],"-1,02786127263074","-0,470788062760268","-0,126002814010508","-1,03120853848236","-0,472447458904625","-0,126095729339649","-1,02899158564117","-0,471574655263877","-0,125941115718927"
,GG Force (Z) 4 [N],"0,809874676293604","0,366195952736834","0,0904095971162063","0,759916297503075","0,341202747101122","0,0852345191328589","0,708893662737897","0,31222169163969","0,079553938954495"
,SG Normal Force 1 [N],"0,0824731389555261","0,0365737639691992","0,00910515796829593","0,0877127180854029","0,0388450209591491","0,00978375722675099","0,0992921460326323","0,0443238019405487","0,0109746562823231"
,SG Torque (X) 2 [N*m],"-0,00361111146088517","-0,00158729519956841","-0,000384935122578974","-0,00375580099921423","-0,00165464891123278","-0,000408829881486432","-0,00417408750798973","-0,00186738677410923","-0,000449289449419497"
,SG Torque (Y) 3 [N*m],"0,0166655820314003","0,00739933020858671","0,00184637425674771","0,0177071693962051","0,00784950753217627","0,00197960482046676","0,0200284841085419","0,00894298229542062","0,00221881217364138"
,SG Torque (Z) 4 [N*m],"0,000848687640980972","0,000354444061343799","7,33343458534764E-05","0,000762106975384412","0,000323496530811881","6,95253407447028E-05","0,000721218270216082","0,000324403616367232","6,20544429171332E-05"
