Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00897179511	0.0536622501	0.0536622501	0.0536622501	0.0536622501	0	0	0	0	0	0	3
2	7	0	0.0179435902	0.0116626704	0.0326624602	0.0116626704	0.0536622501	0.0209997898	0	0	0	0	0	3
3	8	0	0.0269153853	0.0056916927	0.0236722044	0.0056916927	0.0536622501	0.0299900457	0	0	0	0	0	3
4	8	0	0.0358871804	0.00449366719	0.0188775701	0.00449366719	0.0536622501	0.03478468	0	0	0	0	0	3
5	9	0	0.0448589755	0.00425708377	0.0159534728	0.00425708377	0.0536622501	0.0377087772	0	0	0	0	0	3
6	10	0	0.0538307706	0.00397198343	0.0139565579	0.00397198343	0.0536622501	0.0397056921	0	0	0	0	0	3
7	11	0	0.0628025657	0.00344886951	0.0124554596	0.00344886951	0.0536622501	0.0412067905	0	0	0	0	0	3
8	11	0	0.0717743608	0.00374497946	0.0113666496	0.00344886951	0.0536622501	0.0422956005	0	0	0	0	0	3
9	12	0	0.080746156	0.00375349454	0.0105207434	0.00344886951	0.0536622501	0.0431415066	0	0	0	0	0	3
10	13	0	0.0897179511	0.00427875839	0.00989654494	0.00344886951	0.0536622501	0.0437657051	0	0	0	0	0	3
11	14	0	0.0986897462	0.00400099254	0.00936058563	0.00344886951	0.0536622501	0.0443016644	0	0	0	0	0	3
12	14	0	0.107661541	0.00423501025	0.00893345435	0.00344886951	0.0536622501	0.0447287957	0	0	0	0	0	3
13	15	0	0.116633336	0.00374110087	0.00853404255	0.00344886951	0.0536622501	0.0451282075	0	0	0	0	0	3
14	16	0	0.125605131	0.00389364685	0.00820258571	0.00344886951	0.0536622501	0.0454596643	0	0	0	0	0	3
15	17	0	0.134576927	0.00387877529	0.00791433168	0.00344886951	0.0536622501	0.0457479184	0	0	0	0	0	3
16	17	0	0.143548722	0.00389482969	0.00766311281	0.00344886951	0.0536622501	0.0459991372	0	0	0	0	0	3
17	18	0	0.152520517	0.00384392048	0.00743845444	0.00344886951	0.0536622501	0.0462237956	0	0	0	0	0	3
18	19	0	0.161492312	0.00382164483	0.00723752057	0.00344886951	0.0536622501	0.0464247295	0	0	0	0	0	3
19	20	0	0.170464107	0.00372018455	0.00705239762	0.00344886951	0.0536622501	0.0466098524	0	0	0	0	0	3
20	20	0	0.179435902	0.00380238508	0.00688989699	0.00344886951	0.0536622501	0.0467723531	0	0	0	0	0	3
21	21	0	0.188407697	0.00381564106	0.00674350385	0.00344886951	0.0536622501	0.0469187462	0	0	0	0	0	3
22	22	0	0.197379492	0.00388716789	0.0066136704	0.00344886951	0.0536622501	0.0470485797	0	0	0	0	0	3
23	22	0	0.206351287	0.00396520213	0.00649851961	0.00344886951	0.0536622501	0.0471637305	0	0	0	0	0	3
24	23	0	0.215323083	0.0039730123	0.00639329014	0.00344886951	0.0536622501	0.0472689599	0	0	0	0	0	3
25	24	0	0.224294878	0.0039742952	0.00629653034	0.00344886951	0.0536622501	0.0473657197	0	0	0	0	0	3
26	25	0	0.233266673	0.00394851348	0.006206222	0.00344886951	0.0536622501	0.0474560281	0	0	0	0	0	3
27	25	0	0.242238468	0.00396243443	0.00612311875	0.00344886951	0.0536622501	0.0475391313	0	0	0	0	0	3
28	26	0	0.251210263	0.00392323965	0.00604455164	0.00344886951	0.0536622501	0.0476176984	0	0	0	0	0	3
29	27	0	0.260182058	0.00392885376	0.00597159654	0.00344886951	0.0536622501	0.0476906535	0	0	0	0	0	3
30	28	0	0.269153853	0.00391737996	0.00590312266	0.00344886951	0.0536622501	0.0477591274	0	0	0	0	0	3
31	29	0	0.278125648	0.00391253328	0.0058389101	0.00344886951	0.0536622501	0.04782334	0	0	0	0	0	3
32	29	0	0.287097443	0.00389080297	0.00577803175	0.00344886951	0.0536622501	0.0478842183	0	0	0	0	0	3
33	30	0	0.296069238	0.00385609425	0.00571979122	0.00344886951	0.0536622501	0.0479424588	0	0	0	0	0	3
34	31	0	0.305041034	0.00385370454	0.00566490632	0.00344886951	0.0536622501	0.0479973437	0	0	0	0	0	3
35	32	0	0.314012829	0.00378998749	0.00561133721	0.00344886951	0.0536622501	0.0480509128	0	0	0	0	0	3
