Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	0.791728034	0.791728034	0.791728034	0.791728034	0	0	0	0	0	0	3
2	9	0	0.0179433483	1.82344595	1.30758699	0.791728034	1.82344595	0.515858958	0	0	0	0	0	3
3	10	0	0.0269150225	1.48106125	1.36541175	0.791728034	1.82344595	0.573683711	0	0	0	0	0	3
4	11	0	0.0358866967	0.853989235	1.23755612	0.791728034	1.82344595	0.573683711	0	0	0	0	0	3
5	12	0	0.0448583708	0.58802111	1.10764912	0.58802111	1.82344595	0.573683711	0	0	0	0	0	3
6	13	0	0.053830045	0.457403425	0.999274834	0.457403425	1.82344595	0.573683711	0	0	0	0	0	3
7	13	0	0.0628017192	0.219331446	0.88785435	0.219331446	1.82344595	0.573683711	0	0	0	0	0	3
8	14	0	0.0717733933	0.558874308	0.846731845	0.219331446	1.82344595	0.573683711	0	0	0	0	0	3
9	15	0	0.0807450675	0.0858186239	0.762185932	0.0858186239	1.82344595	0.603225813	0	0	0	0	0	3
10	16	0	0.0897167416	0.40245468	0.726212807	0.0858186239	1.82344595	0.639198939	0	0	0	0	0	3
11	17	0	0.0986884158	-0.182257217	0.643624623	-0.182257217	1.82344595	0.721787123	0	0	0	0	0	3
12	17	0	0.10766009	0.292367864	0.614353226	-0.182257217	1.82344595	0.751058519	0	0	0	0	0	3
13	18	0	0.116631764	0.142083143	0.578024758	-0.182257217	1.82344595	0.787386987	0	0	0	0	0	3
14	19	0	0.125603438	0.280724941	0.556789057	-0.182257217	1.82344595	0.808622688	0	0	0	0	0	3
15	20	0	0.134575112	0.264377127	0.537294928	-0.182257217	1.82344595	0.828116817	0	0	0	0	0	3
16	21	0	0.143546787	0.366311892	0.526608488	-0.182257217	1.82344595	0.838803257	0	0	0	0	0	3
17	21	0	0.152518461	0.15386644	0.504682486	-0.182257217	1.82344595	0.86072926	0	0	0	0	0	3
