Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	-149.247106	-149.247106	-149.247106	-149.247106	0	0	0	0	0	0	3
2	9	0	0.0179433483	-51.329545	-100.288325	-149.247106	-51.329545	48.9587803	0	0	0	0	0	3
3	10	0	0.0269150225	-25.5074159	-75.3613555	-149.247106	-25.5074159	73.8857501	0	0	0	0	0	3
4	11	0	0.0358866967	-16.3011983	-60.5963162	-149.247106	-16.3011983	88.6507895	0	0	0	0	0	3
5	12	0	0.0448583708	-20.1118173	-52.4994164	-149.247106	-16.3011983	96.7476892	0	0	0	0	0	3
6	13	0	0.053830045	-15.5710785	-46.3446934	-149.247106	-15.5710785	102.902412	0	0	0	0	0	3
7	13	0	0.0628017192	-18.8370635	-42.415032	-149.247106	-15.5710785	106.832074	0	0	0	0	0	3
8	14	0	0.0717733933	-14.7206215	-38.9532307	-149.247106	-14.7206215	110.293875	0	0	0	0	0	3
9	15	0	0.0807450675	-17.6967871	-36.5914036	-149.247106	-14.7206215	112.655702	0	0	0	0	0	3
10	16	0	0.0897167416	-13.9349327	-34.3257565	-149.247106	-13.9349327	114.921349	0	0	0	0	0	3
11	17	0	0.0986884158	-16.3038263	-32.6873992	-149.247106	-13.9349327	116.559706	0	0	0	0	0	3
12	17	0	0.10766009	-14.1182573	-31.1399707	-149.247106	-13.9349327	118.107135	0	0	0	0	0	3
13	18	0	0.116631764	-15.9411113	-29.9708277	-149.247106	-13.9349327	119.276278	0	0	0	0	0	3
14	19	0	0.125603438	-14.1914946	-28.8437325	-149.247106	-13.9349327	120.403373	0	0	0	0	0	3
15	20	0	0.134575112	-15.4872373	-27.9532995	-149.247106	-13.9349327	121.293806	0	0	0	0	0	3
16	21	0	0.143546787	-14.4498434	-27.1093335	-149.247106	-13.9349327	122.137772	0	0	0	0	0	3
17	21	0	0.152518461	-14.8189778	-26.3863714	-149.247106	-13.9349327	122.860734	0	0	0	0	0	3
