Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	3.06218027	3.06218027	3.06218027	3.06218027	0	0	0	0	0	0	3
2	9	0	0.0179433483	3.83766618	3.44992323	3.06218027	3.83766618	0.387742956	0	0	0	0	0	3
3	10	0	0.0269150225	1.7928245	2.89755698	1.7928245	3.83766618	0.552366242	0	0	0	0	0	3
4	11	0	0.0358866967	1.29885811	2.49788227	1.29885811	3.83766618	0.95204096	0	0	0	0	0	3
5	12	0	0.0448583708	0.997501471	2.19780611	0.997501471	3.83766618	1.25211712	0	0	0	0	0	3
6	13	0	0.053830045	0.712264925	1.95021591	0.712264925	3.83766618	1.49970732	0	0	0	0	0	3
7	13	0	0.0628017192	0.372785212	1.72486867	0.372785212	3.83766618	1.72505456	0	0	0	0	0	3
8	14	0	0.0717733933	0.862352159	1.6170541	0.372785212	3.83766618	1.83286912	0	0	0	0	0	3
9	15	0	0.0807450675	0.490244978	1.49185309	0.372785212	3.83766618	1.95807014	0	0	0	0	0	3
10	16	0	0.0897167416	0.672207326	1.40988851	0.372785212	3.83766618	2.04003471	0	0	0	0	0	3
11	17	0	0.0986884158	0.38400331	1.31662622	0.372785212	3.83766618	2.133297	0	0	0	0	0	3
12	17	0	0.10766009	0.811500614	1.27453242	0.372785212	3.83766618	2.1753908	0	0	0	0	0	3
13	18	0	0.116631764	0.218048755	1.19326445	0.218048755	3.83766618	2.25665878	0	0	0	0	0	3
14	19	0	0.125603438	0.807661333	1.16572137	0.218048755	3.83766618	2.28420186	0	0	0	0	0	3
15	20	0	0.134575112	1.06875448	1.15925691	0.218048755	3.83766618	2.29066632	0	0	0	0	0	3
16	21	0	0.143546787	0.798969203	1.13673893	0.218048755	3.83766618	2.3131843	0	0	0	0	0	3
17	21	0	0.152518461	0.791163866	1.11641098	0.218048755	3.83766618	2.33351224	0	0	0	0	0	3
