Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	149.280616	149.280616	149.280616	149.280616	0	0	0	0	0	0	3
2	9	0	0.0179433483	51.5050951	100.392856	51.5050951	149.280616	48.8877605	0	0	0	0	0	3
3	10	0	0.0269150225	25.6132003	75.4663038	25.6132003	149.280616	73.8143122	0	0	0	0	0	3
4	11	0	0.0358866967	16.3751457	60.6935143	16.3751457	149.280616	88.5871018	0	0	0	0	0	3
5	12	0	0.0448583708	20.1451228	52.583836	16.3751457	149.280616	96.6967801	0	0	0	0	0	3
6	13	0	0.053830045	15.5940701	46.418875	15.5940701	149.280616	102.861741	0	0	0	0	0	3
7	13	0	0.0628017192	18.8420284	42.4793255	15.5940701	149.280616	106.801291	0	0	0	0	0	3
8	14	0	0.0717733933	14.7564457	39.0139655	14.7564457	149.280616	110.266651	0	0	0	0	0	3
9	15	0	0.0807450675	17.7037843	36.6461676	14.7564457	149.280616	112.634448	0	0	0	0	0	3
10	16	0	0.0897167416	13.9569402	34.3772449	13.9569402	149.280616	114.903371	0	0	0	0	0	3
11	17	0	0.0986884158	16.3093663	32.7347104	13.9569402	149.280616	116.545906	0	0	0	0	0	3
12	17	0	0.10766009	14.1445821	31.1855331	13.9569402	149.280616	118.095083	0	0	0	0	0	3
13	18	0	0.116631764	15.9432357	30.0130487	13.9569402	149.280616	119.267567	0	0	0	0	0	3
14	19	0	0.125603438	14.2172304	28.8847759	13.9569402	149.280616	120.39584	0	0	0	0	0	3
15	20	0	0.134575112	15.5263212	27.9942123	13.9569402	149.280616	121.286404	0	0	0	0	0	3
16	21	0	0.143546787	14.4765503	27.1493584	13.9569402	149.280616	122.131258	0	0	0	0	0	3
17	21	0	0.152518461	14.84088	26.4253303	13.9569402	149.280616	122.855286	0	0	0	0	0	3
