Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	0.937000823	0.937000823	0.937000823	0.937000823	0	0	0	0	0	0	3
2	9	0	0.0179433483	0.27177442	0.604387622	0.27177442	0.937000823	0.332613201	0	0	0	0	0	3
3	10	0	0.0269150225	0.159305908	0.45602705	0.159305908	0.937000823	0.480973773	0	0	0	0	0	3
4	11	0	0.0358866967	0.110473046	0.369638549	0.110473046	0.937000823	0.567362274	0	0	0	0	0	3
5	12	0	0.0448583708	0.106377931	0.316986425	0.106377931	0.937000823	0.620014398	0	0	0	0	0	3
6	13	0	0.053830045	0.106929527	0.281976942	0.106377931	0.937000823	0.655023881	0	0	0	0	0	3
7	13	0	0.0628017192	0.103758428	0.256517155	0.103758428	0.937000823	0.680483668	0	0	0	0	0	3
8	14	0	0.0717733933	0.10382627	0.237430794	0.103758428	0.937000823	0.699570029	0	0	0	0	0	3
9	15	0	0.0807450675	0.110299839	0.223305132	0.103758428	0.937000823	0.713695691	0	0	0	0	0	3
10	16	0	0.0897167416	0.117582902	0.212732909	0.103758428	0.937000823	0.724267914	0	0	0	0	0	3
11	17	0	0.0986884158	0.112686747	0.203637804	0.103758428	0.937000823	0.733363019	0	0	0	0	0	3
12	17	0	0.10766009	0.114834655	0.196237541	0.103758428	0.937000823	0.740763282	0	0	0	0	0	3
13	18	0	0.116631764	0.107954564	0.189446543	0.103758428	0.937000823	0.74755428	0	0	0	0	0	3
14	19	0	0.125603438	0.108458051	0.183661651	0.103758428	0.937000823	0.753339172	0	0	0	0	0	3
15	20	0	0.134575112	0.106791828	0.178536996	0.103758428	0.937000823	0.758463827	0	0	0	0	0	3
16	21	0	0.143546787	0.108029695	0.17413029	0.103758428	0.937000823	0.762870533	0	0	0	0	0	3
17	21	0	0.152518461	0.106042096	0.170125102	0.103758428	0.937000823	0.766875721	0	0	0	0	0	3
