Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	-0.0834724456	-0.0834724456	-0.0834724456	-0.0834724456	0	0	0	0	0	0	3
2	9	0	0.0179433483	-0.0208528016	-0.0521626236	-0.0834724456	-0.0208528016	0.031309822	0	0	0	0	0	3
3	10	0	0.0269150225	-0.0112835591	-0.0385362688	-0.0834724456	-0.0112835591	0.0449361768	0	0	0	0	0	3
4	11	0	0.0358866967	-0.00830258268	-0.0309778473	-0.0834724456	-0.00830258268	0.0524945984	0	0	0	0	0	3
5	12	0	0.0448583708	-0.00720288731	-0.0262228553	-0.0834724456	-0.00720288731	0.0572495904	0	0	0	0	0	3
6	13	0	0.053830045	-0.00772616952	-0.0231400743	-0.0834724456	-0.00720288731	0.0603323713	0	0	0	0	0	3
7	13	0	0.0628017192	-0.00708802516	-0.0208469244	-0.0834724456	-0.00708802516	0.0626255212	0	0	0	0	0	3
8	14	0	0.0717733933	-0.00731602887	-0.0191555625	-0.0834724456	-0.00708802516	0.0643168831	0	0	0	0	0	3
9	15	0	0.0807450675	-0.00758790737	-0.0178702675	-0.0834724456	-0.00708802516	0.0656021781	0	0	0	0	0	3
10	16	0	0.0897167416	-0.00829017348	-0.0169122581	-0.0834724456	-0.00708802516	0.0665601875	0	0	0	0	0	3
11	17	0	0.0986884158	-0.00784468543	-0.0160879333	-0.0834724456	-0.00708802516	0.0673845123	0	0	0	0	0	3
12	17	0	0.10766009	-0.00816678546	-0.0154278376	-0.0834724456	-0.00708802516	0.068044608	0	0	0	0	0	3
13	18	0	0.116631764	-0.00747836895	-0.01481634	-0.0834724456	-0.00708802516	0.0686561056	0	0	0	0	0	3
14	19	0	0.125603438	-0.00761343244	-0.0143018466	-0.0834724456	-0.00708802516	0.069170599	0	0	0	0	0	3
15	20	0	0.134575112	-0.00758892519	-0.0138543185	-0.0834724456	-0.00708802516	0.0696181271	0	0	0	0	0	3
16	21	0	0.143546787	-0.00768469903	-0.0134687173	-0.0834724456	-0.00708802516	0.0700037283	0	0	0	0	0	3
17	21	0	0.152518461	-0.00749345547	-0.0131172313	-0.0834724456	-0.00708802516	0.0703552143	0	0	0	0	0	3
