Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	0.168621374	0.168621374	0.168621374	0.168621374	0	0	0	0	0	0	3
2	9	0	0.0179433483	0.0515186342	0.110070004	0.0515186342	0.168621374	0.0585513699	0	0	0	0	0	3
3	10	0	0.0269150225	0.0307454043	0.0836284709	0.0307454043	0.168621374	0.0849929032	0	0	0	0	0	3
4	11	0	0.0358866967	0.0211716854	0.0680142745	0.0211716854	0.168621374	0.1006071	0	0	0	0	0	3
5	12	0	0.0448583708	0.0206030324	0.0585320261	0.0206030324	0.168621374	0.110089348	0	0	0	0	0	3
6	13	0	0.053830045	0.0205396155	0.0521999577	0.0205396155	0.168621374	0.116421416	0	0	0	0	0	3
7	13	0	0.0628017192	0.0200935013	0.047613321	0.0200935013	0.168621374	0.121008053	0	0	0	0	0	3
8	14	0	0.0717733933	0.0200177171	0.0441638705	0.0200177171	0.168621374	0.124457504	0	0	0	0	0	3
9	15	0	0.0807450675	0.0213078427	0.0416243119	0.0200177171	0.168621374	0.126997062	0	0	0	0	0	3
10	16	0	0.0897167416	0.0225906888	0.0397209496	0.0200177171	0.168621374	0.128900424	0	0	0	0	0	3
11	17	0	0.0986884158	0.0217032411	0.0380829761	0.0200177171	0.168621374	0.130538398	0	0	0	0	0	3
12	17	0	0.10766009	0.0220279735	0.0367450592	0.0200177171	0.168621374	0.131876315	0	0	0	0	0	3
13	18	0	0.116631764	0.0208223757	0.0355202374	0.0200177171	0.168621374	0.133101137	0	0	0	0	0	3
14	19	0	0.125603438	0.0208819399	0.0344746447	0.0200177171	0.168621374	0.134146729	0	0	0	0	0	3
15	20	0	0.134575112	0.0205570574	0.0335468056	0.0200177171	0.168621374	0.135074569	0	0	0	0	0	3
16	21	0	0.143546787	0.0207759847	0.0327486293	0.0200177171	0.168621374	0.135872745	0	0	0	0	0	3
17	21	0	0.152518461	0.0204304814	0.0320240323	0.0200177171	0.168621374	0.136597342	0	0	0	0	0	3
