Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.00897167416	0.0676017613	0.0676017613	0.0676017613	0.0676017613	0	0	0	0	0	0	3
2	9	0	0.0179433483	0.0149705284	0.0412861448	0.0149705284	0.0676017613	0.0263156165	0	0	0	0	0	3
3	10	0	0.0269150225	0.00750388339	0.030025391	0.00750388339	0.0676017613	0.0375763703	0	0	0	0	0	3
4	11	0	0.0358866967	0.00584562089	0.0239804485	0.00584562089	0.0676017613	0.0436213128	0	0	0	0	0	3
5	12	0	0.0448583708	0.00457270456	0.0200988997	0.00457270456	0.0676017613	0.0475028616	0	0	0	0	0	3
6	13	0	0.053830045	0.0052368899	0.0176218981	0.00457270456	0.0676017613	0.0499798632	0	0	0	0	0	3
7	13	0	0.0628017192	0.0045240794	0.0157507811	0.0045240794	0.0676017613	0.0518509802	0	0	0	0	0	3
8	14	0	0.0717733933	0.00483276891	0.0143860296	0.0045240794	0.0676017613	0.0532157317	0	0	0	0	0	3
9	15	0	0.0807450675	0.00487129176	0.0133288365	0.0045240794	0.0676017613	0.0542729248	0	0	0	0	0	3
10	16	0	0.0897167416	0.00546607595	0.0125425604	0.0045240794	0.0676017613	0.0550592009	0	0	0	0	0	3
11	17	0	0.0986884158	0.0051016747	0.0118661163	0.0045240794	0.0676017613	0.055735645	0	0	0	0	0	3
12	17	0	0.10766009	0.00544070279	0.0113306652	0.0045240794	0.0676017613	0.0562710961	0	0	0	0	0	3
13	18	0	0.116631764	0.00483577987	0.0108310586	0.0045240794	0.0676017613	0.0567707027	0	0	0	0	0	3
14	19	0	0.125603438	0.00499473017	0.010414178	0.0045240794	0.0676017613	0.0571875833	0	0	0	0	0	3
15	20	0	0.134575112	0.00503717644	0.0100557112	0.0045240794	0.0676017613	0.0575460501	0	0	0	0	0	3
16	21	0	0.143546787	0.00510813064	0.00974648744	0.0045240794	0.0676017613	0.0578552739	0	0	0	0	0	3
17	21	0	0.152518461	0.00493755446	0.00946360903	0.0045240794	0.0676017613	0.0581381523	0	0	0	0	0	3
